Nro,Rubro,Monto
1122500,EFECTIVO Y EQUIVALENTES A EFECTIVO,125262.00
1122300,ACTIVOS FINANCIEROS CORRIENTES,36628531.00
1121999,CUENTAS POR COBRAR CORRIENTES,1636001.00
1122400,OTROS ACTIVOS NO FINANCIEROS CORRIENTES,2117559.00
1120100,INVENTARIOS CORRIENTES,0
1139999,ACTIVO CORRIENTE,40507353.00
1112400,ACTIVOS FINANCIEROS NO CORRIENTES,1328062.00
1111999,CUENTAS POR COBRAR NO CORRIENTES,0
1110100,PROPIEDADES PLANTAS Y EQUIPOS,33563118.00
1112500,OTROS ACTIVOS NO FINANCIEROS NO CORRIENTES,7859571.00
1110200,ACTIVOS INTANGIBLES,57523.00
1119999,ACTIVO NO CORRIENTE,42808274.00
1999999,TOTAL DEL ACTIVO,83315627.00
2210999,CAPITAL,14267545.00
2210300,AJUSTE DE CAPITAL,0
2210500,APORTES NO CAPITALIZADOS O CONTRIBUCIONES DE CAPITAL,120799.00
2210900,OTROS CONCEPTOS DEL CAPITAL,357548.00
2211100,RESERVA LEGAL,16266.00
2211200,OTRAS RESERVAS,1208891.00
2211999,GANANCIAS RESERVADAS,1225157.00
2211300,INTERESES NO CONTROLANTES,0
2212999,RESULTADOS NO ASIGNADOS,-936077.00
2213999,RESULTADOS INTEGRALES,18239529.00
2299999,TOTAL PATRIMONIO NETO,33274501.00
2322200,PASIVOS FINANCIEROS CORRIENTES,5068263.00
2321999,CUENTAS POR PAGAR CORRIENTES,4978845.00
2322100,PASIVOS POR IMPUESTOS CORRIENTES,799917.00
2322300,OTROS PASIVOS NO FINANCIEROS CORRIENTES,608357.00
2339999,PASIVO CORRIENTE,11455382.00
2312300,PASIVOS FINANCIEROS NO CORRIENTES,32768539.00
2311999,CUENTAS POR PAGAR NO CORRIENTES,0
2312200,PASIVOS POR IMPUESTOS NO CORRIENTES,5817205.00
2312400,OTROS PASIVOS NO FINANCIEROS NO CORRIENTES,0
2319999,PASIVO NO CORRIENTE,38585744.00
2399999,TOTAL DEL PASIVO,50041126.00
2999999,TOTAL DEL PASIVO Y PATRIMONIO NETO,83315627.00
3000100,INGRESOS DE ACTIVIDADES ORDINARIAS,5092245.00
3000200,COSTO DE VENTAS Y/O SERVICIOS,-3577942.00
3009999,GANANCIA (PERDIDA) BRUTA,1514303.00
3011301,HONORARIOS A DIRECTORES Y SINDICOS,-26229.00
3011300,OTROS GASTOS DE ADMINISTRACION,-1153062.00
3011200,GASTOS DE COMERCIALIZACION Y/O DISTRIBUCION,0
3011400,OTROS GASTOS OPERATIVOS,-5548.00
3011100,OTROS INGRESOS,736793.00
3011600,DEPRECIACIONES Y AMORTIZACIONES,-97457.00
3019999,GANANCIA (PERDIDA) DE ACTIVIDADES OPERATIVAS,968800.00
3021400,INGRESOS FINANCIEROS,17876820.00
3021500,COSTOS FINANCIEROS,-17942235.00
3021800,RECPAM,0
3021900,OTROS RESULTADOS,782135.00
3029999,GANANCIA (PERDIDA) ANTES DE IMPUESTOS,1685520.00
3031100,INGRESO (GASTO) POR IMPUESTOS A LAS GANANCIAS,-393639.00
3049999,GANANCIA (PERDIDA)  DEL PERIODO / EJERCICIO,1291881.00
3061999,OTRO RESULTADO INTEGRAL DEL EJERCICIO / PERIODO,11679493.00
3099999,RESULTADO INTEGRAL TOTAL  DEL EJERCICIO / PERIODO,12971374.00
3241100,TOTAL CAMBIOS EN ACTIVOS Y PASIVOS OPERATIVOS,1115340.00
3241200,TOTAL DE ACTIVIDADES DE INVERSION,-27643912.00
3241300,TOTAL DE ACTIVIDADES DE FINANCIACION,26646131.00
3240000,INCREMENTO (DISMINUCION) NETA DE EFECTIVO Y EQUIVALENTES,117559.00
8000000,GANANCIA (PERDIDA) BASICA POR ACCION,0
8000001,GANANCIAS (PERDIDA) DILUIDA POR ACCION,0
8000002,TOTAL PATRIMONIO NETO DEL EJERCICIO ANTERIOR,6235377.00
8000003,EBIT,-12869137.00
8000004,EBITDA,1433715.00
8000005,CAPITAL DE TRABAJO,29051971.00
8000006,LIQUIDEZ,3.54
8000007,SOLVENCIA,0.66
8000008,INMOVILIZACION DEL CAPITAL,0.51
8000009,RENTABILIDAD PATRIMONIO NETO,0.09
8000010,RENTABILIDAD DEL ACTIVO,0.02
8000011,ENDEUDAMIENTO,1.50
8000012,ENDEUDAMIENTO A CORTO PLAZO,0.34
8000013,APALANCAMIENTO,2.50
8000014,MARGEN NETO / VENTAS,2.55
8000015,DEUDA FINANCIERA / EBITDA,26.39
8000016,EBITDA / COSTOS FINANCIEROS,-0.08
8000017,ANALISIS DU-PONT,0.05
