Nro,Rubro,Monto
1122500,EFECTIVO Y EQUIVALENTES A EFECTIVO,2903691476.00
1122300,ACTIVOS FINANCIEROS CORRIENTES,25366684.00
1121999,CUENTAS POR COBRAR CORRIENTES,229409971.00
1122400,OTROS ACTIVOS NO FINANCIEROS CORRIENTES,709500524.00
1120100,INVENTARIOS CORRIENTES,0
1139999,ACTIVO CORRIENTE,3867968655.00
1112400,ACTIVOS FINANCIEROS NO CORRIENTES,3321773141.00
1111999,CUENTAS POR COBRAR NO CORRIENTES,0
1110100,PROPIEDADES PLANTAS Y EQUIPOS,147366464.00
1112500,OTROS ACTIVOS NO FINANCIEROS NO CORRIENTES,2846302798.00
1110200,ACTIVOS INTANGIBLES,1320532338.00
1119999,ACTIVO NO CORRIENTE,7635974741.00
1999999,TOTAL DEL ACTIVO,11503943396.00
2210999,CAPITAL,122920000.00
2210300,AJUSTE DE CAPITAL,668405556.00
2210500,APORTES NO CAPITALIZADOS O CONTRIBUCIONES DE CAPITAL,0
2210900,OTROS CONCEPTOS DEL CAPITAL,3870446456.00
2211100,RESERVA LEGAL,66665090.00
2211200,OTRAS RESERVAS,3556088389.00
2211999,GANANCIAS RESERVADAS,3622753479.00
2211300,INTERESES NO CONTROLANTES,0
2212999,RESULTADOS NO ASIGNADOS,923611707.00
2213999,RESULTADOS INTEGRALES,0
2299999,TOTAL PATRIMONIO NETO,9208137198.00
2322200,PASIVOS FINANCIEROS CORRIENTES,0
2321999,CUENTAS POR PAGAR CORRIENTES,972904026.00
2322100,PASIVOS POR IMPUESTOS CORRIENTES,774646696.00
2322300,OTROS PASIVOS NO FINANCIEROS CORRIENTES,140354775.00
2339999,PASIVO CORRIENTE,1887905497.00
2312300,PASIVOS FINANCIEROS NO CORRIENTES,0
2311999,CUENTAS POR PAGAR NO CORRIENTES,0
2312200,PASIVOS POR IMPUESTOS NO CORRIENTES,0
2312400,OTROS PASIVOS NO FINANCIEROS NO CORRIENTES,407900701.00
2319999,PASIVO NO CORRIENTE,407900701.00
2399999,TOTAL DEL PASIVO,2295806198.00
2999999,TOTAL DEL PASIVO Y PATRIMONIO NETO,11503943396.00
3000100,INGRESOS DE ACTIVIDADES ORDINARIAS,1458688937.00
3000200,COSTO DE VENTAS Y/O SERVICIOS,0
3009999,GANANCIA (PERDIDA) BRUTA,1458688937.00
3011301,HONORARIOS A DIRECTORES Y SINDICOS,-45000000.00
3011300,OTROS GASTOS DE ADMINISTRACION,-649753162.00
3011200,GASTOS DE COMERCIALIZACION Y/O DISTRIBUCION,0
3011400,OTROS GASTOS OPERATIVOS,0
3011100,OTROS INGRESOS,0
3011600,DEPRECIACIONES Y AMORTIZACIONES,-72898606.00
3019999,GANANCIA (PERDIDA) DE ACTIVIDADES OPERATIVAS,691037169.00
3021400,INGRESOS FINANCIEROS,336600487.00
3021500,COSTOS FINANCIEROS,0
3021800,RECPAM,-26328071.00
3021900,OTROS RESULTADOS,0
3029999,GANANCIA (PERDIDA) ANTES DE IMPUESTOS,1001309585.00
3031100,INGRESO (GASTO) POR IMPUESTOS A LAS GANANCIAS,-77697878.00
3049999,GANANCIA (PERDIDA)  DEL PERIODO / EJERCICIO,923611707.00
3061999,OTRO RESULTADO INTEGRAL DEL EJERCICIO / PERIODO,-138687.00
3099999,RESULTADO INTEGRAL TOTAL  DEL EJERCICIO / PERIODO,923473020.00
3241100,TOTAL CAMBIOS EN ACTIVOS Y PASIVOS OPERATIVOS,-2178540404.00
3241200,TOTAL DE ACTIVIDADES DE INVERSION,-182970586.00
3241300,TOTAL DE ACTIVIDADES DE FINANCIACION,-623550921.00
3240000,INCREMENTO (DISMINUCION) NETA DE EFECTIVO Y EQUIVALENTES,-2985061911.00
8000000,GANANCIA (PERDIDA) BASICA POR ACCION,0
8000001,GANANCIAS (PERDIDA) DILUIDA POR ACCION,0
8000002,TOTAL PATRIMONIO NETO DEL EJERCICIO ANTERIOR,8955647341.00
8000003,EBIT,1001309585.00
8000004,EBITDA,1074208191.00
8000005,CAPITAL DE TRABAJO,1980063158.00
8000006,LIQUIDEZ,2.05
8000007,SOLVENCIA,4.01
8000008,INMOVILIZACION DEL CAPITAL,0.66
8000009,RENTABILIDAD PATRIMONIO NETO,0.11
8000010,RENTABILIDAD DEL ACTIVO,0.09
8000011,ENDEUDAMIENTO,0.25
8000012,ENDEUDAMIENTO A CORTO PLAZO,0.21
8000013,APALANCAMIENTO,1.25
8000014,MARGEN NETO / VENTAS,0.63
8000015,DEUDA FINANCIERA / EBITDA,0
8000016,EBITDA / COSTOS FINANCIEROS,0
8000017,ANALISIS DU-PONT,0.11
