Nro,Rubro,Monto
1122500,EFECTIVO Y EQUIVALENTES A EFECTIVO,4478393.00
1122300,ACTIVOS FINANCIEROS CORRIENTES,0
1121999,CUENTAS POR COBRAR CORRIENTES,8172335.00
1122400,OTROS ACTIVOS NO FINANCIEROS CORRIENTES,2550926.00
1120100,INVENTARIOS CORRIENTES,492645.03
1139999,ACTIVO CORRIENTE,15694299.03
1112400,ACTIVOS FINANCIEROS NO CORRIENTES,0
1111999,CUENTAS POR COBRAR NO CORRIENTES,18522456.00
1110100,PROPIEDADES PLANTAS Y EQUIPOS,34970425.00
1112500,OTROS ACTIVOS NO FINANCIEROS NO CORRIENTES,2333193.97
1110200,ACTIVOS INTANGIBLES,2187187.00
1119999,ACTIVO NO CORRIENTE,58013261.97
1999999,TOTAL DEL ACTIVO,73707561.00
2210999,CAPITAL,1152527.00
2210300,AJUSTE DE CAPITAL,3257068.00
2210500,APORTES NO CAPITALIZADOS O CONTRIBUCIONES DE CAPITAL,109495.00
2210900,OTROS CONCEPTOS DEL CAPITAL,14150301.00
2211100,RESERVA LEGAL,1094390.00
2211200,OTRAS RESERVAS,10251569.00
2211999,GANANCIAS RESERVADAS,11345959.00
2211300,INTERESES NO CONTROLANTES,19415.00
2212999,RESULTADOS NO ASIGNADOS,2081848.00
2213999,RESULTADOS INTEGRALES,-191893.00
2299999,TOTAL PATRIMONIO NETO,31924720.00
2322200,PASIVOS FINANCIEROS CORRIENTES,5089028.00
2321999,CUENTAS POR PAGAR CORRIENTES,1890640.00
2322100,PASIVOS POR IMPUESTOS CORRIENTES,344586.00
2322300,OTROS PASIVOS NO FINANCIEROS CORRIENTES,591294.00
2339999,PASIVO CORRIENTE,7915548.00
2312300,PASIVOS FINANCIEROS NO CORRIENTES,30101782.00
2311999,CUENTAS POR PAGAR NO CORRIENTES,31009.00
2312200,PASIVOS POR IMPUESTOS NO CORRIENTES,3368673.00
2312400,OTROS PASIVOS NO FINANCIEROS NO CORRIENTES,365829.00
2319999,PASIVO NO CORRIENTE,33867293.00
2399999,TOTAL DEL PASIVO,41782841.00
2999999,TOTAL DEL PASIVO Y PATRIMONIO NETO,73707561.00
3000100,INGRESOS DE ACTIVIDADES ORDINARIAS,18577777.00
3000200,COSTO DE VENTAS Y/O SERVICIOS,-6922758.00
3009999,GANANCIA (PERDIDA) BRUTA,11655019.00
3011301,HONORARIOS A DIRECTORES Y SINDICOS,0
3011300,OTROS GASTOS DE ADMINISTRACION,-1516694.00
3011200,GASTOS DE COMERCIALIZACION Y/O DISTRIBUCION,-1948966.00
3011400,OTROS GASTOS OPERATIVOS,163186.00
3011100,OTROS INGRESOS,0
3011600,DEPRECIACIONES Y AMORTIZACIONES,-2989115.00
3019999,GANANCIA (PERDIDA) DE ACTIVIDADES OPERATIVAS,5363430.00
3021400,INGRESOS FINANCIEROS,3401029.00
3021500,COSTOS FINANCIEROS,-3558972.00
3021800,RECPAM,-1982596.00
3021900,OTROS RESULTADOS,354896.00
3029999,GANANCIA (PERDIDA) ANTES DE IMPUESTOS,3577787.00
3031100,INGRESO (GASTO) POR IMPUESTOS A LAS GANANCIAS,-1496330.00
3049999,GANANCIA (PERDIDA)  DEL PERIODO / EJERCICIO,2081457.00
3061999,OTRO RESULTADO INTEGRAL DEL EJERCICIO / PERIODO,-192107.00
3099999,RESULTADO INTEGRAL TOTAL  DEL EJERCICIO / PERIODO,1889350.00
3241100,TOTAL CAMBIOS EN ACTIVOS Y PASIVOS OPERATIVOS,8019677.00
3241200,TOTAL DE ACTIVIDADES DE INVERSION,-7808247.00
3241300,TOTAL DE ACTIVIDADES DE FINANCIACION,-2120655.00
3240000,INCREMENTO (DISMINUCION) NETA DE EFECTIVO Y EQUIVALENTES,-1909225.00
8000000,GANANCIA (PERDIDA) BASICA POR ACCION,0.18
8000001,GANANCIAS (PERDIDA) DILUIDA POR ACCION,0.18
8000002,TOTAL PATRIMONIO NETO DEL EJERCICIO ANTERIOR,30124951.50
8000003,EBIT,5200244.00
8000004,EBITDA,8189359.00
8000005,CAPITAL DE TRABAJO,7778751.03
8000006,LIQUIDEZ,1.98
8000007,SOLVENCIA,0.76
8000008,INMOVILIZACION DEL CAPITAL,0.79
8000009,RENTABILIDAD PATRIMONIO NETO,0.12
8000010,RENTABILIDAD DEL ACTIVO,0.05
8000011,ENDEUDAMIENTO,1.31
8000012,ENDEUDAMIENTO A CORTO PLAZO,0.25
8000013,APALANCAMIENTO,2.31
8000014,MARGEN NETO / VENTAS,0.10
8000015,DEUDA FINANCIERA / EBITDA,4.30
8000016,EBITDA / COSTOS FINANCIEROS,-2.30
8000017,ANALISIS DU-PONT,0.11
