Nro,Rubro,Monto
1122500,EFECTIVO Y EQUIVALENTES A EFECTIVO,22691013.00
1122300,ACTIVOS FINANCIEROS CORRIENTES,2039685.00
1121999,CUENTAS POR COBRAR CORRIENTES,104628601.00
1122400,OTROS ACTIVOS NO FINANCIEROS CORRIENTES,2860723.00
1120100,INVENTARIOS CORRIENTES,125775152.00
1139999,ACTIVO CORRIENTE,257995174.00
1112400,ACTIVOS FINANCIEROS NO CORRIENTES,0
1111999,CUENTAS POR COBRAR NO CORRIENTES,6869911.00
1110100,PROPIEDADES PLANTAS Y EQUIPOS,129208029.00
1112500,OTROS ACTIVOS NO FINANCIEROS NO CORRIENTES,34882563.00
1110200,ACTIVOS INTANGIBLES,23760963.00
1119999,ACTIVO NO CORRIENTE,194721466.00
1999999,TOTAL DEL ACTIVO,452716640.00
2210999,CAPITAL,700000.00
2210300,AJUSTE DE CAPITAL,21128913.00
2210500,APORTES NO CAPITALIZADOS O CONTRIBUCIONES DE CAPITAL,0
2210900,OTROS CONCEPTOS DEL CAPITAL,-4804.00
2211100,RESERVA LEGAL,4365783.00
2211200,OTRAS RESERVAS,63436265.00
2211999,GANANCIAS RESERVADAS,67802048.00
2211300,INTERESES NO CONTROLANTES,60363036.00
2212999,RESULTADOS NO ASIGNADOS,31523934.00
2213999,RESULTADOS INTEGRALES,-24374051.00
2299999,TOTAL PATRIMONIO NETO,157139076.00
2322200,PASIVOS FINANCIEROS CORRIENTES,68018628.00
2321999,CUENTAS POR PAGAR CORRIENTES,129638972.00
2322100,PASIVOS POR IMPUESTOS CORRIENTES,1344699.00
2322300,OTROS PASIVOS NO FINANCIEROS CORRIENTES,3282422.00
2339999,PASIVO CORRIENTE,202284721.00
2312300,PASIVOS FINANCIEROS NO CORRIENTES,60585501.00
2311999,CUENTAS POR PAGAR NO CORRIENTES,1198699.00
2312200,PASIVOS POR IMPUESTOS NO CORRIENTES,22339342.00
2312400,OTROS PASIVOS NO FINANCIEROS NO CORRIENTES,9169301.00
2319999,PASIVO NO CORRIENTE,93292843.00
2399999,TOTAL DEL PASIVO,295577564.00
2999999,TOTAL DEL PASIVO Y PATRIMONIO NETO,452716640.00
3000100,INGRESOS DE ACTIVIDADES ORDINARIAS,625082119.00
3000200,COSTO DE VENTAS Y/O SERVICIOS,-441556114.00
3009999,GANANCIA (PERDIDA) BRUTA,183526005.00
3011301,HONORARIOS A DIRECTORES Y SINDICOS,-2006338.00
3011300,OTROS GASTOS DE ADMINISTRACION,-26983449.00
3011200,GASTOS DE COMERCIALIZACION Y/O DISTRIBUCION,-90240960.00
3011400,OTROS GASTOS OPERATIVOS,0
3011100,OTROS INGRESOS,-5984624.00
3011600,DEPRECIACIONES Y AMORTIZACIONES,-15882085.00
3019999,GANANCIA (PERDIDA) DE ACTIVIDADES OPERATIVAS,42428549.00
3021400,INGRESOS FINANCIEROS,-13927463.00
3021500,COSTOS FINANCIEROS,-237389.00
3021800,RECPAM,21349545.00
3021900,OTROS RESULTADOS,6898051.00
3029999,GANANCIA (PERDIDA) ANTES DE IMPUESTOS,56511293.00
3031100,INGRESO (GASTO) POR IMPUESTOS A LAS GANANCIAS,-21130923.00
3032000,GANANCIA (PERDIDA)  DEL PERIODO / EJERCICIO OPERACIONES CONTINUADAS,35380370.00
3041000,GANANCIA (PERDIDA)  DEL PERIODO / EJERCICIO OPERACIONES DISCONTINUADAS,0
3049999,GANANCIA (PERDIDA)  DEL PERIODO / EJERCICIO,35380370.00
3061999,OTRO RESULTADO INTEGRAL DEL EJERCICIO / PERIODO,-7957918.00
3099999,RESULTADO INTEGRAL TOTAL  DEL EJERCICIO / PERIODO,27422452.00
3241100,TOTAL CAMBIOS EN ACTIVOS Y PASIVOS OPERATIVOS,51504364.00
3241200,TOTAL DE ACTIVIDADES DE INVERSION,-11492011.00
3241300,TOTAL DE ACTIVIDADES DE FINANCIACION,-47377475.00
3240000,INCREMENTO (DISMINUCION) NETA DE EFECTIVO Y EQUIVALENTES,-7365122.00
8000000,GANANCIA (PERDIDA) BASICA POR ACCION,0.46
8000001,GANANCIAS (PERDIDA) DILUIDA POR ACCION,0.46
8000002,TOTAL PATRIMONIO NETO DEL EJERCICIO ANTERIOR,141917035.00
8000003,EBIT,42428549.00
8000004,EBITDA,59008392.00
8000005,CAPITAL DE TRABAJO,55710453.00
8000006,LIQUIDEZ,1.28
8000007,SOLVENCIA,0.53
8000008,INMOVILIZACION DEL CAPITAL,0.43
8000009,RENTABILIDAD PATRIMONIO NETO,0.24
8000010,RENTABILIDAD DEL ACTIVO,0.08
8000011,ENDEUDAMIENTO,1.88
8000012,ENDEUDAMIENTO A CORTO PLAZO,1.29
8000013,APALANCAMIENTO,2.88
8000014,MARGEN NETO / VENTAS,0.04
8000015,DEUDA FINANCIERA / EBITDA,2.18
8000016,EBITDA / COSTOS FINANCIEROS,-248.57
8000017,ANALISIS DU-PONT,0.23
8000027,PRUEBA ACIDA,0.65
8000028,COBERTURA DE GASTOS FINANCIEROS,-178.73
8000029,ROTACION DE ACTIVOS,1.38
