Nro,Rubro,Monto
1122500,EFECTIVO Y EQUIVALENTES A EFECTIVO,4614315319.00
1122300,ACTIVOS FINANCIEROS CORRIENTES,51756724.00
1121999,CUENTAS POR COBRAR CORRIENTES,2748794656.00
1122400,OTROS ACTIVOS NO FINANCIEROS CORRIENTES,910719231.00
1120100,INVENTARIOS CORRIENTES,0
1139999,ACTIVO CORRIENTE,8325585930.00
1112400,ACTIVOS FINANCIEROS NO CORRIENTES,4514459993.00
1111999,CUENTAS POR COBRAR NO CORRIENTES,0
1110100,PROPIEDADES PLANTAS Y EQUIPOS,0
1112500,OTROS ACTIVOS NO FINANCIEROS NO CORRIENTES,170824083.00
1110200,ACTIVOS INTANGIBLES,41194015419.00
1119999,ACTIVO NO CORRIENTE,45879299495.00
1999999,TOTAL DEL ACTIVO,54204885425.00
2210999,CAPITAL,887769939.00
2210300,AJUSTE DE CAPITAL,8076892213.00
2210500,APORTES NO CAPITALIZADOS O CONTRIBUCIONES DE CAPITAL,0
2210900,OTROS CONCEPTOS DEL CAPITAL,137280595.00
2211100,RESERVA LEGAL,351808374.00
2211200,OTRAS RESERVAS,9313748307.00
2211999,GANANCIAS RESERVADAS,9665556681.00
2211300,INTERESES NO CONTROLANTES,0
2212999,RESULTADOS NO ASIGNADOS,8822944531.00
2213999,RESULTADOS INTEGRALES,0
2299999,TOTAL PATRIMONIO NETO,27590443959.00
2322200,PASIVOS FINANCIEROS CORRIENTES,2975905450.00
2321999,CUENTAS POR PAGAR CORRIENTES,3435734945.00
2322100,PASIVOS POR IMPUESTOS CORRIENTES,413447243.00
2322300,OTROS PASIVOS NO FINANCIEROS CORRIENTES,0
2339999,PASIVO CORRIENTE,6825087638.00
2312300,PASIVOS FINANCIEROS NO CORRIENTES,15195351437.00
2311999,CUENTAS POR PAGAR NO CORRIENTES,141060954.00
2312200,PASIVOS POR IMPUESTOS NO CORRIENTES,4393939047.00
2312400,OTROS PASIVOS NO FINANCIEROS NO CORRIENTES,59002390.00
2319999,PASIVO NO CORRIENTE,19789353828.00
2399999,TOTAL DEL PASIVO,26614441466.00
2999999,TOTAL DEL PASIVO Y PATRIMONIO NETO,54204885425.00
3000100,INGRESOS DE ACTIVIDADES ORDINARIAS,9412244414.00
3000200,COSTO DE VENTAS Y/O SERVICIOS,-5478279605.00
3009999,GANANCIA (PERDIDA) BRUTA,3933964809.00
3011301,HONORARIOS A DIRECTORES Y SINDICOS,-5061376.00
3011300,OTROS GASTOS DE ADMINISTRACION,-249291661.00
3011200,GASTOS DE COMERCIALIZACION Y/O DISTRIBUCION,-441070509.00
3011400,OTROS GASTOS OPERATIVOS,0
3011100,OTROS INGRESOS,175763778.00
3011600,DEPRECIACIONES Y AMORTIZACIONES,-948534513.00
3019999,GANANCIA (PERDIDA) DE ACTIVIDADES OPERATIVAS,2465770528.00
3021400,INGRESOS FINANCIEROS,443712599.00
3021500,COSTOS FINANCIEROS,-818850377.00
3021800,RECPAM,-404481637.00
3021900,OTROS RESULTADOS,-504278.00
3029999,GANANCIA (PERDIDA) ANTES DE IMPUESTOS,1685646835.00
3031100,INGRESO (GASTO) POR IMPUESTOS A LAS GANANCIAS,494791723.00
3049999,GANANCIA (PERDIDA)  DEL PERIODO / EJERCICIO,2180438558.00
3061999,OTRO RESULTADO INTEGRAL DEL EJERCICIO / PERIODO,0
3099999,RESULTADO INTEGRAL TOTAL  DEL EJERCICIO / PERIODO,2180438558.00
3241100,TOTAL CAMBIOS EN ACTIVOS Y PASIVOS OPERATIVOS,-72671100.00
3241200,TOTAL DE ACTIVIDADES DE INVERSION,202554910.00
3241300,TOTAL DE ACTIVIDADES DE FINANCIACION,-317112523.00
3240000,INCREMENTO (DISMINUCION) NETA DE EFECTIVO Y EQUIVALENTES,-187228713.00
8000000,GANANCIA (PERDIDA) BASICA POR ACCION,8.42
8000001,GANANCIAS (PERDIDA) DILUIDA POR ACCION,8.42
8000002,TOTAL PATRIMONIO NETO DEL EJERCICIO ANTERIOR,25410005401.00
8000003,EBIT,2466437326.00
8000004,EBITDA,3414971839.00
8000005,CAPITAL DE TRABAJO,1500498292.00
8000006,LIQUIDEZ,1.22
8000007,SOLVENCIA,1.04
8000008,INMOVILIZACION DEL CAPITAL,0.85
8000009,RENTABILIDAD PATRIMONIO NETO,0.06
8000010,RENTABILIDAD DEL ACTIVO,0.03
8000011,ENDEUDAMIENTO,0.96
8000012,ENDEUDAMIENTO A CORTO PLAZO,0.25
8000013,APALANCAMIENTO,1.96
8000014,MARGEN NETO / VENTAS,0.23
8000015,DEUDA FINANCIERA / EBITDA,5.32
8000016,EBITDA / COSTOS FINANCIEROS,-4.17
8000017,ANALISIS DU-PONT,0.06
