Nro,Rubro,Monto
1122500,EFECTIVO Y EQUIVALENTES A EFECTIVO,148334.00
1122300,ACTIVOS FINANCIEROS CORRIENTES,0
1121999,CUENTAS POR COBRAR CORRIENTES,4869202.00
1122400,OTROS ACTIVOS NO FINANCIEROS CORRIENTES,0
1120100,INVENTARIOS CORRIENTES,1708570.00
1139999,ACTIVO CORRIENTE,6726106.00
1112400,ACTIVOS FINANCIEROS NO CORRIENTES,0
1111999,CUENTAS POR COBRAR NO CORRIENTES,62677.00
1110100,PROPIEDADES PLANTAS Y EQUIPOS,1035577.00
1112500,OTROS ACTIVOS NO FINANCIEROS NO CORRIENTES,532722.00
1110200,ACTIVOS INTANGIBLES,482208.00
1119999,ACTIVO NO CORRIENTE,2113184.00
1999999,TOTAL DEL ACTIVO,8839290.00
2210999,CAPITAL,1148574.00
2210300,AJUSTE DE CAPITAL,1475904.00
2210500,APORTES NO CAPITALIZADOS O CONTRIBUCIONES DE CAPITAL,0
2210900,OTROS CONCEPTOS DEL CAPITAL,2448785.00
2211100,RESERVA LEGAL,3701.00
2211200,OTRAS RESERVAS,11470.00
2211999,GANANCIAS RESERVADAS,15171.00
2211300,INTERESES NO CONTROLANTES,0
2212999,RESULTADOS NO ASIGNADOS,-2831754.00
2213999,RESULTADOS INTEGRALES,0
2299999,TOTAL PATRIMONIO NETO,2256680.00
2322200,PASIVOS FINANCIEROS CORRIENTES,3307017.00
2321999,CUENTAS POR PAGAR CORRIENTES,2907373.00
2322100,PASIVOS POR IMPUESTOS CORRIENTES,9898.00
2322300,OTROS PASIVOS NO FINANCIEROS CORRIENTES,0
2339999,PASIVO CORRIENTE,6224288.00
2312300,PASIVOS FINANCIEROS NO CORRIENTES,350507.00
2311999,CUENTAS POR PAGAR NO CORRIENTES,714.00
2312200,PASIVOS POR IMPUESTOS NO CORRIENTES,0
2312400,OTROS PASIVOS NO FINANCIEROS NO CORRIENTES,7101.00
2319999,PASIVO NO CORRIENTE,358322.00
2399999,TOTAL DEL PASIVO,6582610.00
2999999,TOTAL DEL PASIVO Y PATRIMONIO NETO,8839290.00
3000100,INGRESOS DE ACTIVIDADES ORDINARIAS,4012748.00
3000200,COSTO DE VENTAS Y/O SERVICIOS,-2958513.00
3009999,GANANCIA (PERDIDA) BRUTA,1054235.00
3011301,HONORARIOS A DIRECTORES Y SINDICOS,0
3011300,OTROS GASTOS DE ADMINISTRACION,-117932.00
3011200,GASTOS DE COMERCIALIZACION Y/O DISTRIBUCION,-225452.00
3011400,OTROS GASTOS OPERATIVOS,-9566.00
3011100,OTROS INGRESOS,23627.00
3011600,DEPRECIACIONES Y AMORTIZACIONES,-89381.00
3019999,GANANCIA (PERDIDA) DE ACTIVIDADES OPERATIVAS,635531.00
3021400,INGRESOS FINANCIEROS,5658.00
3021500,COSTOS FINANCIEROS,-1006586.00
3021800,RECPAM,905261.00
3021900,OTROS RESULTADOS,-2401945.00
3029999,GANANCIA (PERDIDA) ANTES DE IMPUESTOS,-1862081.00
3031100,INGRESO (GASTO) POR IMPUESTOS A LAS GANANCIAS,349078.00
3049999,GANANCIA (PERDIDA)  DEL PERIODO / EJERCICIO,-1513003.00
3061999,OTRO RESULTADO INTEGRAL DEL EJERCICIO / PERIODO,0
3099999,RESULTADO INTEGRAL TOTAL  DEL EJERCICIO / PERIODO,-1513003.00
3241100,TOTAL CAMBIOS EN ACTIVOS Y PASIVOS OPERATIVOS,-938135.00
3241200,TOTAL DE ACTIVIDADES DE INVERSION,-89855.00
3241300,TOTAL DE ACTIVIDADES DE FINANCIACION,1039772.00
3240000,INCREMENTO (DISMINUCION) NETA DE EFECTIVO Y EQUIVALENTES,11782.00
8000000,GANANCIA (PERDIDA) BASICA POR ACCION,-1.68
8000001,GANANCIAS (PERDIDA) DILUIDA POR ACCION,-1.68
8000002,TOTAL PATRIMONIO NETO DEL EJERCICIO ANTERIOR,797377.00
8000003,EBIT,635531.00
8000004,EBITDA,724912.00
8000005,CAPITAL DE TRABAJO,501818.00
8000006,LIQUIDEZ,1.08
8000007,SOLVENCIA,0.34
8000008,INMOVILIZACION DEL CAPITAL,0.24
8000009,RENTABILIDAD PATRIMONIO NETO,-1.22
8000010,RENTABILIDAD DEL ACTIVO,-0.21
8000011,ENDEUDAMIENTO,2.92
8000012,ENDEUDAMIENTO A CORTO PLAZO,2.76
8000013,APALANCAMIENTO,3.92
8000014,MARGEN NETO / VENTAS,-0.38
8000015,DEUDA FINANCIERA / EBITDA,5.05
8000016,EBITDA / COSTOS FINANCIEROS,-0.72
8000017,ANALISIS DU-PONT,-0.83
