Nro,Rubro,Monto
1122500,EFECTIVO Y EQUIVALENTES A EFECTIVO,8934680293.00
1122300,ACTIVOS FINANCIEROS CORRIENTES,21606193111.00
1121999,CUENTAS POR COBRAR CORRIENTES,0
1122400,OTROS ACTIVOS NO FINANCIEROS CORRIENTES,5708825854.00
1120100,INVENTARIOS CORRIENTES,14636556821.00
1139999,ACTIVO CORRIENTE,50886256079.00
1112400,ACTIVOS FINANCIEROS NO CORRIENTES,4309623391.00
1111999,CUENTAS POR COBRAR NO CORRIENTES,0
1110100,PROPIEDADES PLANTAS Y EQUIPOS,22212448530.00
1112500,OTROS ACTIVOS NO FINANCIEROS NO CORRIENTES,184872889.00
1110200,ACTIVOS INTANGIBLES,0
1119999,ACTIVO NO CORRIENTE,26706944810.00
1999999,TOTAL DEL ACTIVO,77593200889.00
2210999,CAPITAL,1200000000.00
2210300,AJUSTE DE CAPITAL,26134160264.00
2210500,APORTES NO CAPITALIZADOS O CONTRIBUCIONES DE CAPITAL,0
2210900,OTROS CONCEPTOS DEL CAPITAL,0
2211100,RESERVA LEGAL,4129149870.00
2211200,OTRAS RESERVAS,5092245685.00
2211999,GANANCIAS RESERVADAS,9221395555.00
2211300,INTERESES NO CONTROLANTES,0
2212999,RESULTADOS NO ASIGNADOS,5683648688.00
2213999,RESULTADOS INTEGRALES,1291226395.00
2299999,TOTAL PATRIMONIO NETO,43530430902.00
2322200,PASIVOS FINANCIEROS CORRIENTES,19847309222.00
2321999,CUENTAS POR PAGAR CORRIENTES,0
2322100,PASIVOS POR IMPUESTOS CORRIENTES,2204355108.00
2322300,OTROS PASIVOS NO FINANCIEROS CORRIENTES,9100109681.00
2339999,PASIVO CORRIENTE,31151774011.00
2312300,PASIVOS FINANCIEROS NO CORRIENTES,2198951860.00
2311999,CUENTAS POR PAGAR NO CORRIENTES,712044116.00
2312200,PASIVOS POR IMPUESTOS NO CORRIENTES,0
2312400,OTROS PASIVOS NO FINANCIEROS NO CORRIENTES,0
2319999,PASIVO NO CORRIENTE,2910995976.00
2399999,TOTAL DEL PASIVO,34062769987.00
2999999,TOTAL DEL PASIVO Y PATRIMONIO NETO,77593200889.00
3000100,INGRESOS DE ACTIVIDADES ORDINARIAS,63404262575.00
3000200,COSTO DE VENTAS Y/O SERVICIOS,-43285585195.00
3009999,GANANCIA (PERDIDA) BRUTA,20118677380.00
3011301,HONORARIOS A DIRECTORES Y SINDICOS,0
3011300,OTROS GASTOS DE ADMINISTRACION,-4403859468.00
3011200,GASTOS DE COMERCIALIZACION Y/O DISTRIBUCION,-5415794407.00
3011400,OTROS GASTOS OPERATIVOS,0
3011100,OTROS INGRESOS,0
3011600,DEPRECIACIONES Y AMORTIZACIONES,0
3019999,GANANCIA (PERDIDA) DE ACTIVIDADES OPERATIVAS,10299023505.00
3021400,INGRESOS FINANCIEROS,2671633466.00
3021500,COSTOS FINANCIEROS,-2702636691.00
3021800,RECPAM,-1536329239.00
3021900,OTROS RESULTADOS,36042103.00
3029999,GANANCIA (PERDIDA) ANTES DE IMPUESTOS,8767733144.00
3031100,INGRESO (GASTO) POR IMPUESTOS A LAS GANANCIAS,-3084084456.00
3032000,GANANCIA (PERDIDA) DEL PERIODO/EJERCICIO OPERACIONES CONTINUADAS,5683648688.00
3041000,GANANCIA (PERDIDA) DEL PERIODO/EJERCICIO OPERACIONES DISCONTINUADAS,0
3049999,GANANCIA (PERDIDA)  DEL PERIODO / EJERCICIO,5683648688.00
3061999,OTRO RESULTADO INTEGRAL DEL EJERCICIO / PERIODO,-1475001872.00
3099999,RESULTADO INTEGRAL TOTAL  DEL EJERCICIO / PERIODO,4208646816.00
3241100,TOTAL CAMBIOS EN ACTIVOS Y PASIVOS OPERATIVOS,2744135446.00
3241200,TOTAL DE ACTIVIDADES DE INVERSION,-1061130174.00
3241300,TOTAL DE ACTIVIDADES DE FINANCIACION,-1769652906.00
3240000,INCREMENTO (DISMINUCION) NETA DE EFECTIVO Y EQUIVALENTES,-86647634.00
8000000,GANANCIA (PERDIDA) BASICA POR ACCION,3.51
8000001,GANANCIAS (PERDIDA) DILUIDA POR ACCION,3.51
8000002,TOTAL PATRIMONIO NETO DEL EJERCICIO ANTERIOR,39321784086.00
8000003,EBIT,9073231400.00
8000004,EBITDA,11431449639.00
8000005,CAPITAL DE TRABAJO,19734482068.00
8000006,LIQUIDEZ,1.63
8000007,SOLVENCIA,1.28
8000008,INMOVILIZACION DEL CAPITAL,0.34
8000009,RENTABILIDAD PATRIMONIO NETO,0.21
8000010,RENTABILIDAD DEL ACTIVO,0.11
8000011,ENDEUDAMIENTO,0.78
8000012,ENDEUDAMIENTO A CORTO PLAZO,0.72
8000013,APALANCAMIENTO,1.78
8000014,MARGEN NETO / VENTAS,0.07
8000015,DEUDA FINANCIERA / EBITDA,1.93
8000016,EBITDA / COSTOS FINANCIEROS,-4.23
8000017,ANALISIS DU-PONT,0.2
8000027,PRUEBA ACIDA,1.16
8000028,COBERTURA DE GASTOS FINANCIEROS,10.9
8000029,ROTACION DE ACTIVOS,0.88
