Nro,Rubro,Monto
1122500,EFECTIVO Y EQUIVALENTES A EFECTIVO,101435234162.00
1122300,ACTIVOS FINANCIEROS CORRIENTES,153503295506.00
1121999,CUENTAS POR COBRAR CORRIENTES,169776002719.00
1122400,OTROS ACTIVOS NO FINANCIEROS CORRIENTES,112992642515.00
1120100,INVENTARIOS CORRIENTES,1134550232147.00
1139999,ACTIVO CORRIENTE,1672257407049.00
1112400,ACTIVOS FINANCIEROS NO CORRIENTES,0
1111999,CUENTAS POR COBRAR NO CORRIENTES,0
1110100,PROPIEDADES PLANTAS Y EQUIPOS,1526595356383.00
1112500,OTROS ACTIVOS NO FINANCIEROS NO CORRIENTES,46625499856.00
1110200,ACTIVOS INTANGIBLES,1705531297.00
1119999,ACTIVO NO CORRIENTE,1574926387536.00
1999999,TOTAL DEL ACTIVO,3247183794585.00
2210999,CAPITAL,2800000000.00
2210300,AJUSTE DE CAPITAL,1031104641346.00
2210500,APORTES NO CAPITALIZADOS O CONTRIBUCIONES DE CAPITAL,0
2210900,OTROS CONCEPTOS DEL CAPITAL,0
2211100,RESERVA LEGAL,109569350239.00
2211200,OTRAS RESERVAS,606315409329.00
2211999,GANANCIAS RESERVADAS,715884759568.00
2211300,INTERESES NO CONTROLANTES,68387117069.00
2212999,RESULTADOS NO ASIGNADOS,27424613965.00
2213999,RESULTADOS INTEGRALES,0
2299999,TOTAL PATRIMONIO NETO,1845601131948.00
2322200,PASIVOS FINANCIEROS CORRIENTES,541574749726.00
2321999,CUENTAS POR PAGAR CORRIENTES,121798280497.00
2322100,PASIVOS POR IMPUESTOS CORRIENTES,19532405291.00
2322300,OTROS PASIVOS NO FINANCIEROS CORRIENTES,62278568799.00
2339999,PASIVO CORRIENTE,745184004313.00
2312300,PASIVOS FINANCIEROS NO CORRIENTES,451401745362.00
2311999,CUENTAS POR PAGAR NO CORRIENTES,0
2312200,PASIVOS POR IMPUESTOS NO CORRIENTES,174197077731.00
2312400,OTROS PASIVOS NO FINANCIEROS NO CORRIENTES,30799835231.00
2319999,PASIVO NO CORRIENTE,656398658324.00
2399999,TOTAL DEL PASIVO,1401582662637.00
2999999,TOTAL DEL PASIVO Y PATRIMONIO NETO,3247183794585.00
3000100,INGRESOS DE ACTIVIDADES ORDINARIAS,1234354403132.00
3000200,COSTO DE VENTAS Y/O SERVICIOS,-934006207905.00
3009999,GANANCIA (PERDIDA) BRUTA,300348195227.00
3011301,HONORARIOS A DIRECTORES Y SINDICOS,-564496456.00
3011300,OTROS GASTOS DE ADMINISTRACION,-33886004603.00
3011200,GASTOS DE COMERCIALIZACION Y/O DISTRIBUCION,-60290733679.00
3011400,OTROS GASTOS OPERATIVOS,-13608200154.00
3011100,OTROS INGRESOS,0
3011600,DEPRECIACIONES Y AMORTIZACIONES,-61869749332.00
3019999,GANANCIA (PERDIDA) DE ACTIVIDADES OPERATIVAS,130129011003.00
3021400,INGRESOS FINANCIEROS,20858303369.00
3021500,COSTOS FINANCIEROS,-90625363789.00
3021800,RECPAM,1371903390.00
3021900,OTROS RESULTADOS,1220369573.00
3029999,GANANCIA (PERDIDA) ANTES DE IMPUESTOS,62954223546.00
3031100,INGRESO (GASTO) POR IMPUESTOS A LAS GANANCIAS,-23171525650.00
3032000,GANANCIA (PERDIDA)  DEL PERIODO / EJERCICIO OPERACIONES CONTINUADAS,39782697896.00
3041000,GANANCIA (PERDIDA)  DEL PERIODO / EJERCICIO OPERACIONES DISCONTINUADAS,0
3049999,GANANCIA (PERDIDA)  DEL PERIODO / EJERCICIO,39782697896.00
3061999,OTRO RESULTADO INTEGRAL DEL EJERCICIO / PERIODO,1039463654.00
3099999,RESULTADO INTEGRAL TOTAL  DEL EJERCICIO / PERIODO,40822161550.00
3241100,TOTAL CAMBIOS EN ACTIVOS Y PASIVOS OPERATIVOS,259172992550.00
3241200,TOTAL DE ACTIVIDADES DE INVERSION,-238441094957.00
3241300,TOTAL DE ACTIVIDADES DE FINANCIACION,-38145297105.00
3240000,INCREMENTO (DISMINUCION) NETA DE EFECTIVO Y EQUIVALENTES,-17413399512.00
8000000,GANANCIA (PERDIDA) BASICA POR ACCION,9.79
8000001,GANANCIAS (PERDIDA) DILUIDA POR ACCION,9.79
8000002,TOTAL PATRIMONIO NETO DEL EJERCICIO ANTERIOR,1813066970398.00
8000003,EBIT,130129011003.00
8000004,EBITDA,191998760335.00
8000005,CAPITAL DE TRABAJO,927073402736.00
8000006,LIQUIDEZ,2.24
8000007,SOLVENCIA,1.32
8000008,INMOVILIZACION DEL CAPITAL,0.49
8000009,RENTABILIDAD PATRIMONIO NETO,0.02
8000010,RENTABILIDAD DEL ACTIVO,0.01
8000011,ENDEUDAMIENTO,0.76
8000012,ENDEUDAMIENTO A CORTO PLAZO,0.40
8000013,APALANCAMIENTO,1.76
8000014,MARGEN NETO / VENTAS,0.03
8000015,DEUDA FINANCIERA / EBITDA,5.17
8000016,EBITDA / COSTOS FINANCIEROS,-2.12
8000017,ANALISIS DU-PONT,0.02
8000027,PRUEBA ACIDA,0.72
8000028,COBERTURA DE GASTOS FINANCIEROS,-1.44
8000029,ROTACION DE ACTIVOS,0.38
