Nro,Rubro,Monto
1122500,EFECTIVO Y EQUIVALENTES A EFECTIVO,137285248.00
1122300,ACTIVOS FINANCIEROS CORRIENTES,8609287460.00
1121999,CUENTAS POR COBRAR CORRIENTES,3705947423.00
1122400,OTROS ACTIVOS NO FINANCIEROS CORRIENTES,1580836101.00
1120100,INVENTARIOS CORRIENTES,14805925468.00
1139999,ACTIVO CORRIENTE,28839281700.00
1112400,ACTIVOS FINANCIEROS NO CORRIENTES,0
1111999,CUENTAS POR COBRAR NO CORRIENTES,0
1110100,PROPIEDADES PLANTAS Y EQUIPOS,25224301478.00
1112500,OTROS ACTIVOS NO FINANCIEROS NO CORRIENTES,110118794.00
1110200,ACTIVOS INTANGIBLES,671722610.00
1119999,ACTIVO NO CORRIENTE,26006142882.00
1999999,TOTAL DEL ACTIVO,54845424582.00
2210999,CAPITAL,42607474.00
2210300,AJUSTE DE CAPITAL,13511618206.00
2210500,APORTES NO CAPITALIZADOS O CONTRIBUCIONES DE CAPITAL,0
2210900,OTROS CONCEPTOS DEL CAPITAL,0
2211100,RESERVA LEGAL,483918969.00
2211200,OTRAS RESERVAS,13655568086.00
2211999,GANANCIAS RESERVADAS,14139487055.00
2211300,INTERESES NO CONTROLANTES,0
2212999,RESULTADOS NO ASIGNADOS,3488614277.00
2213999,RESULTADOS INTEGRALES,0
2299999,TOTAL PATRIMONIO NETO,31182327012.00
2322200,PASIVOS FINANCIEROS CORRIENTES,6530164513.00
2321999,CUENTAS POR PAGAR CORRIENTES,3190191778.00
2322100,PASIVOS POR IMPUESTOS CORRIENTES,0
2322300,OTROS PASIVOS NO FINANCIEROS CORRIENTES,3128071435.00
2339999,PASIVO CORRIENTE,12848427726.00
2312300,PASIVOS FINANCIEROS NO CORRIENTES,627165386.00
2311999,CUENTAS POR PAGAR NO CORRIENTES,0
2312200,PASIVOS POR IMPUESTOS NO CORRIENTES,9933294088.00
2312400,OTROS PASIVOS NO FINANCIEROS NO CORRIENTES,254210370.00
2319999,PASIVO NO CORRIENTE,10814669844.00
2399999,TOTAL DEL PASIVO,23663097570.00
2999999,TOTAL DEL PASIVO Y PATRIMONIO NETO,54845424582.00
3000100,INGRESOS DE ACTIVIDADES ORDINARIAS,49296380014.00
3000200,COSTO DE VENTAS Y/O SERVICIOS,-26629049681.00
3009999,GANANCIA (PERDIDA) BRUTA,22667330333.00
3011301,HONORARIOS A DIRECTORES Y SINDICOS,-676264327.00
3011300,OTROS GASTOS DE ADMINISTRACION,-4750145213.00
3011200,GASTOS DE COMERCIALIZACION Y/O DISTRIBUCION,-7347820589.00
3011400,OTROS GASTOS OPERATIVOS,0
3011100,OTROS INGRESOS,-235960824.00
3011600,DEPRECIACIONES Y AMORTIZACIONES,-779074168.00
3019999,GANANCIA (PERDIDA) DE ACTIVIDADES OPERATIVAS,8878065212.00
3021400,INGRESOS FINANCIEROS,2683804009.00
3021500,COSTOS FINANCIEROS,-7024483569.00
3021800,RECPAM,2107078894.00
3021900,OTROS RESULTADOS,-1550928964.00
3029999,GANANCIA (PERDIDA) ANTES DE IMPUESTOS,5093535582.00
3031100,INGRESO (GASTO) POR IMPUESTOS A LAS GANANCIAS,-1604921305.00
3049999,GANANCIA (PERDIDA)  DEL PERIODO / EJERCICIO,3488614277.00
3061999,OTRO RESULTADO INTEGRAL DEL EJERCICIO / PERIODO,0
3099999,RESULTADO INTEGRAL TOTAL  DEL EJERCICIO / PERIODO,3488614277.00
3241100,TOTAL CAMBIOS EN ACTIVOS Y PASIVOS OPERATIVOS,3395172193.00
3241200,TOTAL DE ACTIVIDADES DE INVERSION,-3176323908.00
3241300,TOTAL DE ACTIVIDADES DE FINANCIACION,-605036537.00
3240000,INCREMENTO (DISMINUCION) NETA DE EFECTIVO Y EQUIVALENTES,-386188252.00
8000000,GANANCIA (PERDIDA) BASICA POR ACCION,81.88
8000001,GANANCIAS (PERDIDA) DILUIDA POR ACCION,81.88
8000002,TOTAL PATRIMONIO NETO DEL EJERCICIO ANTERIOR,31182327012.00
8000003,EBIT,9114026036.00
8000004,EBITDA,9893100204.00
8000005,CAPITAL DE TRABAJO,15990853974.00
8000006,LIQUIDEZ,2.24
8000007,SOLVENCIA,1.32
8000008,INMOVILIZACION DEL CAPITAL,0.47
8000009,RENTABILIDAD PATRIMONIO NETO,0
8000010,RENTABILIDAD DEL ACTIVO,0.09
8000011,ENDEUDAMIENTO,0.76
8000012,ENDEUDAMIENTO A CORTO PLAZO,0.41
8000013,APALANCAMIENTO,1.76
8000014,MARGEN NETO / VENTAS,0.07
8000015,DEUDA FINANCIERA / EBITDA,0.72
8000016,EBITDA / COSTOS FINANCIEROS,-1.41
8000017,ANALISIS DU-PONT,0.16
