Nro,Rubro,Monto
1122500,EFECTIVO Y EQUIVALENTES A EFECTIVO,4253617.00
1122300,ACTIVOS FINANCIEROS CORRIENTES,1325743.00
1121999,CUENTAS POR COBRAR CORRIENTES,2807845.00
1122400,OTROS ACTIVOS NO FINANCIEROS CORRIENTES,4477033.00
1120100,INVENTARIOS CORRIENTES,50739.00
1139999,ACTIVO CORRIENTE,12914977.00
1112400,ACTIVOS FINANCIEROS NO CORRIENTES,92297445.00
1111999,CUENTAS POR COBRAR NO CORRIENTES,78350.00
1110100,PROPIEDADES PLANTAS Y EQUIPOS,4662445.00
1112500,OTROS ACTIVOS NO FINANCIEROS NO CORRIENTES,0
1110200,ACTIVOS INTANGIBLES,0
1119999,ACTIVO NO CORRIENTE,97038240.00
1999999,TOTAL DEL ACTIVO,109953217.00
2210999,CAPITAL,88384.00
2210300,AJUSTE DE CAPITAL,12291706.00
2210500,APORTES NO CAPITALIZADOS O CONTRIBUCIONES DE CAPITAL,0
2210900,OTROS CONCEPTOS DEL CAPITAL,0
2211100,RESERVA LEGAL,2476018.00
2211200,OTRAS RESERVAS,43235441.00
2211999,GANANCIAS RESERVADAS,45711459.00
2211300,INTERESES NO CONTROLANTES,0
2212999,RESULTADOS NO ASIGNADOS,6248799.00
2213999,RESULTADOS INTEGRALES,0
2299999,TOTAL PATRIMONIO NETO,64340348.00
2322200,PASIVOS FINANCIEROS CORRIENTES,0
2321999,CUENTAS POR PAGAR CORRIENTES,3281651.00
2322100,PASIVOS POR IMPUESTOS CORRIENTES,490861.00
2322300,OTROS PASIVOS NO FINANCIEROS CORRIENTES,5484473.00
2339999,PASIVO CORRIENTE,9256985.00
2312300,PASIVOS FINANCIEROS NO CORRIENTES,0
2311999,CUENTAS POR PAGAR NO CORRIENTES,0
2312200,PASIVOS POR IMPUESTOS NO CORRIENTES,32556283.00
2312400,OTROS PASIVOS NO FINANCIEROS NO CORRIENTES,3799601.00
2319999,PASIVO NO CORRIENTE,36355884.00
2399999,TOTAL DEL PASIVO,45612869.00
2999999,TOTAL DEL PASIVO Y PATRIMONIO NETO,109953217.00
3000100,INGRESOS DE ACTIVIDADES ORDINARIAS,26889319.00
3000200,COSTO DE VENTAS Y/O SERVICIOS,-20078581.96
3009999,GANANCIA (PERDIDA) BRUTA,6810737.04
3011301,HONORARIOS A DIRECTORES Y SINDICOS,-22230.04
3011300,OTROS GASTOS DE ADMINISTRACION,0
3011200,GASTOS DE COMERCIALIZACION Y/O DISTRIBUCION,0
3011400,OTROS GASTOS OPERATIVOS,0
3011100,OTROS INGRESOS,195727.00
3011600,DEPRECIACIONES Y AMORTIZACIONES,0
3019999,GANANCIA (PERDIDA) DE ACTIVIDADES OPERATIVAS,6984234.00
3021400,INGRESOS FINANCIEROS,3383609.00
3021500,COSTOS FINANCIEROS,-805301.00
3021800,RECPAM,-807814.00
3021900,OTROS RESULTADOS,0
3029999,GANANCIA (PERDIDA) ANTES DE IMPUESTOS,8754728.00
3031100,INGRESO (GASTO) POR IMPUESTOS A LAS GANANCIAS,-2505929.00
3049999,GANANCIA (PERDIDA)  DEL PERIODO / EJERCICIO,6248799.00
3061999,OTRO RESULTADO INTEGRAL DEL EJERCICIO / PERIODO,0
3099999,RESULTADO INTEGRAL TOTAL  DEL EJERCICIO / PERIODO,6248799.00
3241100,TOTAL CAMBIOS EN ACTIVOS Y PASIVOS OPERATIVOS,-3370408.00
3241200,TOTAL DE ACTIVIDADES DE INVERSION,2624685.00
3241300,TOTAL DE ACTIVIDADES DE FINANCIACION,0
3240000,INCREMENTO (DISMINUCION) NETA DE EFECTIVO Y EQUIVALENTES,-745723.00
8000000,GANANCIA (PERDIDA) BASICA POR ACCION,70.70
8000001,GANANCIAS (PERDIDA) DILUIDA POR ACCION,70.70
8000002,TOTAL PATRIMONIO NETO DEL EJERCICIO ANTERIOR,58091549.00
8000003,EBIT,-1779108.00
8000004,EBITDA,-1049290.00
8000005,CAPITAL DE TRABAJO,3657992.00
8000006,LIQUIDEZ,1.40
8000007,SOLVENCIA,1.41
8000008,INMOVILIZACION DEL CAPITAL,0.88
8000009,RENTABILIDAD PATRIMONIO NETO,0.14
8000010,RENTABILIDAD DEL ACTIVO,0.08
8000011,ENDEUDAMIENTO,0.71
8000012,ENDEUDAMIENTO A CORTO PLAZO,0.14
8000013,APALANCAMIENTO,1.71
8000014,MARGEN NETO / VENTAS,0.23
8000015,DEUDA FINANCIERA / EBITDA,0
8000016,EBITDA / COSTOS FINANCIEROS,1.30
8000017,ANALISIS DU-PONT,0.14
