Nro,Rubro,Monto
1122500,EFECTIVO Y EQUIVALENTES A EFECTIVO,218364003.00
1122300,ACTIVOS FINANCIEROS CORRIENTES,1670165544.00
1121999,CUENTAS POR COBRAR CORRIENTES,3747260394.00
1122400,OTROS ACTIVOS NO FINANCIEROS CORRIENTES,196133864.00
1120100,INVENTARIOS CORRIENTES,1106277672.00
1139999,ACTIVO CORRIENTE,6938201477.00
1112400,ACTIVOS FINANCIEROS NO CORRIENTES,0
1111999,CUENTAS POR COBRAR NO CORRIENTES,13236356.00
1110100,PROPIEDADES PLANTAS Y EQUIPOS,1498165970.00
1112500,OTROS ACTIVOS NO FINANCIEROS NO CORRIENTES,2062726116.00
1110200,ACTIVOS INTANGIBLES,1386134945.00
1119999,ACTIVO NO CORRIENTE,4960263387.00
1999999,TOTAL DEL ACTIVO,11898464864.00
2210999,CAPITAL,340000000.00
2210300,AJUSTE DE CAPITAL,3105798987.00
2210500,APORTES NO CAPITALIZADOS O CONTRIBUCIONES DE CAPITAL,0
2210900,OTROS CONCEPTOS DEL CAPITAL,0
2211100,RESERVA LEGAL,689159804.00
2211200,OTRAS RESERVAS,34676365.00
2211999,GANANCIAS RESERVADAS,723836169.00
2211300,INTERESES NO CONTROLANTES,0
2212999,RESULTADOS NO ASIGNADOS,344840186.00
2213999,RESULTADOS INTEGRALES,0
2299999,TOTAL PATRIMONIO NETO,4514475342.00
2322200,PASIVOS FINANCIEROS CORRIENTES,350172593.00
2321999,CUENTAS POR PAGAR CORRIENTES,4229013761.00
2322100,PASIVOS POR IMPUESTOS CORRIENTES,0
2322300,OTROS PASIVOS NO FINANCIEROS CORRIENTES,484912737.00
2339999,PASIVO CORRIENTE,5064099091.00
2312300,PASIVOS FINANCIEROS NO CORRIENTES,0
2311999,CUENTAS POR PAGAR NO CORRIENTES,254219240.00
2312200,PASIVOS POR IMPUESTOS NO CORRIENTES,432294427.00
2312400,OTROS PASIVOS NO FINANCIEROS NO CORRIENTES,1633376764.00
2319999,PASIVO NO CORRIENTE,2319890431.00
2399999,TOTAL DEL PASIVO,7383989522.00
2999999,TOTAL DEL PASIVO Y PATRIMONIO NETO,11898464864.00
3000100,INGRESOS DE ACTIVIDADES ORDINARIAS,22195380792.00
3000200,COSTO DE VENTAS Y/O SERVICIOS,-13753097569.00
3009999,GANANCIA (PERDIDA) BRUTA,8442283223.00
3011301,HONORARIOS A DIRECTORES Y SINDICOS,0
3011300,OTROS GASTOS DE ADMINISTRACION,-3057560252.00
3011200,GASTOS DE COMERCIALIZACION Y/O DISTRIBUCION,-1345781163.00
3011400,OTROS GASTOS OPERATIVOS,-127623719.00
3011100,OTROS INGRESOS,47649002.00
3011600,DEPRECIACIONES Y AMORTIZACIONES,0
