Nro,Rubro,Monto
1122500,EFECTIVO Y DEPOSITOS EN BANCOS,2581596.00
1122600,TITULOS DE DEUDA A VALOR RAZONABLE CON CAMBIOS EN RESULTADOS,3928372.00
1122700,PRESTAMOS Y OTRAS FINANCIACIONES,2302761.00
1122800,"OPERACIONES DE PASE, INSTRUMENTOS DERIVADOS Y OTROS TITULOS DE DEUDA",27861747.00
1122900,ACTIVO POR IMPUESTO A LAS GANACIAS DIFERIDO,150298.00
1123100,INVERSIONES EN INSTRUMENTOS DE PATRIMONIO,25415.00
1123200,ACTIVOS FINANCIEROS ENTREGADOS EN GARANTIA,251034.00
1110100,PROPIEDAD PLANTA Y EQUIPO,66551.00
1123300,"INVERSIONES EN SUBSIDIARIAS, ASOCIADAS Y NEGOCIOS CONJUNTOS",835997.00
1110200,ACTIVOS INTANGIBLES,207933.00
1122300,OTROS ACTIVOS FINANCIEROS,8689048.00
1122400,OTROS ACTIVOS NO FINANCIEROS,36019.00
1999999,TOTAL DEL ACTIVO,46936771.00
2210999,CAPITAL,87813.00
2210300,AJUSTE DE CAPITAL,3865110.00
2210500,APORTES NO CAPITALIZADOS,0
2210900,OTROS CONCEPTOS DEL CAPITAL,0
2211100,RESERVA LEGAL,0
2211200,OTRAS RESERVAS,0
2211999,GANANCIAS RESERVADAS,0
2211300,INTERESES NO CONTROLANTES,0
2212999,RESULTADOS NO ASIGNADOS,0
2213999,RESULTADOS INTEGRALES,-164129.00
2299999,TOTAL PATRIMONIO NETO,3788794.00
2311000,DEPOSITOS,37081027.00
2311100,PASIVOS A VALOR DE REALIZACION CON CAMBIOS EN RESULTADOS,0
2311200,"INSTRUMENTOS DERIVADOS, OPERACIONES DE PASE Y OTROS PASIVOS FINANCIEROS",4953059.00
2311300,PROVISIONES,0
2311400,FINANCIACIONES RECIBIDAS DEL BCRA Y OTRAS INSTITUCIONES FINANCIERAS,572077.00
2311500,OBLIGACIONES NEGOCIABLES SUBORDINADAS,0
2311600,OBLIGACIONES NEGOCIABLES EMITIDAS,0
2322100,PASIVOS POR IMPUESTO A LAS GANANCIAS CORRIENTE,0
2312200,PASIVOS POR IMPUESTO A LAS GANANCIAS DIFERIDO,0
2322300,OTROS PASIVOS NO FINANCIEROS,541814.00
2399999,TOTAL DEL PASIVO,43147977.00
2999999,TOTAL DEL PASIVO Y PATRIMONIO NETO,46936771.00
3000100,INGRESOS POR INTERESES,10947885.00
3000200,EGRESOS POR INTERESES,-11265508.00
3000102,INGRESOS POR COMISIONES,18.00
3000201,EGRESOS POR COMISIONES,0
3000101,CARGO POR INCOBRABILIDAD,-18463.00
3009999,INGRESO OPERATIVO NETO,-336068.00
3011301,HONORARIOS A DIRECTORES Y SINDICOS,-123151.00
3011300,OTROS GASTOS DE ADMINISTRACION,-210552.00
3011600,DEPRECIACIONES Y AMORTIZACIONES,-105251.00
3021800,RECPAM,-1005774.00
3029999,GANANCIA (PERDIDA) ANTES DE IMPUESTOS,-1780796.00
3031100,INGRESO (GASTO) POR IMPUESTOS A LAS GANANCIAS,-133570.00
3049999,GANANCIA (PERDIDA) DEL PERIODO / EJERCICIO,-1914366.00
3061999,OTRO RESULTADO INTEGRAL DEL EJERCICIO / PERIODO,1750237.00
