Nro,Rubro,Monto
1122500,EFECTIVO Y EQUIVALENTES A EFECTIVO,4188896227.00
1122300,ACTIVOS FINANCIEROS CORRIENTES,1961926255.00
1121999,CUENTAS POR COBRAR CORRIENTES,3143887549.00
1122400,OTROS ACTIVOS NO FINANCIEROS CORRIENTES,94881297.00
1120100,INVENTARIOS CORRIENTES,0
1139999,ACTIVO CORRIENTE,9389591328.00
1112400,ACTIVOS FINANCIEROS NO CORRIENTES,60103365.00
1111999,CUENTAS POR COBRAR NO CORRIENTES,2921601.00
1110100,PROPIEDADES PLANTAS Y EQUIPOS,79026357.00
1112500,OTROS ACTIVOS NO FINANCIEROS NO CORRIENTES,16850293.00
1110200,ACTIVOS INTANGIBLES,17066189.00
1119999,ACTIVO NO CORRIENTE,175967805.00
1999999,TOTAL DEL ACTIVO,9565559133.00
2210999,CAPITAL,4120000.00
2210300,AJUSTE DE CAPITAL,43197932.00
2210500,APORTES NO CAPITALIZADOS O CONTRIBUCIONES DE CAPITAL,0
2210900,OTROS CONCEPTOS DEL CAPITAL,0
2211100,RESERVA LEGAL,8700089.00
2211200,OTRAS RESERVAS,295679077.00
2211999,GANANCIAS RESERVADAS,304379166.00
2211300,INTERESES NO CONTROLANTES,0
2212999,RESULTADOS NO ASIGNADOS,37144509.00
2213999,RESULTADOS INTEGRALES,-112881130.00
2299999,TOTAL PATRIMONIO NETO,275960477.00
2322200,PASIVOS FINANCIEROS CORRIENTES,13886419.00
2321999,CUENTAS POR PAGAR CORRIENTES,8950909925.00
2322100,PASIVOS POR IMPUESTOS CORRIENTES,103459577.00
2322300,OTROS PASIVOS NO FINANCIEROS CORRIENTES,221342735.00
2339999,PASIVO CORRIENTE,9289598656.00
2312300,PASIVOS FINANCIEROS NO CORRIENTES,0
2311999,CUENTAS POR PAGAR NO CORRIENTES,0
2312200,PASIVOS POR IMPUESTOS NO CORRIENTES,0
2312400,OTROS PASIVOS NO FINANCIEROS NO CORRIENTES,0
2319999,PASIVO NO CORRIENTE,0
2399999,TOTAL DEL PASIVO,9289598656.00
2999999,TOTAL DEL PASIVO Y PATRIMONIO NETO,9565559133.00
3000100,INGRESOS DE ACTIVIDADES ORDINARIAS,658857654.00
3000200,COSTO DE VENTAS Y/O SERVICIOS,0
3009999,GANANCIA (PERDIDA) BRUTA,658857654.00
3011301,HONORARIOS A DIRECTORES Y SINDICOS,0
3011300,OTROS GASTOS DE ADMINISTRACION,-147906103.00
3011200,GASTOS DE COMERCIALIZACION Y/O DISTRIBUCION,-575375171.00
3011400,OTROS GASTOS OPERATIVOS,0
3011100,OTROS INGRESOS,65932987.00
3011600,DEPRECIACIONES Y AMORTIZACIONES,0
3019999,GANANCIA (PERDIDA) DE ACTIVIDADES OPERATIVAS,1509367.00
3021400,INGRESOS FINANCIEROS,0
3021500,COSTOS FINANCIEROS,0
3021800,RECPAM,-1555196.00
3021900,OTROS RESULTADOS,-132751700.00
3029999,GANANCIA (PERDIDA) ANTES DE IMPUESTOS,-132797529.00
3031100,INGRESO (GASTO) POR IMPUESTOS A LAS GANANCIAS,19916399.00
3049999,GANANCIA (PERDIDA)  DEL PERIODO / EJERCICIO,-112881130.00
3061999,OTRO RESULTADO INTEGRAL DEL EJERCICIO / PERIODO,0
3099999,RESULTADO INTEGRAL TOTAL  DEL EJERCICIO / PERIODO,-112881130.00
3241100,TOTAL CAMBIOS EN ACTIVOS Y PASIVOS OPERATIVOS,0
3241200,TOTAL DE ACTIVIDADES DE INVERSION,0
3241300,TOTAL DE ACTIVIDADES DE FINANCIACION,0
3240000,INCREMENTO (DISMINUCION) NETA DE EFECTIVO Y EQUIVALENTES,0
8000000,GANANCIA (PERDIDA) BASICA POR ACCION,0
8000001,GANANCIAS (PERDIDA) DILUIDA POR ACCION,0
8000002,TOTAL PATRIMONIO NETO DEL EJERCICIO ANTERIOR,0
8000003,EBIT,0
8000004,EBITDA,0
8000005,CAPITAL DE TRABAJO,99992672.00
8000006,LIQUIDEZ,1.01
8000007,SOLVENCIA,0.03
8000008,INMOVILIZACION DEL CAPITAL,0.02
8000009,RENTABILIDAD PATRIMONIO NETO,-0.96
8000010,RENTABILIDAD DEL ACTIVO,-0.01
8000011,ENDEUDAMIENTO,33.66
8000012,ENDEUDAMIENTO A CORTO PLAZO,33.66
8000013,APALANCAMIENTO,34.66
8000014,MARGEN NETO / VENTAS,-0.17
8000015,DEUDA FINANCIERA / EBITDA,0
8000016,EBITDA / COSTOS FINANCIEROS,0
8000017,ANALISIS DU-PONT,-0.48
