Nro,Rubro,Monto
1122500,EFECTIVO Y DEPOSITOS EN BANCOS,374120128.00
1122600,TITULOS DE DEUDA A VALOR RAZONABLE CON CAMBIOS EN RESULTADOS,28316671.00
1122700,PRESTAMOS Y OTRAS FINANCIACIONES,853867027.00
1122800,"OPERACIONES DE PASE, INSTRUMENTOS DERIVADOS Y OTROS TITULOS DE DEUDA",840456857.00
1122900,ACTIVO POR IMPUESTO A LAS GANACIAS DIFERIDO,1538191.00
1123100,INVERSIONES EN INSTRUMENTOS DE PATRIMONIO,1214554.00
1123200,ACTIVOS FINANCIEROS ENTREGADOS EN GARANTIA,53124669.00
1110100,PROPIEDAD PLANTA Y EQUIPO,116156174.00
1123300,"INVERSIONES EN SUBSIDIARIAS, ASOCIADAS Y NEGOCIOS CONJUNTOS",4587240.00
1110200,ACTIVOS INTANGIBLES,11644648.00
1122300,OTROS ACTIVOS FINANCIEROS,38857827.00
1122400,OTROS ACTIVOS NO FINANCIEROS,35946400.00
1999999,TOTAL DEL ACTIVO,2359830386.00
2210999,CAPITAL,612710.00
2210300,AJUSTE DE CAPITAL,68298147.00
2210500,APORTES NO CAPITALIZADOS,94443032.00
2210900,OTROS CONCEPTOS DEL CAPITAL,0.00
2211100,RESERVA LEGAL,89961334.00
2211200,OTRAS RESERVAS,123024168.00
2211999,GANANCIAS RESERVADAS,212985502.00
2211300,INTERESES NO CONTROLANTES,6568011.00
2212999,RESULTADOS NO ASIGNADOS,71609927.00
2213999,RESULTADOS INTEGRALES,5256429.00
2299999,TOTAL PATRIMONIO NETO,459773758.00
2311000,DEPOSITOS,1571863042.00
2311100,PASIVOS A VALOR DE REALIZACION CON CAMBIOS EN RESULTADOS,0.00
2311200,"INSTRUMENTOS DERIVADOS, OPERACIONES DE PASE Y OTROS PASIVOS FINANCIEROS",133231348.00
2311300,PROVISIONES,9903999.00
2311400,FINANCIACIONES RECIBIDAS DEL BCRA Y OTRAS INSTITUCIONES FINANCIERAS,18455986.00
2311500,OBLIGACIONES NEGOCIABLES SUBORDINADAS,0.00
2311600,OBLIGACIONES NEGOCIABLES EMITIDAS,0.00
2322100,PASIVOS POR IMPUESTO A LAS GANANCIAS CORRIENTE,15972985.00
2312200,PASIVOS POR IMPUESTO A LAS GANANCIAS DIFERIDO,5670815.00
2322300,OTROS PASIVOS NO FINANCIEROS,144958453.00
2399999,TOTAL DEL PASIVO,1900056628.00
2999999,TOTAL DEL PASIVO Y PATRIMONIO NETO,2359830386.00
3000100,INGRESOS POR INTERESES,249198879.00
3000200,EGRESOS POR INTERESES,-118009530.00
3000102,INGRESOS POR COMISIONES,21978099.00
3000201,EGRESOS POR COMISIONES,-10651359.00
3000101,CARGO POR INCOBRABILIDAD,-8177833.00
3000301,RESULTADO NETO POR MEDICI�N DE INSTRUMENTOS FINANCIEROS A VALOR RAZONABLE CON CAMBIOS EN RESULTADOS,6977892.00
3000302,DIFERENCIA DE COTIZACI�N DE ORO Y MONEDA EXTRANJERA,1054747.00
3000303,OTROS INGRESOS OPERATIVOS,5492036.00
3000304,RESULTADO POR BAJA DE ACTIVOS MEDIDOS A COSTO AMORTIZADO,38326.00
3009999,INGRESO OPERATIVO NETO,147901257.00
3011301,HONORARIOS A DIRECTORES Y SINDICOS,-24010.00
3011300,OTROS GASTOS DE ADMINISTRACION,-23955549.00
3011400,BENEFICIOS AL PERSONAL,-22052654.00
3011500,OTROS GASTOS OPERATIVOS,-20291557.00
3011600,DEPRECIACIONES Y AMORTIZACIONES,-2820321.00
3011700,RESULTADOS POR ASOCIADAS Y NEGOCIOS CONJUNTOS,-60163.00
3021800,RECPAM,-56795954.00
3029999,GANANCIA (PERDIDA) ANTES DE IMPUESTOS,21901049.00
3031100,INGRESO (GASTO) POR IMPUESTOS A LAS GANANCIAS,-6881728.00
3049999,GANANCIA (PERDIDA) DEL PERIODO / EJERCICIO,15019321.00
3061999,OTRO RESULTADO INTEGRAL DEL EJERCICIO / PERIODO,-644184.00
3099999,RESULTADO INTEGRAL TOTAL DEL EJERCICIO / PERIODO,14375137.00
3241100,FLUJOS DE EFECTIVO PROCEDENTES DE (UTILIZADOS EN) ACTIVIDADES DE OPERACION,85887635.00
3241200,FLUJOS DE EFECTIVO PROCEDENTES DE (UTILIZADOS EN) ACTIVIDADES DE INVERSION,-2286210.00
3241300,FLUJOS DE EFECTIVO PROCEDENTES DE (UTILIZADOS EN) ACTIVIDADES DE FINANCIACION,-5977185.00
3241400,EFECTO DE LAS VARIACIONES DEL TIPO DE CAMBIO,9211763.00
3241500,EFECTO DEL RESULTADO MONETARIO DE EFECTIVO Y SUS EQUIVALENTES,-73399323.00
3240000,INCREMENTO (DISMINUCION) NETA DE EFECTIVO Y EQUIVALENTES,13436680.00
8000000,GANANCIA (PERDIDA) BASICA POR ACCION,24.53
8000001,GANANCIAS (PERDIDA) DILUIDA POR ACCION,24.53
8000002,TOTAL PATRIMONIO NETO DEL EJERCICIO ANTERIOR (MISMO PERIODO),396641375.00
8000003,EBIT,0.00
8000004,EBITDA,0.00
8000018,C1 - APALANCAMIENTO (EN VECES),5.13
8000019,R1 - RENDIMIENTO ANUAL DEL PATRIMONIO (RETURN ON EQUITY - ROE) (%),13.67
8000020,RG1 - RETORNO SOBRE ACTIVOS (RETURN ON ASSETS - ROA) (%),2.57
8000021,L8_II-LIQUIDEZ CON TITULOS CON COTIZ (%),78.69
