Moneda,ActivoInversiones,ActivoExistencias,PasivoDeudasComerciales,PasivoOtrasDeudas,ActivoCreditosComerciales,PasivoPrestamosBancarios,TieneActivosMonedaExtranjera
Dólar (E.U.A.),138255322,0,0,0,0,0,1
Euro (U.E.),5646185,0,0,0,0,0,1
Real (Brasil),15784,0,0,0,0,0,1
Otras monedas (los demás países),237596,0,0,0,0,0,1
Dólar (E.U.A.),0,0,0,0,0,5038115,1
Euro (U.E.),0,0,0,0,0,246460,1
Otras monedas (los demás países),0,0,0,0,0,22,1
Dólar (E.U.A.),0,0,0,128307303,0,0,1
Euro (U.E.),0,0,0,5337246,0,0,1
Real (Brasil),0,0,0,15783,0,0,1
Otras monedas (los demás países),0,0,0,237574,0,0,1
