Nro,Rubro,Monto
1122500,EFECTIVO Y DEPOSITOS EN BANCOS,4.548.58000
1122600,TITULOS DE DEUDA A VALOR RAZONABLE CON CAMBIOS EN RESULTADOS,0
1122700,PRESTAMOS Y OTRAS FINANCIACIONES,13.820.40300
1122800,"OPERACIONES DE PASE, INSTRUMENTOS DERIVADOS Y OTROS TITULOS DE DEUDA",21.355.20000
1122900,ACTIVO POR IMPUESTO A LAS GANACIAS DIFERIDO,0
1123100,INVERSIONES EN INSTRUMENTOS DE PATRIMONIO,0
1123200,ACTIVOS FINANCIEROS ENTREGADOS EN GARANTIA,3.974.37500
1110100,PROPIEDAD PLANTA Y EQUIPO,2.232.85700
1123300,"INVERSIONES EN SUBSIDIARIAS, ASOCIADAS Y NEGOCIOS CONJUNTOS",0
1110200,ACTIVOS INTANGIBLES,116.09900
1122300,OTROS ACTIVOS FINANCIEROS,79.54500
1122400,OTROS ACTIVOS NO FINANCIEROS,365.98900
1999999,TOTAL DEL ACTIVO,46.493.04800
2210999,CAPITAL,216.81200
2210300,AJUSTE DE CAPITAL,6.057.36700
2210500,APORTES NO CAPITALIZADOS,80.68800
2210900,OTROS CONCEPTOS DEL CAPITAL,0
2211100,RESERVA LEGAL,716.76100
2211200,OTRAS RESERVAS,1.080.09600
2211999,GANANCIAS RESERVADAS,1.796.85700
2211300,INTERESES NO CONTROLANTES,0
2212999,RESULTADOS NO ASIGNADOS,-162.52100
2213999,RESULTADOS INTEGRALES,1.382.35600
2299999,TOTAL PATRIMONIO NETO,9.371.55900
2311000,DEPOSITOS,30.611.20300
2311100,PASIVOS A VALOR DE REALIZACION CON CAMBIOS EN RESULTADOS,0
2311200,"INSTRUMENTOS DERIVADOS, OPERACIONES DE PASE Y OTROS PASIVOS FINANCIEROS",4.080.98400
2311300,PROVISIONES,3.26500
2311400,FINANCIACIONES RECIBIDAS DEL BCRA Y OTRAS INSTITUCIONES FINANCIERAS,63.32600
2311500,OBLIGACIONES NEGOCIABLES SUBORDINADAS,0
2311600,OBLIGACIONES NEGOCIABLES EMITIDAS,0
2322100,PASIVOS POR IMPUESTO A LAS GANANCIAS CORRIENTE,575.77800
2312200,PASIVOS POR IMPUESTO A LAS GANANCIAS DIFERIDO,355.31800
2322300,OTROS PASIVOS NO FINANCIEROS,1.431.61500
2399999,TOTAL DEL PASIVO,37.121.48900
2999999,TOTAL DEL PASIVO Y PATRIMONIO NETO,46.493.04800
3000100,INGRESOS POR INTERESES,22.516.67700
3000200,EGRESOS POR INTERESES,-14.338.29100
3000102,INGRESOS POR COMISIONES,1.450.31500
3000201,EGRESOS POR COMISIONES,-272.37300
3000101,CARGO POR INCOBRABILIDAD,-278.38500
3000301,RESULTADO NETO POR MEDICI�N DE INSTRUMENTOS FINANCIEROS A VALOR RAZONABLE CON CAMBIOS EN RESULTADOS,86.34300
3000302,DIFERENCIA DE COTIZACI�N DE ORO Y MONEDA EXTRANJERA,1.247.00500
3000303,OTROS INGRESOS OPERATIVOS,2.124.12800
3000304,RESULTADO POR BAJA DE ACTIVOS MEDIDOS A COSTO AMORTIZADO,-3.43800
3009999,INGRESO OPERATIVO NETO,12.531.98100
3011301,HONORARIOS A DIRECTORES Y SINDICOS,0
3011300,OTROS GASTOS DE ADMINISTRACION,-1.630.56600
3011400,BENEFICIOS AL PERSONAL,-2.190.33600
3011500,OTROS GASTOS OPERATIVOS,-1.494.91500
3011600,DEPRECIACIONES Y AMORTIZACIONES,-259.52900
3011700,RESULTADOS POR ASOCIADAS Y NEGOCIOS CONJUNTOS,0
3021800,RECPAM,-4.804.01500
3029999,GANANCIA (PERDIDA) ANTES DE IMPUESTOS,2.152.62000
3031100,INGRESO (GASTO) POR IMPUESTOS A LAS GANANCIAS,-770.26400
3049999,GANANCIA (PERDIDA) DEL PERIODO / EJERCICIO,1.382.35600
3061999,OTRO RESULTADO INTEGRAL DEL EJERCICIO / PERIODO,0
3099999,RESULTADO INTEGRAL TOTAL DEL EJERCICIO / PERIODO,1.382.35600
3241100,FLUJOS DE EFECTIVO PROCEDENTES DE (UTILIZADOS EN) ACTIVIDADES DE OPERACION,15.456.66500
3241200,FLUJOS DE EFECTIVO PROCEDENTES DE (UTILIZADOS EN) ACTIVIDADES DE INVERSION,-143.32000
3241300,FLUJOS DE EFECTIVO PROCEDENTES DE (UTILIZADOS EN) ACTIVIDADES DE FINANCIACION,-513.44200
3241400,EFECTO DE LAS VARIACIONES DEL TIPO DE CAMBIO,863.40800
3241500,EFECTO DEL RESULTADO MONETARIO DE EFECTIVO Y SUS EQUIVALENTES,-11.164.14300
3240000,INCREMENTO (DISMINUCION) NETA DE EFECTIVO Y EQUIVALENTES,4.499.16800
8000000,GANANCIA (PERDIDA) BASICA POR ACCION,0
8000001,GANANCIAS (PERDIDA) DILUIDA POR ACCION,0
8000002,TOTAL PATRIMONIO NETO DEL EJERCICIO ANTERIOR (MISMO PERIODO),7.955.45100
8000003,EBIT,0
8000004,EBITDA,0
8000018,C1 - APALANCAMIENTO (EN VECES),0
8000019,R1 - RENDIMIENTO ANUAL DEL PATRIMONIO (RETURN ON EQUITY - ROE) (%),0
8000020,RG1 - RETORNO SOBRE ACTIVOS (RETURN ON ASSETS - ROA) (%),0
8000021,L8_II-LIQUIDEZ CON TITULOS CON COTIZ (%),0
