Nro,Rubro,Monto
1122500,EFECTIVO Y DEPOSITOS EN BANCOS,7282561.00
1122600,TITULOS DE DEUDA A VALOR RAZONABLE CON CAMBIOS EN RESULTADOS,13764883.00
1122700,PRESTAMOS Y OTRAS FINANCIACIONES,16794721.00
1122800,"OPERACIONES DE PASE, INSTRUMENTOS DERIVADOS Y OTROS TITULOS DE DEUDA",8442663.00
1122900,ACTIVO POR IMPUESTO A LAS GANACIAS DIFERIDO,279702.00
1123100,INVERSIONES EN INSTRUMENTOS DE PATRIMONIO,223351.00
1123200,ACTIVOS FINANCIEROS ENTREGADOS EN GARANTIA,1619467.00
1110100,PROPIEDAD PLANTA Y EQUIPO,6523689.00
1123300,"INVERSIONES EN SUBSIDIARIAS, ASOCIADAS Y NEGOCIOS CONJUNTOS",0
1110200,ACTIVOS INTANGIBLES,98384.00
1122300,OTROS ACTIVOS FINANCIEROS,573358.00
1122400,OTROS ACTIVOS NO FINANCIEROS,243181.00
1999999,TOTAL DEL ACTIVO,55845960.00
2210999,CAPITAL,183531.00
2210300,AJUSTE DE CAPITAL,4806542.00
2210500,APORTES NO CAPITALIZADOS,7436.00
2210900,OTROS CONCEPTOS DEL CAPITAL,0
2211100,RESERVA LEGAL,3179523.00
2211200,OTRAS RESERVAS,2784386.00
2211999,GANANCIAS RESERVADAS,5963909.00
2211300,INTERESES NO CONTROLANTES,0
2212999,RESULTADOS NO ASIGNADOS,599143.00
2213999,RESULTADOS INTEGRALES,0
2299999,TOTAL PATRIMONIO NETO,11560561.00
2311000,DEPOSITOS,38424353.00
2311100,PASIVOS A VALOR DE REALIZACION CON CAMBIOS EN RESULTADOS,0
2311200,"INSTRUMENTOS DERIVADOS, OPERACIONES DE PASE Y OTROS PASIVOS FINANCIEROS",2831296.00
2311300,PROVISIONES,130841.00
2311400,FINANCIACIONES RECIBIDAS DEL BCRA Y OTRAS INSTITUCIONES FINANCIERAS,1881.00
2311500,OBLIGACIONES NEGOCIABLES SUBORDINADAS,0
2311600,OBLIGACIONES NEGOCIABLES EMITIDAS,0
2322100,PASIVOS POR IMPUESTO A LAS GANANCIAS CORRIENTE,76123.00
2312200,PASIVOS POR IMPUESTO A LAS GANANCIAS DIFERIDO,0
2322300,OTROS PASIVOS NO FINANCIEROS,2820905.00
2399999,TOTAL DEL PASIVO,44285399.00
2999999,TOTAL DEL PASIVO Y PATRIMONIO NETO,55845960.00
3000100,INGRESOS POR INTERESES,13733765.00
3000200,EGRESOS POR INTERESES,-4276979.00
3000102,INGRESOS POR COMISIONES,3625146.00
3000201,EGRESOS POR COMISIONES,-512254.00
3000101,CARGO POR INCOBRABILIDAD,-504345.00
3009999,INGRESO OPERATIVO NETO,12065333.00
3011301,HONORARIOS A DIRECTORES Y SINDICOS,-90842.89
3011300,OTROS GASTOS DE ADMINISTRACION,-9168517.11
3011600,DEPRECIACIONES Y AMORTIZACIONES,-302700.00
3021800,RECPAM,-1831673.00
3029999,GANANCIA (PERDIDA) ANTES DE IMPUESTOS,671600.00
3031100,INGRESO (GASTO) POR IMPUESTOS A LAS GANANCIAS,-72457.00
3049999,GANANCIA (PERDIDA) DEL PERIODO / EJERCICIO,599143.00
3061999,OTRO RESULTADO INTEGRAL DEL EJERCICIO / PERIODO,0
3099999,RESULTADO INTEGRAL TOTAL DEL EJERCICIO / PERIODO,599143.00
3241100,FLUJOS DE EFECTIVO PROCEDENTES DE (UTILIZADOS EN) ACTIVIDADES DE OPERACION,1316481.00
3241200,FLUJOS DE EFECTIVO PROCEDENTES DE (UTILIZADOS EN) ACTIVIDADES DE INVERSION,-767826.00
3241300,FLUJOS DE EFECTIVO PROCEDENTES DE (UTILIZADOS EN) ACTIVIDADES DE FINANCIACION,-2656530.00
3240000,INCREMENTO (DISMINUCION) NETA DE EFECTIVO Y EQUIVALENTES,-2107875.00
8000000,GANANCIA (PERDIDA) BASICA POR ACCION,0
8000001,GANANCIAS (PERDIDA) DILUIDA POR ACCION,0
8000002,TOTAL PATRIMONIO NETO DEL EJERCICIO ANTERIOR (MISMO PERIODO),10961417.71
8000003,EBIT,671600.00
8000004,EBITDA,974300.00
8000005,CAPITAL DE TRABAJO,-1348160.44
8000006,LIQUIDEZ,0.55
8000007,SOLVENCIA,0.26
8000008,INMOVILIZACION DEL CAPITAL,0.12
8000009,RENTABILIDAD PATRIMONIO NETO,2.24
8000010,RENTABILIDAD DEL ACTIVO,0.01
8000011,ENDEUDAMIENTO,3.83
8000013,APALANCAMIENTO,4.83
8000014,MARGEN NETO / INGRESOS,3.31
8000015,DEUDA FINANCIERA / EBITDA,2.91
8000017,ANALISIS DUPONT,0.06
