Nro,Rubro,Monto
1122500,EFECTIVO Y DEPOSITOS EN BANCOS,6394900324.00
1122600,TITULOS DE DEUDA A VALOR RAZONABLE CON CAMBIOS EN RESULTADOS,1369945621.00
1122700,PRESTAMOS Y OTRAS FINANCIACIONES,11053195239.00
1122800,"OPERACIONES DE PASE, INSTRUMENTOS DERIVADOS Y OTROS TITULOS DE DEUDA",4254364307.00
1122900,ACTIVO POR IMPUESTO A LAS GANACIAS DIFERIDO,262507403.00
1123100,INVERSIONES EN INSTRUMENTOS DE PATRIMONIO,33593370.00
1123200,ACTIVOS FINANCIEROS ENTREGADOS EN GARANTIA,1238751677.00
1110100,PROPIEDAD PLANTA Y EQUIPO,917500761.00
1123300,"INVERSIONES EN SUBSIDIARIAS, ASOCIADAS Y NEGOCIOS CONJUNTOS",10098241.00
1110200,ACTIVOS INTANGIBLES,265095514.00
1122300,OTROS ACTIVOS FINANCIEROS,1002055008.00
1122400,OTROS ACTIVOS NO FINANCIEROS,266813470.00
1999999,TOTAL DEL ACTIVO,27068820935.00
2210999,CAPITAL,668549.00
2210300,AJUSTE DE CAPITAL,1415632996.00
2210500,APORTES NO CAPITALIZADOS,10054283.00
2210900,OTROS CONCEPTOS DEL CAPITAL,0
2211100,RESERVA LEGAL,680098053.00
2211200,OTRAS RESERVAS,939927632.00
2211999,GANANCIAS RESERVADAS,1620025685.00
2211300,INTERESES NO CONTROLANTES,696825800.00
2212999,RESULTADOS NO ASIGNADOS,63894.00
2213999,RESULTADOS INTEGRALES,1359484792.00
2299999,TOTAL PATRIMONIO NETO,5102755999.00
2311000,DEPOSITOS,17376584125.00
2311100,PASIVOS A VALOR DE REALIZACION CON CAMBIOS EN RESULTADOS,0
2311200,"INSTRUMENTOS DERIVADOS, OPERACIONES DE PASE Y OTROS PASIVOS FINANCIEROS",1788297530.00
2311300,PROVISIONES,449732374.00
2311400,FINANCIACIONES RECIBIDAS DEL BCRA Y OTRAS INSTITUCIONES FINANCIERAS,82391477.00
2311500,OBLIGACIONES NEGOCIABLES SUBORDINADAS,361432919.00
2311600,OBLIGACIONES NEGOCIABLES EMITIDAS,682593790.00
2322100,PASIVOS POR IMPUESTO A LAS GANANCIAS CORRIENTE,85232528.00
2312200,PASIVOS POR IMPUESTO A LAS GANANCIAS DIFERIDO,115108137.00
2322300,OTROS PASIVOS NO FINANCIEROS,1024692056.00
2399999,TOTAL DEL PASIVO,21966064936.00
2999999,TOTAL DEL PASIVO Y PATRIMONIO NETO,27068820935.00
3000100,INGRESOS POR INTERESES,6703184201.00
3000200,EGRESOS POR INTERESES,-2609185230.00
3000102,INGRESOS POR COMISIONES,752562389.00
3000201,EGRESOS POR COMISIONES,-126964935.00
3000101,CARGO POR INCOBRABILIDAD,-499461092.00
3000301,RESULTADO NETO POR MEDICIÓN DE INSTRUMENTOS FINANCIEROS A VALOR RAZONABLE CON CAMBIOS EN RESULTADOS,622766350.00
3000302,DIFERENCIA DE COTIZACIÓN DE ORO Y MONEDA EXTRANJERA,141259010.00
3000303,OTROS INGRESOS OPERATIVOS,206249091.00
3000304,RESULTADO POR BAJA DE ACTIVOS MEDIDOS A COSTO AMORTIZADO,177696357.00
3009999,INGRESO OPERATIVO NETO,5368106141.00
3011301,HONORARIOS A DIRECTORES Y SINDICOS,-844825.00
3011300,OTROS GASTOS DE ADMINISTRACION,-523627026.00
3011400,BENEFICIOS AL PERSONAL,-821123930.00
3011500,OTROS GASTOS OPERATIVOS,-844663989.00
3011600,DEPRECIACIONES Y AMORTIZACIONES,-156692198.00
3011700,RESULTADOS POR ASOCIADAS Y NEGOCIOS CONJUNTOS,667453406.00
3021800,RECPAM,-1980930904.00
3029999,GANANCIA (PERDIDA) ANTES DE IMPUESTOS,1707676675.00
3031100,INGRESO (GASTO) POR IMPUESTOS A LAS GANANCIAS,-452652256.00
3049999,GANANCIA (PERDIDA) DEL PERIODO / EJERCICIO,1255024419.00
3061999,OTRO RESULTADO INTEGRAL DEL EJERCICIO / PERIODO,32481025.00
3099999,RESULTADO INTEGRAL TOTAL DEL EJERCICIO / PERIODO,1287505444.00
3241100,FLUJOS DE EFECTIVO PROCEDENTES DE (UTILIZADOS EN) ACTIVIDADES DE OPERACION,2780955904.00
3241200,FLUJOS DE EFECTIVO PROCEDENTES DE (UTILIZADOS EN) ACTIVIDADES DE INVERSION,898972076.00
3241300,FLUJOS DE EFECTIVO PROCEDENTES DE (UTILIZADOS EN) ACTIVIDADES DE FINANCIACION,110422553.00
3241400,EFECTO DE LAS VARIACIONES DEL TIPO DE CAMBIO,1051060887.00
3241500,EFECTO DEL RESULTADO MONETARIO DE EFECTIVO Y SUS EQUIVALENTES,-4411382598.00
3240000,INCREMENTO (DISMINUCION) NETA DE EFECTIVO Y EQUIVALENTES,430028822.00
8000000,GANANCIA (PERDIDA) BASICA POR ACCION,1984.34
8000001,GANANCIAS (PERDIDA) DILUIDA POR ACCION,1984.34
8000002,TOTAL PATRIMONIO NETO DEL EJERCICIO ANTERIOR (MISMO PERIODO),3601742657.00
8000003,EBIT,1707676675.00
8000004,EBITDA,1864368873.00
8000018,C1 - APALANCAMIENTO (EN VECES),5.30
8000019,R1 - RENDIMIENTO ANUAL DEL PATRIMONIO (RETURN ON EQUITY - ROE) (%),34.24
8000020,RG1 - RETORNO SOBRE ACTIVOS (RETURN ON ASSETS - ROA) (%),7.30
8000021,L8_II-LIQUIDEZ CON TITULOS CON COTIZ (%),63.78
