Nro,Rubro,Monto
1122500,EFECTIVO Y DEPOSITOS EN BANCOS,5134643.00
1122600,TITULOS DE DEUDA A VALOR RAZONABLE CON CAMBIOS EN RESULTADOS,2267439.00
1122700,PRESTAMOS Y OTRAS FINANCIACIONES,41471184.00
1122800,"OPERACIONES DE PASE, INSTRUMENTOS DERIVADOS Y OTROS TITULOS DE DEUDA",20095186.00
1122900,ACTIVO POR IMPUESTO A LAS GANACIAS DIFERIDO,2218867.00
1123100,INVERSIONES EN INSTRUMENTOS DE PATRIMONIO,1424237.00
1123200,ACTIVOS FINANCIEROS ENTREGADOS EN GARANTIA,3528581.00
1110100,PROPIEDAD PLANTA Y EQUIPO,26788.00
1123300,"INVERSIONES EN SUBSIDIARIAS, ASOCIADAS Y NEGOCIOS CONJUNTOS",0
1110200,ACTIVOS INTANGIBLES,834109.00
1122300,OTROS ACTIVOS FINANCIEROS,137988.00
1122400,OTROS ACTIVOS NO FINANCIEROS,19919.00
1999999,TOTAL DEL ACTIVO,77158941.00
2210999,CAPITAL,35000.00
2210300,AJUSTE DE CAPITAL,17296784.00
2210500,APORTES NO CAPITALIZADOS,0
2210900,OTROS CONCEPTOS DEL CAPITAL,0
2211100,RESERVA LEGAL,3634193.00
2211200,OTRAS RESERVAS,1248593.00
2211999,GANANCIAS RESERVADAS,4882786.00
2211300,INTERESES NO CONTROLANTES,0
2212999,RESULTADOS NO ASIGNADOS,1867686.00
2213999,RESULTADOS INTEGRALES,0
2299999,TOTAL PATRIMONIO NETO,24082256.00
2311000,DEPOSITOS,44590126.00
2311100,PASIVOS A VALOR DE REALIZACION CON CAMBIOS EN RESULTADOS,0
2311200,"INSTRUMENTOS DERIVADOS, OPERACIONES DE PASE Y OTROS PASIVOS FINANCIEROS",2397636.00
2311300,PROVISIONES,1308870.00
2311400,FINANCIACIONES RECIBIDAS DEL BCRA Y OTRAS INSTITUCIONES FINANCIERAS,120138.00
2311500,OBLIGACIONES NEGOCIABLES SUBORDINADAS,126636.00
2311600,OBLIGACIONES NEGOCIABLES EMITIDAS,0
2322100,PASIVOS POR IMPUESTO A LAS GANANCIAS CORRIENTE,1183773.00
2312200,PASIVOS POR IMPUESTO A LAS GANANCIAS DIFERIDO,0
2322300,OTROS PASIVOS NO FINANCIEROS,3349506.00
2399999,TOTAL DEL PASIVO,53076685.00
2999999,TOTAL DEL PASIVO Y PATRIMONIO NETO,77158941.00
3000100,INGRESOS POR INTERESES,19553053.00
3000200,EGRESOS POR INTERESES,-5536334.00
3000102,INGRESOS POR COMISIONES,190901.00
3000201,EGRESOS POR COMISIONES,-364711.00
3000101,CARGO POR INCOBRABILIDAD,-2880751.00
3000301,RESULTADO NETO POR MEDICI�N DE INSTRUMENTOS FINANCIEROS A VALOR RAZONABLE CON CAMBIOS EN RESULTADOS,1203403.00
3000302,DIFERENCIA DE COTIZACI�N DE ORO Y MONEDA EXTRANJERA,2196.00
3000303,OTROS INGRESOS OPERATIVOS,1033278.00
3000304,RESULTADO POR BAJA DE ACTIVOS MEDIDOS A COSTO AMORTIZADO,32526.00
3009999,INGRESO OPERATIVO NETO,13233561.00
3011301,HONORARIOS A DIRECTORES Y SINDICOS,-375113.00
3011300,OTROS GASTOS DE ADMINISTRACION,-3573972.00
3011400,BENEFICIOS AL PERSONAL,-2408735.00
3011500,OTROS GASTOS OPERATIVOS,-1544707.00
3011600,DEPRECIACIONES Y AMORTIZACIONES,-160108.00
3011700,RESULTADOS POR ASOCIADAS Y NEGOCIOS CONJUNTOS,0
3021800,RECPAM,-3177816.00
3029999,GANANCIA (PERDIDA) ANTES DE IMPUESTOS,1993110.00
3031100,INGRESO (GASTO) POR IMPUESTOS A LAS GANANCIAS,-611899.00
3049999,GANANCIA (PERDIDA) DEL PERIODO / EJERCICIO,1381211.00
3061999,OTRO RESULTADO INTEGRAL DEL EJERCICIO / PERIODO,0
3099999,RESULTADO INTEGRAL TOTAL DEL EJERCICIO / PERIODO,1381211.00
3241100,FLUJOS DE EFECTIVO PROCEDENTES DE (UTILIZADOS EN) ACTIVIDADES DE OPERACION,768754.00
3241200,FLUJOS DE EFECTIVO PROCEDENTES DE (UTILIZADOS EN) ACTIVIDADES DE INVERSION,-13574.00
3241300,FLUJOS DE EFECTIVO PROCEDENTES DE (UTILIZADOS EN) ACTIVIDADES DE FINANCIACION,32785.00
3241400,EFECTO DE LAS VARIACIONES DEL TIPO DE CAMBIO,2196.00
3241500,EFECTO DEL RESULTADO MONETARIO DE EFECTIVO Y SUS EQUIVALENTES,-507196.00
3240000,INCREMENTO (DISMINUCION) NETA DE EFECTIVO Y EQUIVALENTES,282965.00
8000000,GANANCIA (PERDIDA) BASICA POR ACCION,39.46
8000001,GANANCIAS (PERDIDA) DILUIDA POR ACCION,39.46
8000002,TOTAL PATRIMONIO NETO DEL EJERCICIO ANTERIOR (MISMO PERIODO),21702352.00
8000003,EBIT,1993110.00
8000004,EBITDA,2153218.00
8000018,C1 - APALANCAMIENTO (EN VECES),2.20
8000019,R1 - RENDIMIENTO ANUAL DEL PATRIMONIO (RETURN ON EQUITY - ROE) (%),5.74
8000020,RG1 - RETORNO SOBRE ACTIVOS (RETURN ON ASSETS - ROA) (%),1.79
8000021,L8_II-LIQUIDEZ CON TITULOS CON COTIZ (%),30.56
