Nro,Rubro,Monto
1122500,EFECTIVO Y DEPOSITOS EN BANCOS,284850068.00
1122600,TITULOS DE DEUDA A VALOR RAZONABLE CON CAMBIOS EN RESULTADOS,25180762.00
1122700,PRESTAMOS Y OTRAS FINANCIACIONES,562203795.00
1122800,"OPERACIONES DE PASE, INSTRUMENTOS DERIVADOS Y OTROS TITULOS DE DEUDA",403315274.00
1122900,ACTIVO POR IMPUESTO A LAS GANACIAS DIFERIDO,0
1123100,INVERSIONES EN INSTRUMENTOS DE PATRIMONIO,4549163.00
1123200,ACTIVOS FINANCIEROS ENTREGADOS EN GARANTIA,28873025.00
1110100,PROPIEDAD PLANTA Y EQUIPO,76726812.00
1123300,"INVERSIONES EN SUBSIDIARIAS, ASOCIADAS Y NEGOCIOS CONJUNTOS",8932325.00
1110200,ACTIVOS INTANGIBLES,18748802.00
1122300,OTROS ACTIVOS FINANCIEROS,11226515.00
1122400,OTROS ACTIVOS NO FINANCIEROS,15885938.00
1999999,TOTAL DEL ACTIVO,1440492479.00
2210999,CAPITAL,4397500.00
2210300,AJUSTE DE CAPITAL,54802940.00
2210500,APORTES NO CAPITALIZADOS,0
2210900,OTROS CONCEPTOS DEL CAPITAL,3084060.00
2211100,RESERVA LEGAL,34023105.00
2211200,OTRAS RESERVAS,72730515.00
2211999,GANANCIAS RESERVADAS,106753620.00
2211300,INTERESES NO CONTROLANTES,0
2212999,RESULTADOS NO ASIGNADOS,9068435.00
2213999,RESULTADOS INTEGRALES,10720045.00
2299999,TOTAL PATRIMONIO NETO,188826600.00
2311000,DEPOSITOS,1068600220.00
2311100,PASIVOS A VALOR DE REALIZACION CON CAMBIOS EN RESULTADOS,0.00
2311200,"INSTRUMENTOS DERIVADOS, OPERACIONES DE PASE Y OTROS PASIVOS FINANCIEROS",86630683.00
2311300,PROVISIONES,9537290.00
2311400,FINANCIACIONES RECIBIDAS DEL BCRA Y OTRAS INSTITUCIONES FINANCIERAS,4391734.00
2311500,OBLIGACIONES NEGOCIABLES SUBORDINADAS,16522098.00
2311600,OBLIGACIONES NEGOCIABLES EMITIDAS,7209544.00
2322100,PASIVOS POR IMPUESTO A LAS GANANCIAS CORRIENTE,0
2312200,PASIVOS POR IMPUESTO A LAS GANANCIAS DIFERIDO,8640713.00
2322300,OTROS PASIVOS NO FINANCIEROS,50133597.00
2399999,TOTAL DEL PASIVO,1251665879.00
2999999,TOTAL DEL PASIVO Y PATRIMONIO NETO,1440492479.00
3000100,INGRESOS POR INTERESES,274153877.00
3000200,EGRESOS POR INTERESES,-143735407.00
3000102,INGRESOS POR COMISIONES,62133323.00
3000201,EGRESOS POR COMISIONES,-20653727.00
3000101,CARGO POR INCOBRABILIDAD,-19559153.00
3009999,INGRESO OPERATIVO NETO,152338913.00
3011301,HONORARIOS A DIRECTORES Y SINDICOS,-157412.00
3011300,OTROS GASTOS DE ADMINISTRACION,-75371992.00
3011600,DEPRECIACIONES Y AMORTIZACIONES,-22418503.00
3021800,RECPAM,-27332542.00
3029999,GANANCIA (PERDIDA) ANTES DE IMPUESTOS,27058464.00
3031100,INGRESO (GASTO) POR IMPUESTOS A LAS GANANCIAS,-15441680.00
3049999,GANANCIA (PERDIDA) DEL PERIODO / EJERCICIO,11616784.00
3061999,OTRO RESULTADO INTEGRAL DEL EJERCICIO / PERIODO,-1728573.00
3099999,RESULTADO INTEGRAL TOTAL DEL EJERCICIO / PERIODO,9888211.00
3241100,FLUJOS DE EFECTIVO PROCEDENTES DE (UTILIZADOS EN) ACTIVIDADES DE OPERACION,-9071448.00
3241200,FLUJOS DE EFECTIVO PROCEDENTES DE (UTILIZADOS EN) ACTIVIDADES DE INVERSION,-20894655.00
3241300,FLUJOS DE EFECTIVO PROCEDENTES DE (UTILIZADOS EN) ACTIVIDADES DE FINANCIACION,1872703.00
3240000,INCREMENTO (DISMINUCION) NETA DE EFECTIVO Y EQUIVALENTES,-28093400.00
8000000,GANANCIA (PERDIDA) BASICA POR ACCION,2.6416791
8000001,GANANCIAS (PERDIDA) DILUIDA POR ACCION,2.6416791
8000002,TOTAL PATRIMONIO NETO DEL EJERCICIO ANTERIOR (MISMO PERIODO),182126137.00
8000003,EBIT,0
8000004,EBITDA,0
8000005,CAPITAL DE TRABAJO,0
8000006,LIQUIDEZ,0
8000007,SOLVENCIA,0.150860228
8000008,INMOVILIZACION DEL CAPITAL,0.066279842
8000009,RENTABILIDAD PATRIMONIO NETO,8.076595304
8000010,RENTABILIDAD DEL ACTIVO,0.018784176
8000011,ENDEUDAMIENTO,6.628652314
8000013,APALANCAMIENTO,7.628652314
8000014,MARGEN NETO / INGRESOS,4.548042059
8000015,DEUDA FINANCIERA / EBITDA,0
8000017,ANALISIS DUPONT,0.143297946
