Nro,Rubro,Monto
1122500,EFECTIVO Y DEPOSITOS EN BANCOS,12132028.00
1122600,TITULOS DE DEUDA A VALOR RAZONABLE CON CAMBIOS EN RESULTADOS,20828671.00
1122700,PRESTAMOS Y OTRAS FINANCIACIONES,63560539.00
1122800,"OPERACIONES DE PASE, INSTRUMENTOS DERIVADOS Y OTROS TITULOS DE DEUDA",22388166.00
1122900,ACTIVO POR IMPUESTO A LAS GANACIAS DIFERIDO,151408.00
1123100,INVERSIONES EN INSTRUMENTOS DE PATRIMONIO,457728.00
1123200,ACTIVOS FINANCIEROS ENTREGADOS EN GARANTIA,5511988.00
1110100,PROPIEDAD PLANTA Y EQUIPO,12188528.00
1123300,"INVERSIONES EN SUBSIDIARIAS, ASOCIADAS Y NEGOCIOS CONJUNTOS",0
1110200,ACTIVOS INTANGIBLES,1237482.00
1122300,OTROS ACTIVOS FINANCIEROS,1694176.00
1122400,OTROS ACTIVOS NO FINANCIEROS,1758243.00
1999999,TOTAL DEL ACTIVO,141908957.00
2210999,CAPITAL,551770.00
2210300,AJUSTE DE CAPITAL,14604307.00
2210500,APORTES NO CAPITALIZADOS,0
2210900,OTROS CONCEPTOS DEL CAPITAL,0
2211100,RESERVA LEGAL,709120.00
2211200,OTRAS RESERVAS,2836481.00
2211999,GANANCIAS RESERVADAS,3545601.00
2211300,INTERESES NO CONTROLANTES,0
2212999,RESULTADOS NO ASIGNADOS,-5095992.00
2213999,RESULTADOS INTEGRALES,0
2299999,TOTAL PATRIMONIO NETO,13605686.00
2311000,DEPOSITOS,122065736.00
2311100,PASIVOS A VALOR DE REALIZACION CON CAMBIOS EN RESULTADOS,104544.00
2311200,"INSTRUMENTOS DERIVADOS, OPERACIONES DE PASE Y OTROS PASIVOS FINANCIEROS",1251714.00
2311300,PROVISIONES,355816.00
2311400,FINANCIACIONES RECIBIDAS DEL BCRA Y OTRAS INSTITUCIONES FINANCIERAS,0
2311500,OBLIGACIONES NEGOCIABLES SUBORDINADAS,0
2311600,OBLIGACIONES NEGOCIABLES EMITIDAS,0
2322100,PASIVOS POR IMPUESTO A LAS GANANCIAS CORRIENTE,0
2312200,PASIVOS POR IMPUESTO A LAS GANANCIAS DIFERIDO,0
2322300,OTROS PASIVOS NO FINANCIEROS,4525461.00
2399999,TOTAL DEL PASIVO,128303271.00
2999999,TOTAL DEL PASIVO Y PATRIMONIO NETO,141908957.00
3000100,INGRESOS POR INTERESES,23269302.00
3000200,EGRESOS POR INTERESES,-21281586.00
3000102,INGRESOS POR COMISIONES,1973553.00
3000201,EGRESOS POR COMISIONES,-6728769.00
3000101,CARGO POR INCOBRABILIDAD,-663948.00
3000301,RESULTADO NETO POR MEDICI�N DE INSTRUMENTOS FINANCIEROS A VALOR RAZONABLE CON CAMBIOS EN RESULTADOS,18890003.00
3000302,DIFERENCIA DE COTIZACI�N DE ORO Y MONEDA EXTRANJERA,-54192.00
3000303,OTROS INGRESOS OPERATIVOS,1008482.00
3000304,RESULTADO POR BAJA DE ACTIVOS MEDIDOS A COSTO AMORTIZADO,153216.00
3009999,INGRESO OPERATIVO NETO,16566061.00
3011301,HONORARIOS A DIRECTORES Y SINDICOS,0
3011300,OTROS GASTOS DE ADMINISTRACION,-7333563.00
3011400,BENEFICIOS AL PERSONAL,-6372899.00
3011500,OTROS GASTOS OPERATIVOS,-6435027.00
3011600,DEPRECIACIONES Y AMORTIZACIONES,-963871.00
3011700,RESULTADOS POR ASOCIADAS Y NEGOCIOS CONJUNTOS,0
3021800,RECPAM,372693.00
3029999,GANANCIA (PERDIDA) ANTES DE IMPUESTOS,-4166606.00
3031100,INGRESO (GASTO) POR IMPUESTOS A LAS GANANCIAS,-929386.00
3049999,GANANCIA (PERDIDA) DEL PERIODO / EJERCICIO,-5095992.00
3061999,OTRO RESULTADO INTEGRAL DEL EJERCICIO / PERIODO,0
3099999,RESULTADO INTEGRAL TOTAL DEL EJERCICIO / PERIODO,-5095992.00
3241100,FLUJOS DE EFECTIVO PROCEDENTES DE (UTILIZADOS EN) ACTIVIDADES DE OPERACION,10054623.00
3241200,FLUJOS DE EFECTIVO PROCEDENTES DE (UTILIZADOS EN) ACTIVIDADES DE INVERSION,691801.00
3241300,FLUJOS DE EFECTIVO PROCEDENTES DE (UTILIZADOS EN) ACTIVIDADES DE FINANCIACION,0
3241400,EFECTO DE LAS VARIACIONES DEL TIPO DE CAMBIO,54192.00
3241500,EFECTO DEL RESULTADO MONETARIO DE EFECTIVO Y SUS EQUIVALENTES,203194.00
3240000,INCREMENTO (DISMINUCION) NETA DE EFECTIVO Y EQUIVALENTES,11003810.00
8000000,GANANCIA (PERDIDA) BASICA POR ACCION,-9.24
8000001,GANANCIAS (PERDIDA) DILUIDA POR ACCION,-9.24
8000002,TOTAL PATRIMONIO NETO DEL EJERCICIO ANTERIOR (MISMO PERIODO),18701678.00
8000003,EBIT,-15974883.00
8000004,EBITDA,-16938754.00
8000018,C1 - APALANCAMIENTO (EN VECES),10.43
8000019,R1 - RENDIMIENTO ANUAL DEL PATRIMONIO (RETURN ON EQUITY - ROE) (%),1.64
8000020,RG1 - RETORNO SOBRE ACTIVOS (RETURN ON ASSETS - ROA) (%),-0.03
8000021,L8_II-LIQUIDEZ CON TITULOS CON COTIZ (%),0.40
