Nro,Rubro,Monto
1122500,EFECTIVO Y DEPOSITOS EN BANCOS,4642389
1122600,TITULOS DE DEUDA A VALOR RAZONABLE CON CAMBIOS EN RESULTADOS,255674
1122700,PRESTAMOS Y OTRAS FINANCIACIONES,3133220
1122800,OPERACIONES DE PASE INSTRUMENTOS DERIVADOS Y OTROS TITULOS DE DEUDA,3005424
1122900,ACTIVO POR IMPUESTO A LAS GANACIAS DIFERIDO,23699
1123100,INVERSIONES EN INSTRUMENTOS DE PATRIMONIO,24039
1123200,ACTIVOS FINANCIEROS ENTREGADOS EN GARANTIA,232239
1110100,PROPIEDAD PLANTA Y EQUIPO,319068
1123300,INVERSIONES EN SUBSIDIARIAS ASOCIADAS Y NEGOCIOS CONJUNTOS,1789503
1122300,OTROS ACTIVOS FINANCIEROS,4551
1122400,OTROS ACTIVOS NO FINANCIEROS,104415
1999999,TOTAL DEL ACTIVO,13534221
2210999,CAPITAL,323900
2211100,RESERVA LEGAL,429353
2211200,OTRAS RESERVAS,645446
2211999,GANANCIAS RESERVADAS,1074799
2212999,RESULTADOS NO ASIGNADOS,767159
2213999,RESULTADOS INTEGRALES,1175892
2299999,TOTAL PATRIMONIO NETO,3341750
2311000,DEPOSITOS,7514005
2311200,INSTRUMENTOS DERIVADOS OPERACIONES DE PASE Y OTROS PASIVOS FINANCIEROS,181159
2311300,PROVISIONES,1262
2311400,FINANCIACIONES RECIBIDAS DEL BCRA Y OTRAS INSTITUCIONES FINANCIERAS,1940708
2311600,OBLIGACIONES NEGOCIABLES EMITIDAS,87423
2322100,PASIVOS POR IMPUESTO A LAS GANANCIAS CORRIENTE,233031
2322300,OTROS PASIVOS NO FINANCIEROS,234883
2399999,TOTAL DEL PASIVO,10192471
2999999,TOTAL DEL PASIVO Y PATRIMONIO NETO,13534221
3000100,INGRESOS POR INTERESES,5085106
3000200,EGRESOS POR INTERESES,-2887382
3000102,INGRESOS POR COMISIONES,67695
3000201,EGRESOS POR COMISIONES,-5358
3000101,CARGO POR INCOBRABILIDAD,-107154
3009999,INGRESO OPERATIVO NETO,2152907
3011300,OTROS GASTOS DE ADMINISTRACION,-1132669
3011600,DEPRECIACIONES Y AMORTIZACIONES,-11733
3029999,GANANCIA (PERDIDA) ANTES DE IMPUESTOS,1008505
3031100,INGRESO (GASTO) POR IMPUESTOS A LAS GANANCIAS,-241346
3049999,GANANCIA (PERDIDA) DEL PERIODO / EJERCICIO,767159
3061999,OTRO RESULTADO INTEGRAL DEL EJERCICIO / PERIODO,562347
3099999,RESULTADO INTEGRAL TOTAL DEL EJERCICIO / PERIODO,1329506
3241100,FLUJOS DE EFECTIVO PROCEDENTES DE (UTILIZADOS EN) ACTIVIDADES DE OPERACION,3106111
3241200,FLUJOS DE EFECTIVO PROCEDENTES DE (UTILIZADOS EN) ACTIVIDADES DE INVERSION,49365
3241300,FLUJOS DE EFECTIVO PROCEDENTES DE (UTILIZADOS EN) ACTIVIDADES DE FINANCIACION,-984259
3240000,INCREMENTO (DISMINUCION) NETA DE EFECTIVO Y EQUIVALENTES,2171217
8000007,SOLVENCIA,0.327864558
8000008,INMOVILIZACION DEL CAPITAL,0.023574907
8000009,RENTABILIDAD PATRIMONIO NETO,0.603578963
8000010,RENTABILIDAD DEL ACTIVO,0.074515186
8000011,ENDEUDAMIENTO,3.050039949
8000013,APALANCAMIENTO,4.050039949
8000014,MARGEN NETO / INGRESOS,2.6823559
8000017,ANALISIS DUPONT,0.301789482
