Nro,Rubro,Monto
1122500,EFECTIVO Y DEPOSITOS EN BANCOS,2745587
1122600,TITULOS DE DEUDA A VALOR RAZONABLE CON CAMBIOS EN RESULTADOS,40450
1122700,PRESTAMOS Y OTRAS FINANCIACIONES,5934653
"""1122800",OPERACIONES DE PASE INSTRUMENTOS DERIVADOS Y OTROS TITULOS DE DEUDA,"1079055"""
1122900,ACTIVO POR IMPUESTO A LAS GANACIAS DIFERIDO,0
1123100,INVERSIONES EN INSTRUMENTOS DE PATRIMONIO,0
1123200,ACTIVOS FINANCIEROS ENTREGADOS EN GARANTIA,241887
1110100,PROPIEDAD PLANTA Y EQUIPO,196010
"""1123300",INVERSIONES EN SUBSIDIARIAS ASOCIADAS Y NEGOCIOS CONJUNTOS,"0"""
1110200,ACTIVOS INTANGIBLES,55762
1122300,OTROS ACTIVOS FINANCIEROS,217685
1122400,OTROS ACTIVOS NO FINANCIEROS,150639
1999999,TOTAL DEL ACTIVO,10661728
2210999,CAPITAL,32632
2210300,AJUSTE DE CAPITAL,0
2210500,APORTES NO CAPITALIZADOS,63484
2210900,OTROS CONCEPTOS DEL CAPITAL,0
2211100,RESERVA LEGAL,138540
2211200,OTRAS RESERVAS,537926
2211999,GANANCIAS RESERVADAS,676466
2211300,INTERESES NO CONTROLANTES,36386
2212999,RESULTADOS NO ASIGNADOS,191
2213999,RESULTADOS INTEGRALES,177582
2299999,TOTAL PATRIMONIO NETO,986741
2311000,DEPOSITOS,8709663
2311100,PASIVOS A VALOR DE REALIZACION CON CAMBIOS EN RESULTADOS,0
"""2311200",INSTRUMENTOS DERIVADOS OPERACIONES DE PASE Y OTROS PASIVOS FINANCIEROS,"345125"""
2311300,PROVISIONES,26091
2311400,FINANCIACIONES RECIBIDAS DEL BCRA Y OTRAS INSTITUCIONES FINANCIERAS,4967
2311500,OBLIGACIONES NEGOCIABLES SUBORDINADAS,110526
2311600,OBLIGACIONES NEGOCIABLES EMITIDAS,0
2322100,PASIVOS POR IMPUESTO A LAS GANANCIAS CORRIENTE,122815
2312200,PASIVOS POR IMPUESTO A LAS GANANCIAS DIFERIDO,13223
2322300,OTROS PASIVOS NO FINANCIEROS,342577
2399999,TOTAL DEL PASIVO,9674987
2999999,TOTAL DEL PASIVO Y PATRIMONIO NETO,10661728
3000100,INGRESOS POR INTERESES,3282521
3000200,EGRESOS POR INTERESES,-981383
3000102,INGRESOS POR COMISIONES,344384
3000201,EGRESOS POR COMISIONES,-197976
3000101,CARGO POR INCOBRABILIDAD,-355054
3009999,INGRESO OPERATIVO NETO,2092492
3011301,HONORARIOS A DIRECTORES Y SINDICOS,-1011
3011300,OTROS GASTOS DE ADMINISTRACION,-1837095
3011600,DEPRECIACIONES Y AMORTIZACIONES,-29149
3021800,RECPAM,0
3029999,GANANCIA (PERDIDA) ANTES DE IMPUESTOS,225237
3031100,INGRESO (GASTO) POR IMPUESTOS A LAS GANANCIAS,-52905
3049999,GANANCIA (PERDIDA) DEL PERIODO / EJERCICIO,172332
3061999,OTRO RESULTADO INTEGRAL DEL EJERCICIO / PERIODO,10857
3099999,RESULTADO INTEGRAL TOTAL DEL EJERCICIO / PERIODO,183189
3241100,FLUJOS DE EFECTIVO PROCEDENTES DE (UTILIZADOS EN) ACTIVIDADES DE OPERACION,1744627
3241200,FLUJOS DE EFECTIVO PROCEDENTES DE (UTILIZADOS EN) ACTIVIDADES DE INVERSION,-37387
3241300,FLUJOS DE EFECTIVO PROCEDENTES DE (UTILIZADOS EN) ACTIVIDADES DE FINANCIACION,-6490
3240000,INCREMENTO (DISMINUCION) NETA DE EFECTIVO Y EQUIVALENTES,1700750
8000000,GANANCIA (PERDIDA) BASICA POR ACCION,5
8000001,GANANCIAS (PERDIDA) DILUIDA POR ACCION,0
8000002,TOTAL PATRIMONIO NETO DEL EJERCICIO ANTERIOR (MISMO PERIODO),665912
8000003,EBIT,219570
8000004,EBITDA,247697
8000005,CAPITAL DE TRABAJO,-1407704
"""8000006",LIQUIDEZ,"032"""
"""8000007",SOLVENCIA,"01"""
"""8000008",INMOVILIZACION DEL CAPITAL,"002"""
"""8000009",RENTABILIDAD PATRIMONIO NETO,"14"""
"""8000010",RENTABILIDAD DEL ACTIVO,"002"""
"""8000011",ENDEUDAMIENTO,"98"""
"""8000013",APALANCAMIENTO,"108"""
"""8000014",MARGEN NETO / INGRESOS,"326"""
"""8000015",DEUDA FINANCIERA / EBITDA,"186"""
"""8000017",ANALISIS DUPONT,"023"""
