Nro,Rubro,Monto
1122500,EFECTIVO Y DEPOSITOS EN BANCOS,20737411.00
1122600,TITULOS DE DEUDA A VALOR RAZONABLE CON CAMBIOS EN RESULTADOS,18851848.00
1122700,PRESTAMOS Y OTRAS FINANCIACIONES,44894126.00
1122800,"OPERACIONES DE PASE, INSTRUMENTOS DERIVADOS Y OTROS TITULOS DE DEUDA",65795763.00
1122900,ACTIVO POR IMPUESTO A LAS GANACIAS DIFERIDO,884.00
1123100,INVERSIONES EN INSTRUMENTOS DE PATRIMONIO,1186912.00
1123200,ACTIVOS FINANCIEROS ENTREGADOS EN GARANTIA,2471536.00
1110100,PROPIEDAD PLANTA Y EQUIPO,12600324.00
1123300,"INVERSIONES EN SUBSIDIARIAS, ASOCIADAS Y NEGOCIOS CONJUNTOS",0
1110200,ACTIVOS INTANGIBLES,1167937.00
1122300,OTROS ACTIVOS FINANCIEROS,6207321.00
1122400,OTROS ACTIVOS NO FINANCIEROS,661644.00
1999999,TOTAL DEL ACTIVO,174575706.00
2210999,CAPITAL,36955.00
2210300,AJUSTE DE CAPITAL,1736071.00
2210500,APORTES NO CAPITALIZADOS,57547.00
2210900,OTROS CONCEPTOS DEL CAPITAL,0
2211100,RESERVA LEGAL,3603912.00
2211200,OTRAS RESERVAS,8285016.00
2211999,GANANCIAS RESERVADAS,11888928.00
2211300,INTERESES NO CONTROLANTES,1265.00
2212999,RESULTADOS NO ASIGNADOS,6169295.00
2213999,RESULTADOS INTEGRALES,2437186.00
2299999,TOTAL PATRIMONIO NETO,22327247.00
2311000,DEPOSITOS,138359561.00
2311100,PASIVOS A VALOR DE REALIZACION CON CAMBIOS EN RESULTADOS,0
2311200,"INSTRUMENTOS DERIVADOS, OPERACIONES DE PASE Y OTROS PASIVOS FINANCIEROS",6283836.00
2311300,PROVISIONES,398958.00
2311400,FINANCIACIONES RECIBIDAS DEL BCRA Y OTRAS INSTITUCIONES FINANCIERAS,960291.00
2311500,OBLIGACIONES NEGOCIABLES SUBORDINADAS,0
2311600,OBLIGACIONES NEGOCIABLES EMITIDAS,0
2322100,PASIVOS POR IMPUESTO A LAS GANANCIAS CORRIENTE,2357.00
2312200,PASIVOS POR IMPUESTO A LAS GANANCIAS DIFERIDO,3198140.00
2322300,OTROS PASIVOS NO FINANCIEROS,3045316.00
2399999,TOTAL DEL PASIVO,152248459.00
2999999,TOTAL DEL PASIVO Y PATRIMONIO NETO,174575706.00
3000100,INGRESOS POR INTERESES,49092483.00
3000200,EGRESOS POR INTERESES,-28343708.00
3000102,INGRESOS POR COMISIONES,4752502.00
3000201,EGRESOS POR COMISIONES,-651117.00
3000101,CARGO POR INCOBRABILIDAD,-1056907.00
3009999,INGRESO OPERATIVO NETO,23793253.00
3011301,HONORARIOS A DIRECTORES Y SINDICOS,0
3011300,OTROS GASTOS DE ADMINISTRACION,-16974609.00
3011600,DEPRECIACIONES Y AMORTIZACIONES,-1206680.00
3021800,RECPAM,-4012652.00
3029999,GANANCIA (PERDIDA) ANTES DE IMPUESTOS,1599312.00
3031100,INGRESO (GASTO) POR IMPUESTOS A LAS GANANCIAS,-479213.00
3049999,GANANCIA (PERDIDA) DEL PERIODO / EJERCICIO,1120099.00
3061999,OTRO RESULTADO INTEGRAL DEL EJERCICIO / PERIODO,0
3099999,RESULTADO INTEGRAL TOTAL DEL EJERCICIO / PERIODO,1120099.00
3241100,FLUJOS DE EFECTIVO PROCEDENTES DE (UTILIZADOS EN) ACTIVIDADES DE OPERACION,-15868492.00
3241200,FLUJOS DE EFECTIVO PROCEDENTES DE (UTILIZADOS EN) ACTIVIDADES DE INVERSION,-437622.00
3241300,FLUJOS DE EFECTIVO PROCEDENTES DE (UTILIZADOS EN) ACTIVIDADES DE FINANCIACION,283722.00
3240000,INCREMENTO (DISMINUCION) NETA DE EFECTIVO Y EQUIVALENTES,-16022392.00
8000000,GANANCIA (PERDIDA) BASICA POR ACCION,0
8000001,GANANCIAS (PERDIDA) DILUIDA POR ACCION,0
8000002,TOTAL PATRIMONIO NETO DEL EJERCICIO ANTERIOR (MISMO PERIODO),0
8000003,EBIT,0
8000004,EBITDA,0
8000005,CAPITAL DE TRABAJO,0
8000006,LIQUIDEZ,0
8000007,SOLVENCIA,0.15
8000008,INMOVILIZACION DEL CAPITAL,0.08
8000009,RENTABILIDAD PATRIMONIO NETO,0.14
8000010,RENTABILIDAD DEL ACTIVO,0.01
8000011,ENDEUDAMIENTO,6.82
8000013,APALANCAMIENTO,7.82
8000014,MARGEN NETO / INGRESOS,3.31
8000015,DEUDA FINANCIERA / EBITDA,0
8000017,ANALISIS DUPONT,0.07
