Nro,Rubro,Monto
1122500,EFECTIVO Y DEPOSITOS EN BANCOS,223189.00
1122600,TITULOS DE DEUDA A VALOR RAZONABLE CON CAMBIOS EN RESULTADOS,0
1122700,PRESTAMOS Y OTRAS FINANCIACIONES,4171363.00
1122800,"OPERACIONES DE PASE, INSTRUMENTOS DERIVADOS Y OTROS TITULOS DE DEUDA",0
1122900,ACTIVO POR IMPUESTO A LAS GANACIAS DIFERIDO,130495.00
1123100,INVERSIONES EN INSTRUMENTOS DE PATRIMONIO,0
1123200,ACTIVOS FINANCIEROS ENTREGADOS EN GARANTIA,1379.00
1110100,PROPIEDAD PLANTA Y EQUIPO,11226.00
1123300,"INVERSIONES EN SUBSIDIARIAS, ASOCIADAS Y NEGOCIOS CONJUNTOS",0
1110200,ACTIVOS INTANGIBLES,50995.00
1122300,OTROS ACTIVOS FINANCIEROS,70120.00
1122400,OTROS ACTIVOS NO FINANCIEROS,21027.00
1999999,TOTAL DEL ACTIVO,4679794.00
2210999,CAPITAL,111785.00
2210300,AJUSTE DE CAPITAL,0
2210500,APORTES NO CAPITALIZADOS,265596.00
2210900,OTROS CONCEPTOS DEL CAPITAL,0
2211100,RESERVA LEGAL,114764.00
2211200,OTRAS RESERVAS,478182.00
2211999,GANANCIAS RESERVADAS,592946.00
2211300,INTERESES NO CONTROLANTES,0
2212999,RESULTADOS NO ASIGNADOS,0
2213999,RESULTADOS INTEGRALES,0
2299999,TOTAL PATRIMONIO NETO,970327.00
2311000,DEPOSITOS,219036.00
2311100,PASIVOS A VALOR DE REALIZACION CON CAMBIOS EN RESULTADOS,0
2311200,"INSTRUMENTOS DERIVADOS, OPERACIONES DE PASE Y OTROS PASIVOS FINANCIEROS",1384083.00
2311300,PROVISIONES,30704.00
2311400,FINANCIACIONES RECIBIDAS DEL BCRA Y OTRAS INSTITUCIONES FINANCIERAS,1506682.00
2311500,OBLIGACIONES NEGOCIABLES SUBORDINADAS,0
2311600,OBLIGACIONES NEGOCIABLES EMITIDAS,0
2322100,PASIVOS POR IMPUESTO A LAS GANANCIAS CORRIENTE,4564.00
2312200,PASIVOS POR IMPUESTO A LAS GANANCIAS DIFERIDO,0
2322300,OTROS PASIVOS NO FINANCIEROS,564398.00
2399999,TOTAL DEL PASIVO,3709467.00
2999999,TOTAL DEL PASIVO Y PATRIMONIO NETO,4679794.00
3000100,INGRESOS POR INTERESES,2096736.00
3000200,EGRESOS POR INTERESES,-1249123.00
3000102,INGRESOS POR COMISIONES,1023538.00
3000201,EGRESOS POR COMISIONES,-284482.00
3000101,CARGO POR INCOBRABILIDAD,-778120.00
3009999,INGRESO OPERATIVO NETO,808549.00
3011301,HONORARIOS A DIRECTORES Y SINDICOS,0
3011300,OTROS GASTOS DE ADMINISTRACION,-874422.00
3011600,DEPRECIACIONES Y AMORTIZACIONES,-17928.00
3021800,RECPAM,0
3029999,GANANCIA (PERDIDA) ANTES DE IMPUESTOS,-83801.00
3031100,INGRESO (GASTO) POR IMPUESTOS A LAS GANANCIAS,104581.00
3049999,GANANCIA (PERDIDA) DEL PERIODO / EJERCICIO,20780.00
3061999,OTRO RESULTADO INTEGRAL DEL EJERCICIO / PERIODO,0
3099999,RESULTADO INTEGRAL TOTAL DEL EJERCICIO / PERIODO,20780.00
3241100,FLUJOS DE EFECTIVO PROCEDENTES DE (UTILIZADOS EN) ACTIVIDADES DE OPERACION,1671681.00
3241200,FLUJOS DE EFECTIVO PROCEDENTES DE (UTILIZADOS EN) ACTIVIDADES DE INVERSION,4381.00
3241300,FLUJOS DE EFECTIVO PROCEDENTES DE (UTILIZADOS EN) ACTIVIDADES DE FINANCIACION,-1626586.00
3240000,INCREMENTO (DISMINUCION) NETA DE EFECTIVO Y EQUIVALENTES,49476.00
8000000,GANANCIA (PERDIDA) BASICA POR ACCION,0
8000001,GANANCIAS (PERDIDA) DILUIDA POR ACCION,0
8000002,TOTAL PATRIMONIO NETO DEL EJERCICIO ANTERIOR (MISMO PERIODO),675705.00
8000003,EBIT,-65873.00
8000004,EBITDA,-83801.00
8000005,CAPITAL DE TRABAJO,713107.00
8000006,LIQUIDEZ,1.23
8000007,SOLVENCIA,0.26
8000008,INMOVILIZACION DEL CAPITAL,0.01
8000009,RENTABILIDAD PATRIMONIO NETO,-0.57
8000010,RENTABILIDAD DEL ACTIVO,-0.02
8000011,ENDEUDAMIENTO,3.82
8000013,APALANCAMIENTO,4.82
8000014,MARGEN NETO / INGRESOS,2.00
8000015,DEUDA FINANCIERA / EBITDA,-34.50
8000017,ANALISIS DUPONT,-0.09
