Nro,Rubro,Monto
,,Separado
Nro,Rubro,Monto
1122500,EFECTIVO Y DEPOSITOS EN BANCOS,604752862.00
1122600,TITULOS DE DEUDA A VALOR RAZONABLE CON CAMBIOS EN RESULTADOS,471757571.00
1122700,PRESTAMOS Y OTRAS FINANCIACIONES,1207326997.00
1122800,"OPERACIONES DE PASE, INSTRUMENTOS DERIVADOS Y OTROS TITULOS DE DEUDA",460796142.00
1122900,ACTIVO POR IMPUESTO A LAS GANACIAS DIFERIDO,0
1123100,INVERSIONES EN INSTRUMENTOS DE PATRIMONIO,4168608.00
1123200,ACTIVOS FINANCIEROS ENTREGADOS EN GARANTIA,165826293.00
1110100,PROPIEDAD PLANTA Y EQUIPO,101880599.00
1123300,"INVERSIONES EN SUBSIDIARIAS, ASOCIADAS Y NEGOCIOS CONJUNTOS",149504549.00
1110200,ACTIVOS INTANGIBLES,7176020.00
1122300,OTROS ACTIVOS FINANCIEROS,32251106.00
1122400,OTROS ACTIVOS NO FINANCIEROS,41360443.00
1999999,TOTAL DEL ACTIVO,3246801190.00
2210999,CAPITAL,1500000.00
2210300,AJUSTE DE CAPITAL,356452028.00
2210500,APORTES NO CAPITALIZADOS,0
2210900,OTROS CONCEPTOS DEL CAPITAL,0
2211100,RESERVA LEGAL,99759092.00
2211200,OTRAS RESERVAS,52718809.00
2211999,GANANCIAS RESERVADAS,152477901.00
2211300,INTERESES NO CONTROLANTES,0
2212999,RESULTADOS NO ASIGNADOS,4498933.00
2213999,RESULTADOS INTEGRALES,0
2299999,TOTAL PATRIMONIO NETO,514928862.00
2311000,DEPOSITOS,2261193027.00
2311100,PASIVOS A VALOR DE REALIZACION CON CAMBIOS EN RESULTADOS,21531087.00
2311200,"INSTRUMENTOS DERIVADOS, OPERACIONES DE PASE Y OTROS PASIVOS FINANCIEROS",161398577.00
2311300,PROVISIONES,8210675.00
2311400,FINANCIACIONES RECIBIDAS DEL BCRA Y OTRAS INSTITUCIONES FINANCIERAS,29534586.00
2311500,OBLIGACIONES NEGOCIABLES SUBORDINADAS,0
2311600,OBLIGACIONES NEGOCIABLES EMITIDAS,150759170.00
2322100,PASIVOS POR IMPUESTO A LAS GANANCIAS CORRIENTE,0
2312200,PASIVOS POR IMPUESTO A LAS GANANCIAS DIFERIDO,4104255.00
2322300,OTROS PASIVOS NO FINANCIEROS,95140951.00
2399999,TOTAL DEL PASIVO,2731872328.00
2999999,TOTAL DEL PASIVO Y PATRIMONIO NETO,3246801190.00
3000100,INGRESOS POR INTERESES,652441489.00
3000200,EGRESOS POR INTERESES,-519043200.00
3000102,INGRESOS POR COMISIONES,56509765.00
3000201,EGRESOS POR COMISIONES,-2744209.00
3000101,CARGO POR INCOBRABILIDAD,-44545748.00
3009999,INGRESO OPERATIVO NETO,142618097.00
3011301,HONORARIOS A DIRECTORES Y SINDICOS,-1623374.00
3011300,OTROS GASTOS DE ADMINISTRACION,-116648547.00
3011600,DEPRECIACIONES Y AMORTIZACIONES,-5085466.00
3021800,RECPAM,-57769356.00
3029999,GANANCIA (PERDIDA) ANTES DE IMPUESTOS,-38508646.00
3031100,INGRESO (GASTO) POR IMPUESTOS A LAS GANANCIAS,42830657.00
3049999,GANANCIA (PERDIDA) DEL PERIODO / EJERCICIO,4322011.00
3061999,OTRO RESULTADO INTEGRAL DEL EJERCICIO / PERIODO,0
3099999,RESULTADO INTEGRAL TOTAL DEL EJERCICIO / PERIODO,4322011.00
3241100,FLUJOS DE EFECTIVO PROCEDENTES DE (UTILIZADOS EN) ACTIVIDADES DE OPERACION,254697419.00
3241200,FLUJOS DE EFECTIVO PROCEDENTES DE (UTILIZADOS EN) ACTIVIDADES DE INVERSION,-3580420.00
3241300,FLUJOS DE EFECTIVO PROCEDENTES DE (UTILIZADOS EN) ACTIVIDADES DE FINANCIACION,54688428.00
3240000,INCREMENTO (DISMINUCION) NETA DE EFECTIVO Y EQUIVALENTES,305805427.00
8000000,GANANCIA (PERDIDA) BASICA POR ACCION,2.92
8000001,GANANCIAS (PERDIDA) DILUIDA POR ACCION,2.92
8000002,TOTAL PATRIMONIO NETO DEL EJERCICIO ANTERIOR (MISMO PERIODO),549.072.249
8000003,EBIT,0
8000004,EBITDA,0
8000005,CAPITAL DE TRABAJO,0
8000006,LIQUIDEZ,0
8000007,SOLVENCIA,0.19
8000008,INMOVILIZACION DEL CAPITAL,0.03
8000009,RENTABILIDAD PATRIMONIO NETO,2.26
8000010,RENTABILIDAD DEL ACTIVO,-0.01
8000011,ENDEUDAMIENTO,5.31
8000013,APALANCAMIENTO,6.31
8000014,MARGEN NETO / INGRESOS,4.89
8000015,DEUDA FINANCIERA / EBITDA,0
8000017,ANALISIS DUPONT,-0.07
