Nro,Rubro,Monto
"""1122500",EFECTIVO Y DEPOSITOS EN BANCOS,"5914263"""
"""1122600",TITULOS DE DEUDA A VALOR RAZONABLE CON CAMBIOS EN RESULTADOS,"15081278"""
"""1122700",PRESTAMOS Y OTRAS FINANCIACIONES,"13329129"""
"""1122800","OPERACIONES DE PASE, INSTRUMENTOS DERIVADOS Y OTROS TITULOS DE DEUDA","842676"""
"""1122900",ACTIVO POR IMPUESTO A LAS GANACIAS DIFERIDO,"105421"""
"""1123100",INVERSIONES EN INSTRUMENTOS DE PATRIMONIO,"223478"""
"""1123200",ACTIVOS FINANCIEROS ENTREGADOS EN GARANTIA,"3192886"""
"""1110100",PROPIEDAD PLANTA Y EQUIPO,"291666"""
"""1123300","INVERSIONES EN SUBSIDIARIAS, ASOCIADAS Y NEGOCIOS CONJUNTOS","55576"""
"""1110200",ACTIVOS INTANGIBLES,"10"""
"""1122300",OTROS ACTIVOS FINANCIEROS,"192162"""
"""1122400",OTROS ACTIVOS NO FINANCIEROS,"121291"""
"""1999999",TOTAL DEL ACTIVO,"39349836"""
"""2210999",CAPITAL,"177020"""
"""2210300",AJUSTE DE CAPITAL,"-   """
"""2210500",APORTES NO CAPITALIZADOS,"5093"""
"""2210900",OTROS CONCEPTOS DEL CAPITAL,"-   """
"""2211100",RESERVA LEGAL,"2826804"""
"""2211200",OTRAS RESERVAS,"-   """
"""2211999",GANANCIAS RESERVADAS,"2826804"""
"""2211300",INTERESES NO CONTROLANTES,"-   """
"""2212999",RESULTADOS NO ASIGNADOS,"39246"""
"""2213999",RESULTADOS INTEGRALES,"556763"""
"""2299999",TOTAL PATRIMONIO NETO,"3604926"""
"""2311000",DEPOSITOS,"29100740"""
"""2311100",PASIVOS A VALOR DE REALIZACION CON CAMBIOS EN RESULTADOS,"894035"""
"""2311200","INSTRUMENTOS DERIVADOS, OPERACIONES DE PASE Y OTROS PASIVOS FINANCIEROS","3076961"""
"""2311300",PROVISIONES,"36098"""
"""2311400",FINANCIACIONES RECIBIDAS DEL BCRA Y OTRAS INSTITUCIONES FINANCIERAS,"1302680"""
"""2311500",OBLIGACIONES NEGOCIABLES SUBORDINADAS,"-   """
"""2311600",OBLIGACIONES NEGOCIABLES EMITIDAS,"-   """
"""2322100",PASIVOS POR IMPUESTO A LAS GANANCIAS CORRIENTE,"452713"""
"""2312200",PASIVOS POR IMPUESTO A LAS GANANCIAS DIFERIDO,"-   """
"""2322300",OTROS PASIVOS NO FINANCIEROS,"881683"""
"""2399999",TOTAL DEL PASIVO,"35744910"""
"""2999999",TOTAL DEL PASIVO Y PATRIMONIO NETO,"39349836"""
"""3000100",INGRESOS POR INTERESES,"3468775"""
"""3000200",EGRESOS POR INTERESES,"-1894558"""
"""3000102",INGRESOS POR COMISIONES,"212355"""
"""3000201",EGRESOS POR COMISIONES,"-36703"""
"""3000101",CARGO POR INCOBRABILIDAD,"-115667"""
"""3009999",INGRESO OPERATIVO NETO,"1634202"""
"""3011301",HONORARIOS A DIRECTORES Y SINDICOS,"-   """
"""3011300",OTROS GASTOS DE ADMINISTRACION,"-795972"""
"""3011600",DEPRECIACIONES Y AMORTIZACIONES,"-30178"""
"""3021800",RECPAM,"-   """
"""3029999",GANANCIA (PERDIDA) ANTES DE IMPUESTOS,"808052"""
"""3031100",INGRESO (GASTO) POR IMPUESTOS A LAS GANANCIAS,"-251289"""
"""3049999",GANANCIA (PERDIDA) DEL PERIODO / EJERCICIO,"556763"""
"""3061999",OTRO RESULTADO INTEGRAL DEL EJERCICIO / PERIODO,"-   """
"""3099999",RESULTADO INTEGRAL TOTAL DEL EJERCICIO / PERIODO,"556763"""
"""3241100",FLUJOS DE EFECTIVO PROCEDENTES DE (UTILIZADOS EN) ACTIVIDADES DE OPERACION,"4612257"""
"""3241200",FLUJOS DE EFECTIVO PROCEDENTES DE (UTILIZADOS EN) ACTIVIDADES DE INVERSION,"203466"""
"""3241300",FLUJOS DE EFECTIVO PROCEDENTES DE (UTILIZADOS EN) ACTIVIDADES DE FINANCIACION,"-323425"""
"""3240000",INCREMENTO (DISMINUCION) NETA DE EFECTIVO Y EQUIVALENTES,"4492298"""
"""8000000",GANANCIA (PERDIDA) BASICA POR ACCION,"0.15"""
"""8000001",GANANCIAS (PERDIDA) DILUIDA POR ACCION,"-   """
"""8000002",TOTAL PATRIMONIO NETO DEL EJERCICIO ANTERIOR (MISMO PERIODO),"2223579"""
"""8000003",EBIT,"808052"""
"""8000004",EBITDA,"838230"""
"""8000005",CAPITAL DE TRABAJO,"285837"""
"""8000006",LIQUIDEZ,"0.72"""
"""8000007",SOLVENCIA,"0.1"""
"""8000008",INMOVILIZACION DEL CAPITAL,"0.01"""
"""8000009",RENTABILIDAD PATRIMONIO NETO,"1.17"""
"""8000010",RENTABILIDAD DEL ACTIVO,"0.02"""
"""8000011",ENDEUDAMIENTO,"9.92"""
"""8000013",APALANCAMIENTO,"10.92"""
"""8000014",MARGEN NETO / INGRESOS,"11.04"""
"""8000015",DEUDA FINANCIERA / EBITDA,"5.22"""
"""8000017",ANALISIS DUPONT,"0.22"""
