Nro,Rubro,Monto
1122500,EFECTIVO Y DEPOSITOS EN BANCOS,127670970
1122600,TITULOS DE DEUDA A VALOR RAZONABLE CON CAMBIOS EN RESULTADOS,473175053
1122700,PRESTAMOS Y OTRAS FINANCIACIONES,442330001
1122800,"OPERACIONES DE PASE, INSTRUMENTOS DERIVADOS Y OTROS TITULOS DE DEUDA",97563832
1122900,ACTIVO POR IMPUESTO A LAS GANACIAS DIFERIDO,0
1123100,INVERSIONES EN INSTRUMENTOS DE PATRIMONIO,4776703
1123200,ACTIVOS FINANCIEROS ENTREGADOS EN GARANTIA,57643187
1110100,PROPIEDAD PLANTA Y EQUIPO,162449914
1123300,"INVERSIONES EN SUBSIDIARIAS, ASOCIADAS Y NEGOCIOS CONJUNTOS",0
1110200,ACTIVOS INTANGIBLES,48925
1122300,OTROS ACTIVOS FINANCIEROS,38583322
1122400,OTROS ACTIVOS NO FINANCIEROS,8473174
1999999,TOTAL DEL ACTIVO,1412715081
2210999,CAPITAL,177020
2210300,AJUSTE DE CAPITAL,46753639
2210500,APORTES NO CAPITALIZADOS,5093
2210900,OTROS CONCEPTOS DEL CAPITAL,0
2211100,RESERVA LEGAL,68918173
2211200,OTRAS RESERVAS,77571144
2211999,GANANCIAS RESERVADAS,146489317
2211300,INTERESES NO CONTROLANTES,0
2212999,RESULTADOS NO ASIGNADOS,77247995
2213999,RESULTADOS INTEGRALES,0
2299999,TOTAL PATRIMONIO NETO,270673064
2311000,DEPOSITOS,929860787
2311100,PASIVOS A VALOR DE REALIZACION CON CAMBIOS EN RESULTADOS,0
2311200,"INSTRUMENTOS DERIVADOS, OPERACIONES DE PASE Y OTROS PASIVOS FINANCIEROS",35237455
2311300,PROVISIONES,190742
2311400,FINANCIACIONES RECIBIDAS DEL BCRA Y OTRAS INSTITUCIONES FINANCIERAS,17442947
2311500,OBLIGACIONES NEGOCIABLES SUBORDINADAS,0
2311600,OBLIGACIONES NEGOCIABLES EMITIDAS,0
2322100,PASIVOS POR IMPUESTO A LAS GANANCIAS CORRIENTE,48821854
2312200,PASIVOS POR IMPUESTO A LAS GANANCIAS DIFERIDO,1875058
2322300,OTROS PASIVOS NO FINANCIEROS,108613174
2399999,TOTAL DEL PASIVO,1142042017
2999999,TOTAL DEL PASIVO Y PATRIMONIO NETO,1412715081
3000100,INGRESOS POR INTERESES,672538901
3000200,EGRESOS POR INTERESES,-499680905
3000102,INGRESOS POR COMISIONES,16643688
3000201,EGRESOS POR COMISIONES,-9044139
3000101,CARGO POR INCOBRABILIDAD,-6783327
3000301,RESULTADO NETO POR MEDICI�N DE INSTRUMENTOS FINANCIEROS A VALOR RAZONABLE CON CAMBIOS EN RESULTADOS,227115032
3000302,DIFERENCIA DE COTIZACI�N DE ORO Y MONEDA EXTRANJERA,-6585534
3000303,OTROS INGRESOS OPERATIVOS,50110158
3000304,RESULTADO POR BAJA DE ACTIVOS MEDIDOS A COSTO AMORTIZADO,0
3009999,INGRESO OPERATIVO NETO,444313874
3011301,HONORARIOS A DIRECTORES Y SINDICOS,0
3011300,OTROS GASTOS DE ADMINISTRACION,-86564877
3011400,BENEFICIOS AL PERSONAL,-42512252
3011500,OTROS GASTOS OPERATIVOS,-88012458
3011600,DEPRECIACIONES Y AMORTIZACIONES,-4783541
3011700,RESULTADOS POR ASOCIADAS Y NEGOCIOS CONJUNTOS,0
3021800,RECPAM,-80493120
3029999,GANANCIA (PERDIDA) ANTES DE IMPUESTOS,141947626
3031100,INGRESO (GASTO) POR IMPUESTOS A LAS GANANCIAS,-64699631
3049999,GANANCIA (PERDIDA) DEL PERIODO / EJERCICIO,77247995
3061999,OTRO RESULTADO INTEGRAL DEL EJERCICIO / PERIODO,0
3099999,RESULTADO INTEGRAL TOTAL DEL EJERCICIO / PERIODO,77247995
3241100,FLUJOS DE EFECTIVO PROCEDENTES DE (UTILIZADOS EN) ACTIVIDADES DE OPERACION,560129857
3241200,FLUJOS DE EFECTIVO PROCEDENTES DE (UTILIZADOS EN) ACTIVIDADES DE INVERSION,-4007950
3241300,FLUJOS DE EFECTIVO PROCEDENTES DE (UTILIZADOS EN) ACTIVIDADES DE FINANCIACION,-77680753
3241400,EFECTO DE LAS VARIACIONES DEL TIPO DE CAMBIO,-6585534
3241500,EFECTO DEL RESULTADO MONETARIO DE EFECTIVO Y SUS EQUIVALENTES,-131029665
3240000,INCREMENTO (DISMINUCION) NETA DE EFECTIVO Y EQUIVALENTES,340825955
8000000,GANANCIA (PERDIDA) BASICA POR ACCION,0.285392251
8000001,GANANCIAS (PERDIDA) DILUIDA POR ACCION,0.285392251
8000002,TOTAL PATRIMONIO NETO DEL EJERCICIO ANTERIOR (MISMO PERIODO),270218656
8000003,EBIT,77247995
8000004,EBITDA,77247995
8000018,C1 - APALANCAMIENTO (EN VECES),1.634185517
8000019,R1 - RENDIMIENTO ANUAL DEL PATRIMONIO (RETURN ON EQUITY - ROE) (%),0.285392251
8000020,RG1 - RETORNO SOBRE ACTIVOS (RETURN ON ASSETS - ROA) (%),0.05468052
8000021,L8_II-LIQUIDEZ CON TITULOS CON COTIZ (%),0.508866553
