Nro,Rubro,Monto
1122500,EFECTIVO Y DEPOSITOS EN BANCOS,2358686736
1122600,TITULOS DE DEUDA A VALOR RAZONABLE CON CAMBIOS EN RESULTADOS,584505232
1122700,PRESTAMOS Y OTRAS FINANCIACIONES,9203022677
1122800,"OPERACIONES DE PASE, INSTRUMENTOS DERIVADOS Y OTROS TITULOS DE DEUDA",3630772998
1122900,ACTIVO POR IMPUESTO A LAS GANACIAS DIFERIDO,0
1123100,INVERSIONES EN INSTRUMENTOS DE PATRIMONIO,24212294
1123200,ACTIVOS FINANCIEROS ENTREGADOS EN GARANTIA,251251322
1110100,PROPIEDAD PLANTA Y EQUIPO,909952150
1123300,"INVERSIONES EN SUBSIDIARIAS, ASOCIADAS Y NEGOCIOS CONJUNTOS",223965677
1110200,ACTIVOS INTANGIBLES,163633492
1122300,OTROS ACTIVOS FINANCIEROS,372950183
1122400,OTROS ACTIVOS NO FINANCIEROS,211620372
1999999,TOTAL DEL ACTIVO,17934573133
2210999,CAPITAL,639413
2210300,AJUSTE DE CAPITAL,1441483649
2210500,APORTES NO CAPITALIZADOS,12429781
2210900,OTROS CONCEPTOS DEL CAPITAL,0
2211100,RESERVA LEGAL,1225343580
2211200,OTRAS RESERVAS,1644426478
2211999,GANANCIAS RESERVADAS,2869770058
2211300,INTERESES NO CONTROLANTES,0
2212999,RESULTADOS NO ASIGNADOS,197511227
2213999,RESULTADOS INTEGRALES,-6068228
2299999,TOTAL PATRIMONIO NETO,4515765900
2311000,DEPOSITOS,10557752373
2311100,PASIVOS A VALOR DE REALIZACION CON CAMBIOS EN RESULTADOS,0
2311200,"INSTRUMENTOS DERIVADOS, OPERACIONES DE PASE Y OTROS PASIVOS FINANCIEROS",948380764
2311300,PROVISIONES,17478264
2311400,FINANCIACIONES RECIBIDAS DEL BCRA Y OTRAS INSTITUCIONES FINANCIERAS,68362125
2311500,OBLIGACIONES NEGOCIABLES SUBORDINADAS,484264572
2311600,OBLIGACIONES NEGOCIABLES EMITIDAS,488184160
2322100,PASIVOS POR IMPUESTO A LAS GANANCIAS CORRIENTE,33130336
2312200,PASIVOS POR IMPUESTO A LAS GANANCIAS DIFERIDO,174117880
2322300,OTROS PASIVOS NO FINANCIEROS,647136759
2399999,TOTAL DEL PASIVO,13418807233
2999999,TOTAL DEL PASIVO Y PATRIMONIO NETO,17934573133
3000100,INGRESOS POR INTERESES,2002324613
3000200,EGRESOS POR INTERESES,-692365828
3000102,INGRESOS POR COMISIONES,346647472
3000201,EGRESOS POR COMISIONES,-26702807
3000101,CARGO POR INCOBRABILIDAD,-172507662
3000301,RESULTADO NETO POR MEDICI�N DE INSTRUMENTOS FINANCIEROS A VALOR RAZONABLE CON CAMBIOS EN RESULTADOS,131137874
3000302,DIFERENCIA DE COTIZACI�N DE ORO Y MONEDA EXTRANJERA,27041200
3000303,OTROS INGRESOS OPERATIVOS,74832922
3000304,RESULTADO POR BAJA DE ACTIVOS MEDIDOS A COSTO AMORTIZADO,17221
3009999,INGRESO OPERATIVO NETO,1690425005
3011301,HONORARIOS A DIRECTORES Y SINDICOS,-8264544
3011300,OTROS GASTOS DE ADMINISTRACION,-173359066
3011400,BENEFICIOS AL PERSONAL,-344391556
3011500,OTROS GASTOS OPERATIVOS,-350655390
3011600,DEPRECIACIONES Y AMORTIZACIONES,-76081987
3011700,RESULTADOS POR ASOCIADAS Y NEGOCIOS CONJUNTOS,36251684
3021800,RECPAM,-463503881
3029999,GANANCIA (PERDIDA) ANTES DE IMPUESTOS,310420265
3031100,INGRESO (GASTO) POR IMPUESTOS A LAS GANANCIAS,-113736933
3049999,GANANCIA (PERDIDA) DEL PERIODO / EJERCICIO,196683332
3061999,OTRO RESULTADO INTEGRAL DEL EJERCICIO / PERIODO,5145486
3099999,RESULTADO INTEGRAL TOTAL DEL EJERCICIO / PERIODO,201828818
3241100,FLUJOS DE EFECTIVO PROCEDENTES DE (UTILIZADOS EN) ACTIVIDADES DE OPERACION,-986062186
3241200,FLUJOS DE EFECTIVO PROCEDENTES DE (UTILIZADOS EN) ACTIVIDADES DE INVERSION,-77983133
3241300,FLUJOS DE EFECTIVO PROCEDENTES DE (UTILIZADOS EN) ACTIVIDADES DE FINANCIACION,421539775
3241400,EFECTO DE LAS VARIACIONES DEL TIPO DE CAMBIO,255442645
3241500,EFECTO DEL RESULTADO MONETARIO DE EFECTIVO Y SUS EQUIVALENTES,-367841492
3240000,INCREMENTO (DISMINUCION) NETA DE EFECTIVO Y EQUIVALENTES,-754904391
8000000,GANANCIA (PERDIDA) BASICA POR ACCION,223.24
8000001,GANANCIAS (PERDIDA) DILUIDA POR ACCION,223.24
8000002,TOTAL PATRIMONIO NETO DEL EJERCICIO ANTERIOR (MISMO PERIODO),4451460482
8000003,EBIT,310420265
8000004,EBITDA,386502252
8000018,C1 - APALANCAMIENTO (EN VECES),4.1
8000019,R1 - RENDIMIENTO ANUAL DEL PATRIMONIO (RETURN ON EQUITY - ROE) (%),12
8000020,RG1 - RETORNO SOBRE ACTIVOS (RETURN ON ASSETS - ROA) (%),3.5
8000021,L8_II-LIQUIDEZ CON TITULOS CON COTIZ (%),34.62
