Nro,Rubro,Monto
1122500,EFECTIVO Y DEPOSITOS EN BANCOS,16107545.00
1122600,TITULOS DE DEUDA A VALOR RAZONABLE CON CAMBIOS EN RESULTADOS,67316651.00
1122700,PRESTAMOS Y OTRAS FINANCIACIONES,32785608.00
1122800,"OPERACIONES DE PASE, INSTRUMENTOS DERIVADOS Y OTROS TITULOS DE DEUDA",44829815.00
1122900,ACTIVO POR IMPUESTO A LAS GANACIAS DIFERIDO,3704106.00
1123100,INVERSIONES EN INSTRUMENTOS DE PATRIMONIO,1423267.00
1123200,ACTIVOS FINANCIEROS ENTREGADOS EN GARANTIA,4001543.00
1110100,PROPIEDAD PLANTA Y EQUIPO,9886046.00
1123300,"INVERSIONES EN SUBSIDIARIAS, ASOCIADAS Y NEGOCIOS CONJUNTOS",36897783.00
1110200,ACTIVOS INTANGIBLES,664192.00
1122300,OTROS ACTIVOS FINANCIEROS,750308.00
1122400,OTROS ACTIVOS NO FINANCIEROS,6214103.00
1999999,TOTAL DEL ACTIVO,224580967.00
2210999,CAPITAL,67063.00
2210300,AJUSTE DE CAPITAL,21590723.00
2210500,APORTES NO CAPITALIZADOS,0
2210900,OTROS CONCEPTOS DEL CAPITAL,0
2211100,RESERVA LEGAL,5735325.00
2211200,OTRAS RESERVAS,15349088.00
2211999,GANANCIAS RESERVADAS,21084413.00
2211300,INTERESES NO CONTROLANTES,0
2212999,RESULTADOS NO ASIGNADOS,50747210.00
2213999,RESULTADOS INTEGRALES,0
2299999,TOTAL PATRIMONIO NETO,93489409.00
2311000,DEPOSITOS,67346516.00
2311100,PASIVOS A VALOR DE REALIZACION CON CAMBIOS EN RESULTADOS,42450244.00
2311200,"INSTRUMENTOS DERIVADOS, OPERACIONES DE PASE Y OTROS PASIVOS FINANCIEROS",1095294.00
2311300,PROVISIONES,10382.00
2311400,FINANCIACIONES RECIBIDAS DEL BCRA Y OTRAS INSTITUCIONES FINANCIERAS,280010.00
2311500,OBLIGACIONES NEGOCIABLES SUBORDINADAS,0
2311600,OBLIGACIONES NEGOCIABLES EMITIDAS,0
2322100,PASIVOS POR IMPUESTO A LAS GANANCIAS CORRIENTE,10468495.00
2312200,PASIVOS POR IMPUESTO A LAS GANANCIAS DIFERIDO,6787141.00
2322300,OTROS PASIVOS NO FINANCIEROS,2653476.00
2399999,TOTAL DEL PASIVO,131091558.00
2999999,TOTAL DEL PASIVO Y PATRIMONIO NETO,224580967.00
3000100,INGRESOS POR INTERESES,27431476.00
3000200,EGRESOS POR INTERESES,-10560254.00
3000102,INGRESOS POR COMISIONES,823529.00
3000201,EGRESOS POR COMISIONES,-609383.00
3000101,CARGO POR INCOBRABILIDAD,-311478.00
3009999,INGRESO OPERATIVO NETO,16773890.00
3011301,HONORARIOS A DIRECTORES Y SINDICOS,-166606.00
3011300,OTROS GASTOS DE ADMINISTRACION,-6986344.00
3011600,DEPRECIACIONES Y AMORTIZACIONES,-67988.00
3021800,RECPAM,-14452983.00
3029999,GANANCIA (PERDIDA) ANTES DE IMPUESTOS,-4900031.00
3031100,INGRESO (GASTO) POR IMPUESTOS A LAS GANANCIAS,2218487.00
3049999,GANANCIA (PERDIDA) DEL PERIODO / EJERCICIO,-2681544.00
3061999,OTRO RESULTADO INTEGRAL DEL EJERCICIO / PERIODO,0
3099999,RESULTADO INTEGRAL TOTAL DEL EJERCICIO / PERIODO,-2681544.00
3241100,FLUJOS DE EFECTIVO PROCEDENTES DE (UTILIZADOS EN) ACTIVIDADES DE OPERACION,-73993500.00
3241200,FLUJOS DE EFECTIVO PROCEDENTES DE (UTILIZADOS EN) ACTIVIDADES DE INVERSION,-373612.00
3241300,FLUJOS DE EFECTIVO PROCEDENTES DE (UTILIZADOS EN) ACTIVIDADES DE FINANCIACION,-57744365.00
3240000,INCREMENTO (DISMINUCION) NETA DE EFECTIVO Y EQUIVALENTES,-132111477.00
8000000,GANANCIA (PERDIDA) BASICA POR ACCION,-39.99
8000001,GANANCIAS (PERDIDA) DILUIDA POR ACCION,-39.99
8000002,TOTAL PATRIMONIO NETO DEL EJERCICIO ANTERIOR (MISMO PERIODO),93489409.00
8000003,EBIT,-4900031.00
8000004,EBITDA,-4520565.00
8000005,CAPITAL DE TRABAJO,60327547.00
8000006,LIQUIDEZ,0.24
8000007,SOLVENCIA,0.71
8000008,INMOVILIZACION DEL CAPITAL,0.05
8000009,RENTABILIDAD PATRIMONIO NETO,0
8000010,RENTABILIDAD DEL ACTIVO,-0.02
8000011,ENDEUDAMIENTO,1.40
8000013,APALANCAMIENTO,2.40
8000014,MARGEN NETO / INGRESOS,8.04
8000015,DEUDA FINANCIERA / EBITDA,-0.30
8000017,ANALISIS DUPONT,-0.05
