Nro,Rubro,Monto
1122500,EFECTIVO Y DEPOSITOS EN BANCOS,71795433.00
1122600,TITULOS DE DEUDA A VALOR RAZONABLE CON CAMBIOS EN RESULTADOS,3193427.00
1122700,PRESTAMOS Y OTRAS FINANCIACIONES,151210719.00
1122800,"OPERACIONES DE PASE, INSTRUMENTOS DERIVADOS Y OTROS TITULOS DE DEUDA",228177093.00
1122900,ACTIVO POR IMPUESTO A LAS GANACIAS DIFERIDO,136218.00
1123100,INVERSIONES EN INSTRUMENTOS DE PATRIMONIO,12709.00
1123200,ACTIVOS FINANCIEROS ENTREGADOS EN GARANTIA,9126981.00
1110100,PROPIEDAD PLANTA Y EQUIPO,20304977.00
1123300,"INVERSIONES EN SUBSIDIARIAS, ASOCIADAS Y NEGOCIOS CONJUNTOS",691270.00
1110200,ACTIVOS INTANGIBLES,665247.00
1122300,OTROS ACTIVOS FINANCIEROS,17175118.00
1122400,OTROS ACTIVOS NO FINANCIEROS,2608730.00
1999999,TOTAL DEL ACTIVO,505097922.00
2210999,CAPITAL,719145.00
2210300,AJUSTE DE CAPITAL,33255285.00
2210500,APORTES NO CAPITALIZADOS,217191.00
2210900,OTROS CONCEPTOS DEL CAPITAL,0
2211100,RESERVA LEGAL,26770980.00
2211200,OTRAS RESERVAS,13242438.00
2211999,GANANCIAS RESERVADAS,40013418.00
2211300,INTERESES NO CONTROLANTES,0
2212999,RESULTADOS NO ASIGNADOS,2708775.00
2213999,RESULTADOS INTEGRALES,10269681.00
2299999,TOTAL PATRIMONIO NETO,87183495.00
2311000,DEPOSITOS,367270188.00
2311100,PASIVOS A VALOR DE REALIZACION CON CAMBIOS EN RESULTADOS,274047.00
2311200,"INSTRUMENTOS DERIVADOS, OPERACIONES DE PASE Y OTROS PASIVOS FINANCIEROS",19767972.00
2311300,PROVISIONES,929718.00
2311400,FINANCIACIONES RECIBIDAS DEL BCRA Y OTRAS INSTITUCIONES FINANCIERAS,4398086.00
2311500,OBLIGACIONES NEGOCIABLES SUBORDINADAS,0
2311600,OBLIGACIONES NEGOCIABLES EMITIDAS,0
2322100,PASIVOS POR IMPUESTO A LAS GANANCIAS CORRIENTE,184697.00
2312200,PASIVOS POR IMPUESTO A LAS GANANCIAS DIFERIDO,632538.00
2322300,OTROS PASIVOS NO FINANCIEROS,24457181.00
2399999,TOTAL DEL PASIVO,417914427.00
2999999,TOTAL DEL PASIVO Y PATRIMONIO NETO,505097922.00
3000100,INGRESOS POR INTERESES,35670915.00
3000200,EGRESOS POR INTERESES,-18544096.00
3000102,INGRESOS POR COMISIONES,3677410.00
3000201,EGRESOS POR COMISIONES,-1239024.00
3000101,CARGO POR INCOBRABILIDAD,-1665806.00
3009999,INGRESO OPERATIVO NETO,17899399.00
3011301,HONORARIOS A DIRECTORES Y SINDICOS,0
3011300,OTROS GASTOS DE ADMINISTRACION,-14029768.00
3011600,DEPRECIACIONES Y AMORTIZACIONES,-552872.00
3021800,RECPAM,0
3029999,GANANCIA (PERDIDA) ANTES DE IMPUESTOS,3316759.00
3031100,INGRESO (GASTO) POR IMPUESTOS A LAS GANANCIAS,-1126648.00
3049999,GANANCIA (PERDIDA) DEL PERIODO / EJERCICIO,2190111.00
3061999,OTRO RESULTADO INTEGRAL DEL EJERCICIO / PERIODO,-123829.00
3099999,RESULTADO INTEGRAL TOTAL DEL EJERCICIO / PERIODO,2066282.00
3241100,FLUJOS DE EFECTIVO PROCEDENTES DE (UTILIZADOS EN) ACTIVIDADES DE OPERACION,1112012.00
3241200,FLUJOS DE EFECTIVO PROCEDENTES DE (UTILIZADOS EN) ACTIVIDADES DE INVERSION,-139139.00
3241300,FLUJOS DE EFECTIVO PROCEDENTES DE (UTILIZADOS EN) ACTIVIDADES DE FINANCIACION,-7525103.00
3240000,INCREMENTO (DISMINUCION) NETA DE EFECTIVO Y EQUIVALENTES,-6552230.00
8000000,GANANCIA (PERDIDA) BASICA POR ACCION,3.05
8000001,GANANCIAS (PERDIDA) DILUIDA POR ACCION,3.05
8000002,TOTAL PATRIMONIO NETO DEL EJERCICIO ANTERIOR (MISMO PERIODO),89082909.00
8000003,EBIT,0
8000004,EBITDA,0
8000005,CAPITAL DE TRABAJO,0
8000006,LIQUIDEZ,82.50
8000007,SOLVENCIA,0.21
8000008,INMOVILIZACION DEL CAPITAL,0.04
8000009,RENTABILIDAD PATRIMONIO NETO,-3.49
8000010,RENTABILIDAD DEL ACTIVO,0.01
8000011,ENDEUDAMIENTO,4.79
8000013,APALANCAMIENTO,5.79
8000014,MARGEN NETO / INGRESOS,13.40
8000015,DEUDA FINANCIERA / EBITDA,0
8000017,ANALISIS DUPONT,0.04
