Nro,Rubro,Monto
1122500,EFECTIVO Y DEPOSITOS EN BANCOS,31968665.00
1122600,TITULOS DE DEUDA A VALOR RAZONABLE CON CAMBIOS EN RESULTADOS,19561121.00
1122700,PRESTAMOS Y OTRAS FINANCIACIONES,157055396.00
1122800,"OPERACIONES DE PASE, INSTRUMENTOS DERIVADOS Y OTROS TITULOS DE DEUDA",120878238.00
1122900,ACTIVO POR IMPUESTO A LAS GANACIAS DIFERIDO,2194207.00
1123100,INVERSIONES EN INSTRUMENTOS DE PATRIMONIO,264280.00
1123200,ACTIVOS FINANCIEROS ENTREGADOS EN GARANTIA,8527462.00
1110100,PROPIEDAD PLANTA Y EQUIPO,10508217.00
1123300,"INVERSIONES EN SUBSIDIARIAS, ASOCIADAS Y NEGOCIOS CONJUNTOS",1323.00
1110200,ACTIVOS INTANGIBLES,5155032.00
1122300,OTROS ACTIVOS FINANCIEROS,11462011.00
1122400,OTROS ACTIVOS NO FINANCIEROS,11886054.00
1999999,TOTAL DEL ACTIVO,379462006.00
2210999,CAPITAL,829564.00
2210300,AJUSTE DE CAPITAL,34271663.00
2210500,APORTES NO CAPITALIZADOS,6898635.00
2210900,OTROS CONCEPTOS DEL CAPITAL,0
2211100,RESERVA LEGAL,0
2211200,OTRAS RESERVAS,0
2211999,GANANCIAS RESERVADAS,0
2211300,INTERESES NO CONTROLANTES,163319.00
2212999,RESULTADOS NO ASIGNADOS,-1256210.00
2213999,RESULTADOS INTEGRALES,1031494.00
2299999,TOTAL PATRIMONIO NETO,41938465.00
2311000,DEPOSITOS,289073188.00
2311100,PASIVOS A VALOR DE REALIZACION CON CAMBIOS EN RESULTADOS,2053216.00
2311200,"INSTRUMENTOS DERIVADOS, OPERACIONES DE PASE Y OTROS PASIVOS FINANCIEROS",23824584.00
2311300,PROVISIONES,847488.00
2311400,FINANCIACIONES RECIBIDAS DEL BCRA Y OTRAS INSTITUCIONES FINANCIERAS,6251768.00
2311500,OBLIGACIONES NEGOCIABLES SUBORDINADAS,0
2311600,OBLIGACIONES NEGOCIABLES EMITIDAS,1059240.00
2322100,PASIVOS POR IMPUESTO A LAS GANANCIAS CORRIENTE,2758.00
2312200,PASIVOS POR IMPUESTO A LAS GANANCIAS DIFERIDO,0
2322300,OTROS PASIVOS NO FINANCIEROS,14411299.00
2399999,TOTAL DEL PASIVO,337523541.00
2999999,TOTAL DEL PASIVO Y PATRIMONIO NETO,379462006.00
3000100,INGRESOS POR INTERESES,111033392.00
3000200,EGRESOS POR INTERESES,-60571592.00
3000102,INGRESOS POR COMISIONES,19963741.00
3000201,EGRESOS POR COMISIONES,-5522592.00
3000101,CARGO POR INCOBRABILIDAD,-7278501.00
3009999,INGRESO OPERATIVO NETO,57624448.00
3011301,HONORARIOS A DIRECTORES Y SINDICOS,-186287.00
3011300,OTROS GASTOS DE ADMINISTRACION,-48071125.00
3011600,DEPRECIACIONES Y AMORTIZACIONES,-4012812.00
3021800,RECPAM,-6157467.00
3029999,GANANCIA (PERDIDA) ANTES DE IMPUESTOS,-803243.00
3031100,INGRESO (GASTO) POR IMPUESTOS A LAS GANANCIAS,-261566.00
3049999,GANANCIA (PERDIDA) DEL PERIODO / EJERCICIO,-1064809.00
3061999,OTRO RESULTADO INTEGRAL DEL EJERCICIO / PERIODO,-113918.00
3099999,RESULTADO INTEGRAL TOTAL DEL EJERCICIO / PERIODO,-1178727.00
3241100,FLUJOS DE EFECTIVO PROCEDENTES DE (UTILIZADOS EN) ACTIVIDADES DE OPERACION,-1849278.00
3241200,FLUJOS DE EFECTIVO PROCEDENTES DE (UTILIZADOS EN) ACTIVIDADES DE INVERSION,-5345368.00
3241300,FLUJOS DE EFECTIVO PROCEDENTES DE (UTILIZADOS EN) ACTIVIDADES DE FINANCIACION,-8185934.00
3240000,INCREMENTO (DISMINUCION) NETA DE EFECTIVO Y EQUIVALENTES,-15380580.00
8000000,GANANCIA (PERDIDA) BASICA POR ACCION,-1.14
8000001,GANANCIAS (PERDIDA) DILUIDA POR ACCION,-1.14
8000002,TOTAL PATRIMONIO NETO DEL EJERCICIO ANTERIOR (MISMO PERIODO),43052970.00
8000003,EBIT,-803243.00
8000004,EBITDA,3209569.00
8000005,CAPITAL DE TRABAJO,41938465.00
8000006,LIQUIDEZ,1.09
8000007,SOLVENCIA,0.12
8000008,INMOVILIZACION DEL CAPITAL,0.04
8000009,RENTABILIDAD PATRIMONIO NETO,1.44
8000010,RENTABILIDAD DEL ACTIVO,0
8000011,ENDEUDAMIENTO,8.05
8000013,APALANCAMIENTO,9.05
8000014,MARGEN NETO / INGRESOS,3.07
8000015,DEUDA FINANCIERA / EBITDA,9.7
8000017,ANALISIS DUPONT,-0.02
