Nro,Rubro,Monto
1122500,EFECTIVO Y DEPOSITOS EN BANCOS,35.610.18200
1122600,TITULOS DE DEUDA A VALOR RAZONABLE CON CAMBIOS EN RESULTADOS,66.091.01200
1122700,PRESTAMOS Y OTRAS FINANCIACIONES,51.813.93500
1122800,"OPERACIONES DE PASE, INSTRUMENTOS DERIVADOS Y OTROS TITULOS DE DEUDA",113.552.08600
1122900,ACTIVO POR IMPUESTO A LAS GANACIAS DIFERIDO,1.733.58700
1123100,INVERSIONES EN INSTRUMENTOS DE PATRIMONIO,4.880.27600
1123200,ACTIVOS FINANCIEROS ENTREGADOS EN GARANTIA,11.600.22000
1110100,PROPIEDAD PLANTA Y EQUIPO,1.751.55700
1123300,"INVERSIONES EN SUBSIDIARIAS, ASOCIADAS Y NEGOCIOS CONJUNTOS",0
1110200,ACTIVOS INTANGIBLES,568.43900
1122300,OTROS ACTIVOS FINANCIEROS,9.785.16700
1122400,OTROS ACTIVOS NO FINANCIEROS,99.74500
1999999,TOTAL DEL ACTIVO,297.486.20600
2210999,CAPITAL,648.35000
2210300,AJUSTE DE CAPITAL,12.640.06400
2210500,APORTES NO CAPITALIZADOS,0
2210900,OTROS CONCEPTOS DEL CAPITAL,0
2211100,RESERVA LEGAL,7.355.18300
2211200,OTRAS RESERVAS,28.229.99500
2211999,GANANCIAS RESERVADAS,35.585.17800
2211300,INTERESES NO CONTROLANTES,0
2212999,RESULTADOS NO ASIGNADOS,0
2213999,RESULTADOS INTEGRALES,20.318.40700
2299999,TOTAL PATRIMONIO NETO,69.191.99900
2311000,DEPOSITOS,104.211.24600
2311100,PASIVOS A VALOR DE REALIZACION CON CAMBIOS EN RESULTADOS,29.230.26300
2311200,"INSTRUMENTOS DERIVADOS, OPERACIONES DE PASE Y OTROS PASIVOS FINANCIEROS",35.962.50500
2311300,PROVISIONES,1.997.17800
2311400,FINANCIACIONES RECIBIDAS DEL BCRA Y OTRAS INSTITUCIONES FINANCIERAS,0
2311500,OBLIGACIONES NEGOCIABLES SUBORDINADAS,0
2311600,OBLIGACIONES NEGOCIABLES EMITIDAS,16.142.70700
2322100,PASIVOS POR IMPUESTO A LAS GANANCIAS CORRIENTE,32.904.07600
2312200,PASIVOS POR IMPUESTO A LAS GANANCIAS DIFERIDO,0
2322300,OTROS PASIVOS NO FINANCIEROS,7.846.23200
2399999,TOTAL DEL PASIVO,228.294.20700
2999999,TOTAL DEL PASIVO Y PATRIMONIO NETO,297.486.20600
3000100,INGRESOS POR INTERESES,38.129.07000
3000200,EGRESOS POR INTERESES,-15.010.42000
3000102,INGRESOS POR COMISIONES,669.35300
3000201,EGRESOS POR COMISIONES,-37.91800
3000101,CARGO POR INCOBRABILIDAD,-1.878.45700
3000301,RESULTADO NETO POR MEDICI�N DE INSTRUMENTOS FINANCIEROS A VALOR RAZONABLE CON CAMBIOS EN RESULTADOS,47.443.89300
3000302,DIFERENCIA DE COTIZACI�N DE ORO Y MONEDA EXTRANJERA,-236.17300
3000303,OTROS INGRESOS OPERATIVOS,1.472.22600
3000304,RESULTADO POR BAJA DE ACTIVOS MEDIDOS A COSTO AMORTIZADO,0
3009999,INGRESO OPERATIVO NETO,70.551.57400
3011301,HONORARIOS A DIRECTORES Y SINDICOS,-1.303.44000
3011300,OTROS GASTOS DE ADMINISTRACION,-3.006.68900
3011400,BENEFICIOS AL PERSONAL,-3.208.65800
3011500,OTROS GASTOS OPERATIVOS,-3.666.95300
3011600,DEPRECIACIONES Y AMORTIZACIONES,-360.87600
3011700,RESULTADOS POR ASOCIADAS Y NEGOCIOS CONJUNTOS,0
3021800,RECPAM,-19.710.35700
3029999,GANANCIA (PERDIDA) ANTES DE IMPUESTOS,39.294.60100
3031100,INGRESO (GASTO) POR IMPUESTOS A LAS GANANCIAS,-18.976.19400
3049999,GANANCIA (PERDIDA) DEL PERIODO / EJERCICIO,20.318.40700
3061999,OTRO RESULTADO INTEGRAL DEL EJERCICIO / PERIODO,0
3099999,RESULTADO INTEGRAL TOTAL DEL EJERCICIO / PERIODO,20.318.40700
3241100,FLUJOS DE EFECTIVO PROCEDENTES DE (UTILIZADOS EN) ACTIVIDADES DE OPERACION,9.490.61700
3241200,FLUJOS DE EFECTIVO PROCEDENTES DE (UTILIZADOS EN) ACTIVIDADES DE INVERSION,-585.72200
3241300,FLUJOS DE EFECTIVO PROCEDENTES DE (UTILIZADOS EN) ACTIVIDADES DE FINANCIACION,2.775.22000
3241400,EFECTO DE LAS VARIACIONES DEL TIPO DE CAMBIO,238.17300
3241500,EFECTO DEL RESULTADO MONETARIO DE EFECTIVO Y SUS EQUIVALENTES,12.018.17100
3240000,INCREMENTO (DISMINUCION) NETA DE EFECTIVO Y EQUIVALENTES,23.936.45900
8000000,GANANCIA (PERDIDA) BASICA POR ACCION,31.34
8000001,GANANCIAS (PERDIDA) DILUIDA POR ACCION,31.34
8000002,TOTAL PATRIMONIO NETO DEL EJERCICIO ANTERIOR (MISMO PERIODO),21.705.08300
8000003,EBIT,39.294.60100
8000004,EBITDA,39.655.47700
8000018,C1 - APALANCAMIENTO (EN VECES),4.30
8000019,R1 - RENDIMIENTO ANUAL DEL PATRIMONIO (RETURN ON EQUITY - ROE) (%),0.94
8000020,RG1 - RETORNO SOBRE ACTIVOS (RETURN ON ASSETS - ROA) (%),0.07
8000021,L8_II-LIQUIDEZ CON TITULOS CON COTIZ (%),2.07
