Nro,Rubro,Monto
1122500,EFECTIVO Y DEPOSITOS EN BANCOS,653300632.00
1122600,TITULOS DE DEUDA A VALOR RAZONABLE CON CAMBIOS EN RESULTADOS,0
1122700,PRESTAMOS Y OTRAS FINANCIACIONES,88561870.00
1122800,"OPERACIONES DE PASE, INSTRUMENTOS DERIVADOS Y OTROS TITULOS DE DEUDA",596447682.00
1122900,ACTIVO POR IMPUESTO A LAS GANACIAS DIFERIDO,0
1123100,INVERSIONES EN INSTRUMENTOS DE PATRIMONIO,425869.00
1123200,ACTIVOS FINANCIEROS ENTREGADOS EN GARANTIA,48536420.00
1110100,PROPIEDAD PLANTA Y EQUIPO,8080328.00
1123300,"INVERSIONES EN SUBSIDIARIAS, ASOCIADAS Y NEGOCIOS CONJUNTOS",1011396.00
1110200,ACTIVOS INTANGIBLES,455231.00
1122300,OTROS ACTIVOS FINANCIEROS,4620270.00
1122400,OTROS ACTIVOS NO FINANCIEROS,5282123.00
1999999,TOTAL DEL ACTIVO,1406721821.00
2210999,CAPITAL,837546.00
2210300,AJUSTE DE CAPITAL,20886950.00
2210500,APORTES NO CAPITALIZADOS,309195.00
2210900,OTROS CONCEPTOS DEL CAPITAL,2636.00
2211100,RESERVA LEGAL,42616889.00
2211200,OTRAS RESERVAS,41194421.00
2211999,GANANCIAS RESERVADAS,83811310.00
2211300,INTERESES NO CONTROLANTES,720632.00
2212999,RESULTADOS NO ASIGNADOS,0
2213999,RESULTADOS INTEGRALES,13748345.00
2299999,TOTAL PATRIMONIO NETO,120316614.00
2311000,DEPOSITOS,1253351710.00
2311100,PASIVOS A VALOR DE REALIZACION CON CAMBIOS EN RESULTADOS,0
2311200,"INSTRUMENTOS DERIVADOS, OPERACIONES DE PASE Y OTROS PASIVOS FINANCIEROS",21965446.00
2311300,PROVISIONES,518374.00
2311400,FINANCIACIONES RECIBIDAS DEL BCRA Y OTRAS INSTITUCIONES FINANCIERAS,25.00
2311500,OBLIGACIONES NEGOCIABLES SUBORDINADAS,0
2311600,OBLIGACIONES NEGOCIABLES EMITIDAS,0
2322100,PASIVOS POR IMPUESTO A LAS GANANCIAS CORRIENTE,0
2312200,PASIVOS POR IMPUESTO A LAS GANANCIAS DIFERIDO,1257329.00
2322300,OTROS PASIVOS NO FINANCIEROS,9312323.00
2399999,TOTAL DEL PASIVO,1286405207.00
2999999,TOTAL DEL PASIVO Y PATRIMONIO NETO,1406721821.00
3000100,INGRESOS POR INTERESES,393225274.00
3000200,EGRESOS POR INTERESES,-257124344.00
3000102,INGRESOS POR COMISIONES,2961202.00
3000201,EGRESOS POR COMISIONES,-1787814.00
3000101,CARGO POR INCOBRABILIDAD,-1529522.00
3000301,RESULTADO NETO POR MEDICI�N DE INSTRUMENTOS FINANCIEROS A VALOR RAZONABLE CON CAMBIOS EN RESULTADOS,323970.00
3000302,DIFERENCIA DE COTIZACI�N DE ORO Y MONEDA EXTRANJERA,-313239.00
3000303,OTROS INGRESOS OPERATIVOS,9196783.00
3000304,RESULTADO POR BAJA DE ACTIVOS MEDIDOS A COSTO AMORTIZADO,0
3009999,INGRESO OPERATIVO NETO,144952310.00
3011301,HONORARIOS A DIRECTORES Y SINDICOS,1110476.00
3011300,OTROS GASTOS DE ADMINISTRACION,-9185482.00
3011400,BENEFICIOS AL PERSONAL,-20302355.00
3011500,OTROS GASTOS OPERATIVOS,-26466005.00
3011600,DEPRECIACIONES Y AMORTIZACIONES,-451932.00
3011700,RESULTADOS POR ASOCIADAS Y NEGOCIOS CONJUNTOS,-47568.00
3021800,RECPAM,-72443911.00
3029999,GANANCIA (PERDIDA) ANTES DE IMPUESTOS,17165533.00
3031100,INGRESO (GASTO) POR IMPUESTOS A LAS GANANCIAS,-4081042.00
3049999,GANANCIA (PERDIDA) DEL PERIODO / EJERCICIO,13084491.00
3061999,OTRO RESULTADO INTEGRAL DEL EJERCICIO / PERIODO,-2343008.00
3099999,RESULTADO INTEGRAL TOTAL DEL EJERCICIO / PERIODO,10741483.00
3241100,FLUJOS DE EFECTIVO PROCEDENTES DE (UTILIZADOS EN) ACTIVIDADES DE OPERACION,502125640.00
3241200,FLUJOS DE EFECTIVO PROCEDENTES DE (UTILIZADOS EN) ACTIVIDADES DE INVERSION,-250785.00
3241300,FLUJOS DE EFECTIVO PROCEDENTES DE (UTILIZADOS EN) ACTIVIDADES DE FINANCIACION,-16927375.00
