Nro,Rubro,Monto
1122500,EFECTIVO Y DEPOSITOS EN BANCOS,27704065.00
1122600,TITULOS DE DEUDA A VALOR RAZONABLE CON CAMBIOS EN RESULTADOS,30698138.00
1122700,PRESTAMOS Y OTRAS FINANCIACIONES,44031616.00
1122800,"OPERACIONES DE PASE, INSTRUMENTOS DERIVADOS Y OTROS TITULOS DE DEUDA",5154807.00
1122900,ACTIVO POR IMPUESTO A LAS GANACIAS DIFERIDO,324457.00
1123100,INVERSIONES EN INSTRUMENTOS DE PATRIMONIO,42611.00
1123200,ACTIVOS FINANCIEROS ENTREGADOS EN GARANTIA,2619720.00
1110100,PROPIEDAD PLANTA Y EQUIPO,2540684.00
1123300,"INVERSIONES EN SUBSIDIARIAS, ASOCIADAS Y NEGOCIOS CONJUNTOS",15000.00
1110200,ACTIVOS INTANGIBLES,129948.00
1122300,OTROS ACTIVOS FINANCIEROS,173684.00
1122400,OTROS ACTIVOS NO FINANCIEROS,1105789.00
1999999,TOTAL DEL ACTIVO,114540519.00
2210999,CAPITAL,3543691.00
2210300,AJUSTE DE CAPITAL,0
2210500,APORTES NO CAPITALIZADOS,0
2210900,OTROS CONCEPTOS DEL CAPITAL,0
2211100,RESERVA LEGAL,813979.00
2211200,OTRAS RESERVAS,0
2211999,GANANCIAS RESERVADAS,813979.00
2211300,INTERESES NO CONTROLANTES,0
2212999,RESULTADOS NO ASIGNADOS,496413.00
2213999,RESULTADOS INTEGRALES,2376695.00
2299999,TOTAL PATRIMONIO NETO,7230778.00
2311000,DEPOSITOS,98908087.00
2311100,PASIVOS A VALOR DE REALIZACION CON CAMBIOS EN RESULTADOS,0
2311200,"INSTRUMENTOS DERIVADOS, OPERACIONES DE PASE Y OTROS PASIVOS FINANCIEROS",3827735.00
2311300,PROVISIONES,167470.00
2311400,FINANCIACIONES RECIBIDAS DEL BCRA Y OTRAS INSTITUCIONES FINANCIERAS,89031.00
2311500,OBLIGACIONES NEGOCIABLES SUBORDINADAS,0
2311600,OBLIGACIONES NEGOCIABLES EMITIDAS,882454.00
2322100,PASIVOS POR IMPUESTO A LAS GANANCIAS CORRIENTE,1399469.00
2312200,PASIVOS POR IMPUESTO A LAS GANANCIAS DIFERIDO,0
2322300,OTROS PASIVOS NO FINANCIEROS,2035495.00
2399999,TOTAL DEL PASIVO,107309741.00
2999999,TOTAL DEL PASIVO Y PATRIMONIO NETO,114540519.00
3000100,INGRESOS POR INTERESES,12844128.00
3000200,EGRESOS POR INTERESES,-11134085.00
3000102,INGRESOS POR COMISIONES,13873920.00
3000201,EGRESOS POR COMISIONES,-54832.00
3000101,CARGO POR INCOBRABILIDAD,-1673555.00
3009999,INGRESO OPERATIVO NETO,13855576.00
3011301,HONORARIOS A DIRECTORES Y SINDICOS,-17538.00
3011300,OTROS GASTOS DE ADMINISTRACION,-10098634.00
3011600,DEPRECIACIONES Y AMORTIZACIONES,-164745.00
3021800,RECPAM,0
3029999,GANANCIA (PERDIDA) ANTES DE IMPUESTOS,3574659.00
3031100,INGRESO (GASTO) POR IMPUESTOS A LAS GANANCIAS,-1197964.00
3049999,GANANCIA (PERDIDA) DEL PERIODO / EJERCICIO,2376695.00
3061999,OTRO RESULTADO INTEGRAL DEL EJERCICIO / PERIODO,0
3099999,RESULTADO INTEGRAL TOTAL DEL EJERCICIO / PERIODO,2376695.00
3241100,FLUJOS DE EFECTIVO PROCEDENTES DE (UTILIZADOS EN) ACTIVIDADES DE OPERACION,16240712.00
3241200,FLUJOS DE EFECTIVO PROCEDENTES DE (UTILIZADOS EN) ACTIVIDADES DE INVERSION,-343936.00
3241300,FLUJOS DE EFECTIVO PROCEDENTES DE (UTILIZADOS EN) ACTIVIDADES DE FINANCIACION,-260835.00
3240000,INCREMENTO (DISMINUCION) NETA DE EFECTIVO Y EQUIVALENTES,15635941.00
8000000,GANANCIA (PERDIDA) BASICA POR ACCION,0
8000001,GANANCIAS (PERDIDA) DILUIDA POR ACCION,0
8000002,TOTAL PATRIMONIO NETO DEL EJERCICIO ANTERIOR (MISMO PERIODO),4854083.00
8000003,EBIT,3574659.00
8000004,EBITDA,3739404.00
8000005,CAPITAL DE TRABAJO,0
8000006,LIQUIDEZ,0.59
8000007,SOLVENCIA,0.07
8000008,INMOVILIZACION DEL CAPITAL,0.02
8000009,RENTABILIDAD PATRIMONIO NETO,3.01
8000010,RENTABILIDAD DEL ACTIVO,0.03
8000011,ENDEUDAMIENTO,14.84
8000013,APALANCAMIENTO,15.84
8000014,MARGEN NETO / INGRESOS,4.57
8000015,DEUDA FINANCIERA / EBITDA,1.28
8000017,ANALISIS DUPONT,0.49
