Nro,Rubro,Monto
1122500,EFECTIVO Y EQUIVALENTES A EFECTIVO,229325126.00
1122300,ACTIVOS FINANCIEROS CORRIENTES,1003368955.00
1121999,CUENTAS POR COBRAR CORRIENTES,354428982.00
1122400,OTROS ACTIVOS NO FINANCIEROS CORRIENTES,203948335.00
1120100,INVENTARIOS CORRIENTES,43848317.00
1139999,ACTIVO CORRIENTE,1834919715.00
1112400,ACTIVOS FINANCIEROS NO CORRIENTES,0
1111999,CUENTAS POR COBRAR NO CORRIENTES,222622087.00
1110100,PROPIEDADES PLANTAS Y EQUIPOS,54658848.00
1112500,OTROS ACTIVOS NO FINANCIEROS NO CORRIENTES,2229495912.00
1110200,ACTIVOS INTANGIBLES,2024681.00
1119999,ACTIVO NO CORRIENTE,2508801528.00
1999999,TOTAL DEL ACTIVO,4343721243.00
2210999,CAPITAL,1700000000.00
2210300,AJUSTE DE CAPITAL,3994077372.00
2210500,APORTES NO CAPITALIZADOS O CONTRIBUCIONES DE CAPITAL,0
2210900,OTROS CONCEPTOS DEL CAPITAL,0
2211100,RESERVA LEGAL,173851923.00
2211200,OTRAS RESERVAS,60260186.00
2211999,GANANCIAS RESERVADAS,234112109.00
2211300,INTERESES NO CONTROLANTES,0
2212999,RESULTADOS NO ASIGNADOS,-2587079767.00
2213999,RESULTADOS INTEGRALES,712091944.00
2299999,TOTAL PATRIMONIO NETO,4053201658.00
2322200,PASIVOS FINANCIEROS CORRIENTES,4115983.00
2321999,CUENTAS POR PAGAR CORRIENTES,30981419.00
2322100,PASIVOS POR IMPUESTOS CORRIENTES,61672478.00
2322300,OTROS PASIVOS NO FINANCIEROS CORRIENTES,71347300.00
2339999,PASIVO CORRIENTE,168117180.00
2312300,PASIVOS FINANCIEROS NO CORRIENTES,0
2311999,CUENTAS POR PAGAR NO CORRIENTES,0
2312200,PASIVOS POR IMPUESTOS NO CORRIENTES,117659344.00
2312400,OTROS PASIVOS NO FINANCIEROS NO CORRIENTES,4743061.00
2319999,PASIVO NO CORRIENTE,122402405.00
2399999,TOTAL DEL PASIVO,290519585.00
2999999,TOTAL DEL PASIVO Y PATRIMONIO NETO,4343721243.00
3000100,INGRESOS DE ACTIVIDADES ORDINARIAS,594365549.00
3000200,COSTO DE VENTAS Y/O SERVICIOS,-215454657.00
3009999,GANANCIA (PERDIDA) BRUTA,378910892.00
3011301,HONORARIOS A DIRECTORES Y SINDICOS,0
3011300,OTROS GASTOS DE ADMINISTRACION,-63891877.00
3011200,GASTOS DE COMERCIALIZACION Y/O DISTRIBUCION,-42384544.00
3011400,OTROS GASTOS OPERATIVOS,-340342.00
3011100,OTROS INGRESOS,2429113.00
3011600,DEPRECIACIONES Y AMORTIZACIONES,0
3019999,GANANCIA (PERDIDA) DE ACTIVIDADES OPERATIVAS,274723242.00
3021400,INGRESOS FINANCIEROS,425500522.00
3021500,COSTOS FINANCIEROS,-135784929.00
3021800,RECPAM,-312375279.00
3021900,OTROS RESULTADOS,12349844.00
3029999,GANANCIA (PERDIDA) ANTES DE IMPUESTOS,264413400.00
3031100,INGRESO (GASTO) POR IMPUESTOS A LAS GANANCIAS,-128040272.00
3049999,GANANCIA (PERDIDA)  DEL PERIODO / EJERCICIO,136373128.00
3061999,OTRO RESULTADO INTEGRAL DEL EJERCICIO / PERIODO,1490975.00
3099999,RESULTADO INTEGRAL TOTAL  DEL EJERCICIO / PERIODO,137864103.00
3241100,TOTAL CAMBIOS EN ACTIVOS Y PASIVOS OPERATIVOS,-95235328.00
3241200,TOTAL DE ACTIVIDADES DE INVERSION,-8283191.00
3241300,TOTAL DE ACTIVIDADES DE FINANCIACION,-83708500.00
3240000,INCREMENTO (DISMINUCION) NETA DE EFECTIVO Y EQUIVALENTES,-187227019.00
8000000,GANANCIA (PERDIDA) BASICA POR ACCION,0.08
8000001,GANANCIAS (PERDIDA) DILUIDA POR ACCION,0.08
8000002,TOTAL PATRIMONIO NETO DEL EJERCICIO ANTERIOR,3996551631.00
8000003,EBIT,1148292344.00
8000004,EBITDA,1192794832.00
8000005,CAPITAL DE TRABAJO,1666802535.00
8000006,LIQUIDEZ,10.91
8000007,SOLVENCIA,13.95
8000008,INMOVILIZACION DEL CAPITAL,0.58
8000009,RENTABILIDAD PATRIMONIO NETO,0.07
8000010,RENTABILIDAD DEL ACTIVO,0.06
8000011,ENDEUDAMIENTO,0.07
8000012,ENDEUDAMIENTO A CORTO PLAZO,0.04
8000013,APALANCAMIENTO,1.07
8000014,MARGEN NETO / VENTAS,0.23
8000015,DEUDA FINANCIERA / EBITDA,0.00
8000016,EBITDA / COSTOS FINANCIEROS,-8.78
8000017,ANALISIS DU-PONT,0.07
1122500,EFECTIVO Y EQUIVALENTES A EFECTIVO,229325126.00
1122300,ACTIVOS FINANCIEROS CORRIENTES,1003368955.00
1121999,CUENTAS POR COBRAR CORRIENTES,354428982.00
1122400,OTROS ACTIVOS NO FINANCIEROS CORRIENTES,203948335.00
1120100,INVENTARIOS CORRIENTES,43848317.00
1139999,ACTIVO CORRIENTE,1834919715.00
1112400,ACTIVOS FINANCIEROS NO CORRIENTES,0
1111999,CUENTAS POR COBRAR NO CORRIENTES,222622087.00
1110100,PROPIEDADES PLANTAS Y EQUIPOS,54658848.00
1112500,OTROS ACTIVOS NO FINANCIEROS NO CORRIENTES,2229495912.00
1110200,ACTIVOS INTANGIBLES,2024681.00
1119999,ACTIVO NO CORRIENTE,2508801528.00
1999999,TOTAL DEL ACTIVO,4343721243.00
2210999,CAPITAL,1700000000.00
2210300,AJUSTE DE CAPITAL,3994077372.00
2210500,APORTES NO CAPITALIZADOS O CONTRIBUCIONES DE CAPITAL,0
2210900,OTROS CONCEPTOS DEL CAPITAL,0
2211100,RESERVA LEGAL,173851923.00
2211200,OTRAS RESERVAS,60260186.00
2211999,GANANCIAS RESERVADAS,234112109.00
2211300,INTERESES NO CONTROLANTES,0
2212999,RESULTADOS NO ASIGNADOS,-2587079767.00
2213999,RESULTADOS INTEGRALES,712091944.00
2299999,TOTAL PATRIMONIO NETO,4053201658.00
2322200,PASIVOS FINANCIEROS CORRIENTES,4115983.00
2321999,CUENTAS POR PAGAR CORRIENTES,30981419.00
2322100,PASIVOS POR IMPUESTOS CORRIENTES,61672478.00
2322300,OTROS PASIVOS NO FINANCIEROS CORRIENTES,71347300.00
2339999,PASIVO CORRIENTE,168117180.00
2312300,PASIVOS FINANCIEROS NO CORRIENTES,0
2311999,CUENTAS POR PAGAR NO CORRIENTES,0
2312200,PASIVOS POR IMPUESTOS NO CORRIENTES,117659344.00
2312400,OTROS PASIVOS NO FINANCIEROS NO CORRIENTES,4743061.00
2319999,PASIVO NO CORRIENTE,122402405.00
2399999,TOTAL DEL PASIVO,290519585.00
2999999,TOTAL DEL PASIVO Y PATRIMONIO NETO,4343721243.00
3000100,INGRESOS DE ACTIVIDADES ORDINARIAS,594365549.00
3000200,COSTO DE VENTAS Y/O SERVICIOS,-215454657.00
3009999,GANANCIA (PERDIDA) BRUTA,378910892.00
3011301,HONORARIOS A DIRECTORES Y SINDICOS,0
3011300,OTROS GASTOS DE ADMINISTRACION,-63891877.00
3011200,GASTOS DE COMERCIALIZACION Y/O DISTRIBUCION,-42384544.00
3011400,OTROS GASTOS OPERATIVOS,-340342.00
3011100,OTROS INGRESOS,2429113.00
3011600,DEPRECIACIONES Y AMORTIZACIONES,0
3019999,GANANCIA (PERDIDA) DE ACTIVIDADES OPERATIVAS,274723242.00
3021400,INGRESOS FINANCIEROS,425500522.00
3021500,COSTOS FINANCIEROS,-135784929.00
3021800,RECPAM,-312375279.00
3021900,OTROS RESULTADOS,12349844.00
3029999,GANANCIA (PERDIDA) ANTES DE IMPUESTOS,264413400.00
3031100,INGRESO (GASTO) POR IMPUESTOS A LAS GANANCIAS,-128040272.00
3049999,GANANCIA (PERDIDA)  DEL PERIODO / EJERCICIO,136373128.00
3061999,OTRO RESULTADO INTEGRAL DEL EJERCICIO / PERIODO,1490975.00
3099999,RESULTADO INTEGRAL TOTAL  DEL EJERCICIO / PERIODO,137864103.00
3241100,TOTAL CAMBIOS EN ACTIVOS Y PASIVOS OPERATIVOS,-95235328.00
3241200,TOTAL DE ACTIVIDADES DE INVERSION,-8283191.00
3241300,TOTAL DE ACTIVIDADES DE FINANCIACION,-83708500.00
3240000,INCREMENTO (DISMINUCION) NETA DE EFECTIVO Y EQUIVALENTES,-187227019.00
8000000,GANANCIA (PERDIDA) BASICA POR ACCION,0.08
8000001,GANANCIAS (PERDIDA) DILUIDA POR ACCION,0.08
8000002,TOTAL PATRIMONIO NETO DEL EJERCICIO ANTERIOR,3996551631.00
8000003,EBIT,1148292344.00
8000004,EBITDA,1192794832.00
8000005,CAPITAL DE TRABAJO,1666802535.00
8000006,LIQUIDEZ,10.91
8000007,SOLVENCIA,13.95
8000008,INMOVILIZACION DEL CAPITAL,0.58
8000009,RENTABILIDAD PATRIMONIO NETO,0.07
8000010,RENTABILIDAD DEL ACTIVO,0.06
8000011,ENDEUDAMIENTO,0.07
8000012,ENDEUDAMIENTO A CORTO PLAZO,0.04
8000013,APALANCAMIENTO,1.07
8000014,MARGEN NETO / VENTAS,0.23
8000015,DEUDA FINANCIERA / EBITDA,0.00
8000016,EBITDA / COSTOS FINANCIEROS,-8.78
8000017,ANALISIS DU-PONT,0.07
