Nro,Rubro,Monto
1122500,EFECTIVO Y EQUIVALENTES A EFECTIVO,1984440332.00
1122300,ACTIVOS FINANCIEROS CORRIENTES,154802912.00
1121999,CUENTAS POR COBRAR CORRIENTES,54887518.00
1122400,OTROS ACTIVOS NO FINANCIEROS CORRIENTES,4971660049.00
1120100,INVENTARIOS CORRIENTES,0
1139999,ACTIVO CORRIENTE,7165790811.00
1112400,ACTIVOS FINANCIEROS NO CORRIENTES,0
1111999,CUENTAS POR COBRAR NO CORRIENTES,1221960.00
1110100,PROPIEDADES PLANTAS Y EQUIPOS,11379855.00
1112500,OTROS ACTIVOS NO FINANCIEROS NO CORRIENTES,7390582453.00
1110200,ACTIVOS INTANGIBLES,2100437532.00
1119999,ACTIVO NO CORRIENTE,9503621800.00
1999999,TOTAL DEL ACTIVO,16669412611.00
2210999,CAPITAL,76110526.00
2210300,AJUSTE DE CAPITAL,71565946.00
2210500,APORTES NO CAPITALIZADOS O CONTRIBUCIONES DE CAPITAL,0
2210900,OTROS CONCEPTOS DEL CAPITAL,-45161995.00
2211100,RESERVA LEGAL,25167920.00
2211200,OTRAS RESERVAS,9049286823.00
2211999,GANANCIAS RESERVADAS,9074454743.00
2211300,INTERESES NO CONTROLANTES,0
2212999,RESULTADOS NO ASIGNADOS,1329604722.00
2213999,RESULTADOS INTEGRALES,0
2299999,TOTAL PATRIMONIO NETO,10506573942.00
2322200,PASIVOS FINANCIEROS CORRIENTES,5932124285.00
2321999,CUENTAS POR PAGAR CORRIENTES,71302051.00
2322100,PASIVOS POR IMPUESTOS CORRIENTES,121894799.00
2322300,OTROS PASIVOS NO FINANCIEROS CORRIENTES,0
2339999,PASIVO CORRIENTE,6125321135.00
2312300,PASIVOS FINANCIEROS NO CORRIENTES,0
2311999,CUENTAS POR PAGAR NO CORRIENTES,0
2312200,PASIVOS POR IMPUESTOS NO CORRIENTES,0
2312400,OTROS PASIVOS NO FINANCIEROS NO CORRIENTES,37517534.00
2319999,PASIVO NO CORRIENTE,37517534.00
2399999,TOTAL DEL PASIVO,6162838669.00
2999999,TOTAL DEL PASIVO Y PATRIMONIO NETO,16669412611.00
3000100,INGRESOS DE ACTIVIDADES ORDINARIAS,170373034.00
3000200,COSTO DE VENTAS Y/O SERVICIOS,-72843002.98
3009999,GANANCIA (PERDIDA) BRUTA,97530031.02
3011301,HONORARIOS A DIRECTORES Y SINDICOS,-10000000.00
3011300,OTROS GASTOS DE ADMINISTRACION,0
3011200,GASTOS DE COMERCIALIZACION Y/O DISTRIBUCION,0
3011400,OTROS GASTOS OPERATIVOS,0
3011100,OTROS INGRESOS,34962.00
3011600,DEPRECIACIONES Y AMORTIZACIONES,-24866734.02
3019999,GANANCIA (PERDIDA) DE ACTIVIDADES OPERATIVAS,62698259.00
3021400,INGRESOS FINANCIEROS,151380571.00
3021500,COSTOS FINANCIEROS,0
3021800,RECPAM,-118942794.00
3021900,OTROS RESULTADOS,89648592.00
3029999,GANANCIA (PERDIDA) ANTES DE IMPUESTOS,184784628.00
3031100,INGRESO (GASTO) POR IMPUESTOS A LAS GANANCIAS,-36834791.00
3049999,GANANCIA (PERDIDA)  DEL PERIODO / EJERCICIO,147949837.00
3061999,OTRO RESULTADO INTEGRAL DEL EJERCICIO / PERIODO,0
3099999,RESULTADO INTEGRAL TOTAL  DEL EJERCICIO / PERIODO,147949837.00
3241100,TOTAL CAMBIOS EN ACTIVOS Y PASIVOS OPERATIVOS,-498618836.00
3241200,TOTAL DE ACTIVIDADES DE INVERSION,-2018871.00
3241300,TOTAL DE ACTIVIDADES DE FINANCIACION,-44152084.00
3240000,INCREMENTO (DISMINUCION) NETA DE EFECTIVO Y EQUIVALENTES,-544789791.00
8000000,GANANCIA (PERDIDA) BASICA POR ACCION,1.94
8000001,GANANCIAS (PERDIDA) DILUIDA POR ACCION,1.94
8000002,TOTAL PATRIMONIO NETO DEL EJERCICIO ANTERIOR,10402776189.00
8000003,EBIT,184784628.00
8000004,EBITDA,209651362.02
8000005,CAPITAL DE TRABAJO,1040469676.00
8000006,LIQUIDEZ,1.17
8000007,SOLVENCIA,1.70
8000008,INMOVILIZACION DEL CAPITAL,0.57
8000009,RENTABILIDAD PATRIMONIO NETO,0.02
8000010,RENTABILIDAD DEL ACTIVO,0.01
8000011,ENDEUDAMIENTO,0.59
8000012,ENDEUDAMIENTO A CORTO PLAZO,0.58
8000013,APALANCAMIENTO,1.59
8000014,MARGEN NETO / VENTAS,0.87
8000015,DEUDA FINANCIERA / EBITDA,28.30
8000016,EBITDA / COSTOS FINANCIEROS,0
8000017,ANALISIS DU-PONT,0.02
