Nro,Rubro,Monto
1122500,EFECTIVO Y EQUIVALENTES A EFECTIVO,166495.00
1122300,ACTIVOS FINANCIEROS CORRIENTES,123969.00
1121999,CUENTAS POR COBRAR CORRIENTES,177385.00
1122400,OTROS ACTIVOS NO FINANCIEROS CORRIENTES,0
1120100,INVENTARIOS CORRIENTES,31529.00
1139999,ACTIVO CORRIENTE,499378.00
1112400,ACTIVOS FINANCIEROS NO CORRIENTES,0
1111999,CUENTAS POR COBRAR NO CORRIENTES,11232.00
1110100,PROPIEDADES PLANTAS Y EQUIPOS,2270052.00
1112500,OTROS ACTIVOS NO FINANCIEROS NO CORRIENTES,1797725.00
1110200,ACTIVOS INTANGIBLES,906426.00
1119999,ACTIVO NO CORRIENTE,4985435.00
1999999,TOTAL DEL ACTIVO,5484813.00
2210999,CAPITAL,181.00
2210300,AJUSTE DE CAPITAL,79053.00
2210500,APORTES NO CAPITALIZADOS O CONTRIBUCIONES DE CAPITAL,0
2210900,OTROS CONCEPTOS DEL CAPITAL,186321.00
2211100,RESERVA LEGAL,15844.00
2211200,OTRAS RESERVAS,1688266.00
2211999,GANANCIAS RESERVADAS,1704110.00
2211300,INTERESES NO CONTROLANTES,1398215.00
2212999,RESULTADOS NO ASIGNADOS,-1090814.00
2213999,RESULTADOS INTEGRALES,-24603.00
2299999,TOTAL PATRIMONIO NETO,2252463.00
2322200,PASIVOS FINANCIEROS CORRIENTES,563478.00
2321999,CUENTAS POR PAGAR CORRIENTES,448161.00
2322100,PASIVOS POR IMPUESTOS CORRIENTES,40720.00
2322300,OTROS PASIVOS NO FINANCIEROS CORRIENTES,54536.00
2339999,PASIVO CORRIENTE,1106895.00
2312300,PASIVOS FINANCIEROS NO CORRIENTES,1564591.00
2311999,CUENTAS POR PAGAR NO CORRIENTES,4643.00
2312200,PASIVOS POR IMPUESTOS NO CORRIENTES,461153.00
2312400,OTROS PASIVOS NO FINANCIEROS NO CORRIENTES,95068.00
2319999,PASIVO NO CORRIENTE,2125455.00
2399999,TOTAL DEL PASIVO,3232350.00
2999999,TOTAL DEL PASIVO Y PATRIMONIO NETO,5484813.00
3000100,INGRESOS DE ACTIVIDADES ORDINARIAS,2059101.00
3000200,COSTO DE VENTAS Y/O SERVICIOS,-891268.00
3009999,GANANCIA (PERDIDA) BRUTA,1167833.00
3011301,HONORARIOS A DIRECTORES Y SINDICOS,0
3011300,OTROS GASTOS DE ADMINISTRACION,-167348.00
3011200,GASTOS DE COMERCIALIZACION Y/O DISTRIBUCION,-422787.00
3011400,OTROS GASTOS OPERATIVOS,0
3011100,OTROS INGRESOS,0
3011600,DEPRECIACIONES Y AMORTIZACIONES,-701679.00
3019999,GANANCIA (PERDIDA) DE ACTIVIDADES OPERATIVAS,-123981.00
3021400,INGRESOS FINANCIEROS,-12754.00
3021500,COSTOS FINANCIEROS,-634306.00
3021800,RECPAM,187856.00
3021900,OTROS RESULTADOS,-1888.00
3029999,GANANCIA (PERDIDA) ANTES DE IMPUESTOS,-585073.00
3031100,INGRESO (GASTO) POR IMPUESTOS A LAS GANANCIAS,338244.00
3032000,GANANCIA (PERDIDA)  DEL PERIODO / EJERCICIO OPERACIONES CONTINUADAS,-246829.00
3041000,GANANCIA (PERDIDA)  DEL PERIODO / EJERCICIO OPERACIONES DISCONTINUADAS,0
3049999,GANANCIA (PERDIDA)  DEL PERIODO / EJERCICIO,-246829.00
3061999,OTRO RESULTADO INTEGRAL DEL EJERCICIO / PERIODO,73823.00
3099999,RESULTADO INTEGRAL TOTAL  DEL EJERCICIO / PERIODO,-173006.00
3241100,TOTAL CAMBIOS EN ACTIVOS Y PASIVOS OPERATIVOS,616399.00
3241200,TOTAL DE ACTIVIDADES DE INVERSION,-593068.00
3241300,TOTAL DE ACTIVIDADES DE FINANCIACION,-72040.00
3240000,INCREMENTO (DISMINUCION) NETA DE EFECTIVO Y EQUIVALENTES,-48709.00
8000000,GANANCIA (PERDIDA) BASICA POR ACCION,-551.00
8000001,GANANCIAS (PERDIDA) DILUIDA POR ACCION,-551.00
8000002,TOTAL PATRIMONIO NETO DEL EJERCICIO ANTERIOR,2534528.00
8000003,EBIT,577698.00
8000004,EBITDA,-123981.00
8000005,CAPITAL DE TRABAJO,-607517.00
8000006,LIQUIDEZ,0.45
8000007,SOLVENCIA,0.70
8000008,INMOVILIZACION DEL CAPITAL,0.91
8000009,RENTABILIDAD PATRIMONIO NETO,-0.10
8000010,RENTABILIDAD DEL ACTIVO,-0.05
8000011,ENDEUDAMIENTO,1.44
8000012,ENDEUDAMIENTO A CORTO PLAZO,0.49
8000013,APALANCAMIENTO,2.44
8000014,MARGEN NETO / VENTAS,-0.08
8000015,DEUDA FINANCIERA / EBITDA,-17.16
8000016,EBITDA / COSTOS FINANCIEROS,0.20
8000017,ANALISIS DU-PONT,-0.11
8000027,PRUEBA ACIDA,0.42
8000028,COBERTURA DE GASTOS FINANCIEROS,0.20
8000029,ROTACION DE ACTIVOS,0.38
