Nro,Rubro,Monto
1122500,EFECTIVO Y EQUIVALENTES A EFECTIVO,2761339695.00
1122300,ACTIVOS FINANCIEROS CORRIENTES,941453728.00
1121999,CUENTAS POR COBRAR CORRIENTES,3314241270.00
1122400,OTROS ACTIVOS NO FINANCIEROS CORRIENTES,896339108.00
1120100,INVENTARIOS CORRIENTES,2846935319.00
1139999,ACTIVO CORRIENTE,10760309120.00
1112400,ACTIVOS FINANCIEROS NO CORRIENTES,1895137805.00
1111999,CUENTAS POR COBRAR NO CORRIENTES,0
1110100,PROPIEDADES PLANTAS Y EQUIPOS,28145168622.00
1112500,OTROS ACTIVOS NO FINANCIEROS NO CORRIENTES,1898966514.00
1110200,ACTIVOS INTANGIBLES,2212431181.00
1119999,ACTIVO NO CORRIENTE,34151704122.00
1999999,TOTAL DEL ACTIVO,44912013242.00
2210999,CAPITAL,701988378.00
2210300,AJUSTE DE CAPITAL,10404451213.00
2210500,APORTES NO CAPITALIZADOS O CONTRIBUCIONES DE CAPITAL,0
2210900,OTROS CONCEPTOS DEL CAPITAL,0
2211100,RESERVA LEGAL,2162484148.00
2211200,OTRAS RESERVAS,14384322181.00
2211999,GANANCIAS RESERVADAS,16546806329.00
2211300,INTERESES NO CONTROLANTES,0
2212999,RESULTADOS NO ASIGNADOS,3230840641.00
2213999,RESULTADOS INTEGRALES,0
2299999,TOTAL PATRIMONIO NETO,30884086561.00
2322200,PASIVOS FINANCIEROS CORRIENTES,880813346.00
2321999,CUENTAS POR PAGAR CORRIENTES,6184581332.00
2322100,PASIVOS POR IMPUESTOS CORRIENTES,534434230.00
2322300,OTROS PASIVOS NO FINANCIEROS CORRIENTES,893026589.00
2339999,PASIVO CORRIENTE,8492855497.00
2312300,PASIVOS FINANCIEROS NO CORRIENTES,0
2311999,CUENTAS POR PAGAR NO CORRIENTES,4812951686.00
2312200,PASIVOS POR IMPUESTOS NO CORRIENTES,329355343.00
2312400,OTROS PASIVOS NO FINANCIEROS NO CORRIENTES,392764155.00
2319999,PASIVO NO CORRIENTE,5535071184.00
2399999,TOTAL DEL PASIVO,14027926681.00
2999999,TOTAL DEL PASIVO Y PATRIMONIO NETO,44912013242.00
3000100,INGRESOS DE ACTIVIDADES ORDINARIAS,10319402157.00
3000200,COSTO DE VENTAS Y/O SERVICIOS,-5143101922.00
3009999,GANANCIA (PERDIDA) BRUTA,5176300235.00
3011301,HONORARIOS A DIRECTORES Y SINDICOS,0
3011300,OTROS GASTOS DE ADMINISTRACION,0
3011200,GASTOS DE COMERCIALIZACION Y/O DISTRIBUCION,-653636401.00
3011400,OTROS GASTOS OPERATIVOS,-100247669.00
3011100,OTROS INGRESOS,572256843.00
3011600,DEPRECIACIONES Y AMORTIZACIONES,-4726247203.00
3019999,GANANCIA (PERDIDA) DE ACTIVIDADES OPERATIVAS,268425805.00
3021400,INGRESOS FINANCIEROS,4251822899.00
3021500,COSTOS FINANCIEROS,-5851429758.00
3021800,RECPAM,2557380486.00
3021900,OTROS RESULTADOS,0
3029999,GANANCIA (PERDIDA) ANTES DE IMPUESTOS,1226199432.00
3031100,INGRESO (GASTO) POR IMPUESTOS A LAS GANANCIAS,2004641209.00
3049999,GANANCIA (PERDIDA)  DEL PERIODO / EJERCICIO,3230840641.00
3061999,OTRO RESULTADO INTEGRAL DEL EJERCICIO / PERIODO,30455747.00
3099999,RESULTADO INTEGRAL TOTAL  DEL EJERCICIO / PERIODO,3261296388.00
3241100,TOTAL CAMBIOS EN ACTIVOS Y PASIVOS OPERATIVOS,10972669084.00
3241200,TOTAL DE ACTIVIDADES DE INVERSION,-8716005338.00
3241300,TOTAL DE ACTIVIDADES DE FINANCIACION,-1238641437.00
3240000,INCREMENTO (DISMINUCION) NETA DE EFECTIVO Y EQUIVALENTES,1018022309.00
8000000,GANANCIA (PERDIDA) BASICA POR ACCION,4.60
8000001,GANANCIAS (PERDIDA) DILUIDA POR ACCION,4.60
8000002,TOTAL PATRIMONIO NETO DEL EJERCICIO ANTERIOR,22645992360.00
8000003,EBIT,1226199432.00
8000004,EBITDA,5952446635.00
8000005,CAPITAL DE TRABAJO,2267453623.00
8000006,LIQUIDEZ,1.27
8000007,SOLVENCIA,2.20
8000008,INMOVILIZACION DEL CAPITAL,0.76
8000009,RENTABILIDAD PATRIMONIO NETO,0.05
8000010,RENTABILIDAD DEL ACTIVO,0.03
8000011,ENDEUDAMIENTO,0.45
8000012,ENDEUDAMIENTO A CORTO PLAZO,0.27
8000013,APALANCAMIENTO,1.45
8000014,MARGEN NETO / VENTAS,0.32
8000015,DEUDA FINANCIERA / EBITDA,0.15
8000016,EBITDA / COSTOS FINANCIEROS,-1.02
8000017,ANALISIS DU-PONT,0.04
