Nro,Rubro,Monto
1122500,EFECTIVO Y EQUIVALENTES A EFECTIVO,826384483.00
1122300,ACTIVOS FINANCIEROS CORRIENTES,429800045.00
1121999,CUENTAS POR COBRAR CORRIENTES,10992337043.00
1122400,OTROS ACTIVOS NO FINANCIEROS CORRIENTES,76402879.00
1120100,INVENTARIOS CORRIENTES,0
1139999,ACTIVO CORRIENTE,12324924450.00
1112400,ACTIVOS FINANCIEROS NO CORRIENTES,0
1111999,CUENTAS POR COBRAR NO CORRIENTES,3802263387.00
1110100,PROPIEDADES PLANTAS Y EQUIPOS,46888686.00
1112500,OTROS ACTIVOS NO FINANCIEROS NO CORRIENTES,545588453.00
1110200,ACTIVOS INTANGIBLES,0
1119999,ACTIVO NO CORRIENTE,4394740526.00
1999999,TOTAL DEL ACTIVO,16719664976.00
2210999,CAPITAL,100000.00
2210300,AJUSTE DE CAPITAL,1646948.00
2210500,APORTES NO CAPITALIZADOS O CONTRIBUCIONES DE CAPITAL,1004760058.00
2210900,OTROS CONCEPTOS DEL CAPITAL,0
2211100,RESERVA LEGAL,91675.00
2211200,OTRAS RESERVAS,2718355053.00
2211999,GANANCIAS RESERVADAS,2718446728.00
2211300,INTERESES NO CONTROLANTES,0
2212999,RESULTADOS NO ASIGNADOS,2006625043.00
2213999,RESULTADOS INTEGRALES,0
2299999,TOTAL PATRIMONIO NETO,5731578777.00
2322200,PASIVOS FINANCIEROS CORRIENTES,6598993896.00
2321999,CUENTAS POR PAGAR CORRIENTES,1594154699.00
2322100,PASIVOS POR IMPUESTOS CORRIENTES,2153691229.00
2322300,OTROS PASIVOS NO FINANCIEROS CORRIENTES,465270883.00
2339999,PASIVO CORRIENTE,10812110707.00
2312300,PASIVOS FINANCIEROS NO CORRIENTES,0
2311999,CUENTAS POR PAGAR NO CORRIENTES,0
2312200,PASIVOS POR IMPUESTOS NO CORRIENTES,22750903.00
2312400,OTROS PASIVOS NO FINANCIEROS NO CORRIENTES,153224589.00
2319999,PASIVO NO CORRIENTE,175975492.00
2399999,TOTAL DEL PASIVO,10988086199.00
2999999,TOTAL DEL PASIVO Y PATRIMONIO NETO,16719664976.00
3000100,INGRESOS DE ACTIVIDADES ORDINARIAS,12963542896.00
3000200,COSTO DE VENTAS Y/O SERVICIOS,-4031979527.00
3009999,GANANCIA (PERDIDA) BRUTA,8931563369.00
3011301,HONORARIOS A DIRECTORES Y SINDICOS,0
3011300,OTROS GASTOS DE ADMINISTRACION,-1608110184.00
3011200,GASTOS DE COMERCIALIZACION Y/O DISTRIBUCION,-2737541101.00
3011400,OTROS GASTOS OPERATIVOS,0
3011100,OTROS INGRESOS,2156298.00
3011600,DEPRECIACIONES Y AMORTIZACIONES,0
3019999,GANANCIA (PERDIDA) DE ACTIVIDADES OPERATIVAS,4588068382.00
3021400,INGRESOS FINANCIEROS,86780814.00
3021500,COSTOS FINANCIEROS,0
3021800,RECPAM,-2105007158.00
3021900,OTROS RESULTADOS,0
3029999,GANANCIA (PERDIDA) ANTES DE IMPUESTOS,2569842038.00
3031100,INGRESO (GASTO) POR IMPUESTOS A LAS GANANCIAS,-563216996.00
3049999,GANANCIA (PERDIDA)  DEL PERIODO / EJERCICIO,2006625042.00
3061999,OTRO RESULTADO INTEGRAL DEL EJERCICIO / PERIODO,0
3099999,RESULTADO INTEGRAL TOTAL  DEL EJERCICIO / PERIODO,2006625042.00
3241100,TOTAL CAMBIOS EN ACTIVOS Y PASIVOS OPERATIVOS,-2140861663.00
3241200,TOTAL DE ACTIVIDADES DE INVERSION,8116362.00
3241300,TOTAL DE ACTIVIDADES DE FINANCIACION,721120992.00
3240000,INCREMENTO (DISMINUCION) NETA DE EFECTIVO Y EQUIVALENTES,-1411624309.00
8000000,GANANCIA (PERDIDA) BASICA POR ACCION,20066.00
8000001,GANANCIAS (PERDIDA) DILUIDA POR ACCION,0
8000002,TOTAL PATRIMONIO NETO DEL EJERCICIO ANTERIOR,4514278303.00
8000003,EBIT,0
8000004,EBITDA,0
8000005,CAPITAL DE TRABAJO,1512813743.00
8000006,LIQUIDEZ,1.14
8000007,SOLVENCIA,0.52
8000008,INMOVILIZACION DEL CAPITAL,0.26
8000009,RENTABILIDAD PATRIMONIO NETO,0.50
8000010,RENTABILIDAD DEL ACTIVO,0.15
8000011,ENDEUDAMIENTO,1.92
8000012,ENDEUDAMIENTO A CORTO PLAZO,1.89
8000013,APALANCAMIENTO,2.92
8000014,MARGEN NETO / VENTAS,0.15
8000015,DEUDA FINANCIERA / EBITDA,0
8000016,EBITDA / COSTOS FINANCIEROS,0
8000017,ANALISIS DU-PONT,0.45
