Nro,Rubro,Monto
1122500,EFECTIVO Y EQUIVALENTES A EFECTIVO,272661283.00
1122300,ACTIVOS FINANCIEROS CORRIENTES,33149276251.00
1121999,CUENTAS POR COBRAR CORRIENTES,0
1122400,OTROS ACTIVOS NO FINANCIEROS CORRIENTES,0
1120100,INVENTARIOS CORRIENTES,3255389431.00
1139999,ACTIVO CORRIENTE,36677326965.00
1112400,ACTIVOS FINANCIEROS NO CORRIENTES,12768933458.00
1111999,CUENTAS POR COBRAR NO CORRIENTES,0
1110100,PROPIEDADES PLANTAS Y EQUIPOS,20258061636.00
1112500,OTROS ACTIVOS NO FINANCIEROS NO CORRIENTES,106838745190.00
1110200,ACTIVOS INTANGIBLES,0
1119999,ACTIVO NO CORRIENTE,139865740284.00
1999999,TOTAL DEL ACTIVO,176543067249.00
2210999,CAPITAL,1139091046.00
2210300,AJUSTE DE CAPITAL,94861580782.00
2210500,APORTES NO CAPITALIZADOS O CONTRIBUCIONES DE CAPITAL,0
2210900,OTROS CONCEPTOS DEL CAPITAL,0
2211100,RESERVA LEGAL,2084688613.00
2211200,OTRAS RESERVAS,55924411051.00
2211999,GANANCIAS RESERVADAS,58009099664.00
2211300,INTERESES NO CONTROLANTES,0
2212999,RESULTADOS NO ASIGNADOS,-58197313258.00
2213999,RESULTADOS INTEGRALES,6452345625.00
2299999,TOTAL PATRIMONIO NETO,102264803859.00
2322200,PASIVOS FINANCIEROS CORRIENTES,33263871336.00
2321999,CUENTAS POR PAGAR CORRIENTES,14546156612.00
2322100,PASIVOS POR IMPUESTOS CORRIENTES,0
2322300,OTROS PASIVOS NO FINANCIEROS CORRIENTES,0
2339999,PASIVO CORRIENTE,47810027948.00
2312300,PASIVOS FINANCIEROS NO CORRIENTES,26468235442.00
2311999,CUENTAS POR PAGAR NO CORRIENTES,0
2312200,PASIVOS POR IMPUESTOS NO CORRIENTES,0
2312400,OTROS PASIVOS NO FINANCIEROS NO CORRIENTES,0
2319999,PASIVO NO CORRIENTE,26468235442.00
2399999,TOTAL DEL PASIVO,74278263390.00
2999999,TOTAL DEL PASIVO Y PATRIMONIO NETO,176543067249.00
3000100,INGRESOS DE ACTIVIDADES ORDINARIAS,29947683119.00
3000200,COSTO DE VENTAS Y/O SERVICIOS,-22131041195.00
3009999,GANANCIA (PERDIDA) BRUTA,7816641924.00
3011301,HONORARIOS A DIRECTORES Y SINDICOS,0
3011300,OTROS GASTOS DE ADMINISTRACION,-5082993258.00
3011200,GASTOS DE COMERCIALIZACION Y/O DISTRIBUCION,-251223340.00
3011400,OTROS GASTOS OPERATIVOS,0
3011100,OTROS INGRESOS,0
3011600,DEPRECIACIONES Y AMORTIZACIONES,0
3019999,GANANCIA (PERDIDA) DE ACTIVIDADES OPERATIVAS,2482425326.00
3021400,INGRESOS FINANCIEROS,256500838.00
3021500,COSTOS FINANCIEROS,-1641234367.00
3021800,RECPAM,0
3021900,OTROS RESULTADOS,-1994021741.00
3029999,GANANCIA (PERDIDA) ANTES DE IMPUESTOS,-896329944.00
3031100,INGRESO (GASTO) POR IMPUESTOS A LAS GANANCIAS,-883720704.00
3049999,GANANCIA (PERDIDA)  DEL PERIODO / EJERCICIO,-1780050648.00
3061999,OTRO RESULTADO INTEGRAL DEL EJERCICIO / PERIODO,0
3099999,RESULTADO INTEGRAL TOTAL  DEL EJERCICIO / PERIODO,-1780050648.00
3241100,TOTAL CAMBIOS EN ACTIVOS Y PASIVOS OPERATIVOS,-2110509143.00
3241200,TOTAL DE ACTIVIDADES DE INVERSION,-99181609.00
3241300,TOTAL DE ACTIVIDADES DE FINANCIACION,2412491139.00
3240000,INCREMENTO (DISMINUCION) NETA DE EFECTIVO Y EQUIVALENTES,202800387.00
8000000,GANANCIA (PERDIDA) BASICA POR ACCION,0
8000001,GANANCIAS (PERDIDA) DILUIDA POR ACCION,0
8000002,TOTAL PATRIMONIO NETO DEL EJERCICIO ANTERIOR,51232539935.00
8000003,EBIT,0
8000004,EBITDA,0
8000005,CAPITAL DE TRABAJO,-11132700983.00
8000006,LIQUIDEZ,0.77
8000007,SOLVENCIA,1.38
8000008,INMOVILIZACION DEL CAPITAL,0.79
8000009,RENTABILIDAD PATRIMONIO NETO,-0.01
8000010,RENTABILIDAD DEL ACTIVO,-0.01
8000011,ENDEUDAMIENTO,0.73
8000012,ENDEUDAMIENTO A CORTO PLAZO,0.47
8000013,APALANCAMIENTO,1.73
8000014,MARGEN NETO / VENTAS,-0.06
8000015,DEUDA FINANCIERA / EBITDA,0
8000016,EBITDA / COSTOS FINANCIEROS,0
8000017,ANALISIS DU-PONT,-0.01
