Nro,Rubro,Monto
1122500,EFECTIVO Y EQUIVALENTES A EFECTIVO,11431983.00
1122300,ACTIVOS FINANCIEROS CORRIENTES,31861944.00
1121999,CUENTAS POR COBRAR CORRIENTES,0
1122400,OTROS ACTIVOS NO FINANCIEROS CORRIENTES,0
1120100,INVENTARIOS CORRIENTES,0
1139999,ACTIVO CORRIENTE,43293927.00
1112400,ACTIVOS FINANCIEROS NO CORRIENTES,821937246.00
1111999,CUENTAS POR COBRAR NO CORRIENTES,0
1110100,PROPIEDADES PLANTAS Y EQUIPOS,699819.00
1112500,OTROS ACTIVOS NO FINANCIEROS NO CORRIENTES,59329956748.00
1110200,ACTIVOS INTANGIBLES,0
1119999,ACTIVO NO CORRIENTE,60152593813.00
1999999,TOTAL DEL ACTIVO,60195887740.00
2210999,CAPITAL,96677524.00
2210300,AJUSTE DE CAPITAL,63878231.00
2210500,APORTES NO CAPITALIZADOS O CONTRIBUCIONES DE CAPITAL,0
2210900,OTROS CONCEPTOS DEL CAPITAL,0
2211100,RESERVA LEGAL,0
2211200,OTRAS RESERVAS,0
2211999,GANANCIAS RESERVADAS,0
2211300,INTERESES NO CONTROLANTES,0
2212999,RESULTADOS NO ASIGNADOS,-14726754638.00
2213999,RESULTADOS INTEGRALES,19009920521.00
2299999,TOTAL PATRIMONIO NETO,4443721638.00
2322200,PASIVOS FINANCIEROS CORRIENTES,7595051090.00
2321999,CUENTAS POR PAGAR CORRIENTES,11163350.00
2322100,PASIVOS POR IMPUESTOS CORRIENTES,0
2322300,OTROS PASIVOS NO FINANCIEROS CORRIENTES,0
2339999,PASIVO CORRIENTE,7606214440.00
2312300,PASIVOS FINANCIEROS NO CORRIENTES,48145951662.00
2311999,CUENTAS POR PAGAR NO CORRIENTES,0
2312200,PASIVOS POR IMPUESTOS NO CORRIENTES,0
2312400,OTROS PASIVOS NO FINANCIEROS NO CORRIENTES,0
2319999,PASIVO NO CORRIENTE,48145951662.00
2399999,TOTAL DEL PASIVO,55752166102.00
2999999,TOTAL DEL PASIVO Y PATRIMONIO NETO,60195887740.00
3000100,INGRESOS DE ACTIVIDADES ORDINARIAS,1036442857.00
3000200,COSTO DE VENTAS Y/O SERVICIOS,0
3009999,GANANCIA (PERDIDA) BRUTA,1036442857.00
3011301,HONORARIOS A DIRECTORES Y SINDICOS,0
3011300,OTROS GASTOS DE ADMINISTRACION,-399113271.00
3011200,GASTOS DE COMERCIALIZACION Y/O DISTRIBUCION,0
3011400,OTROS GASTOS OPERATIVOS,-54844806.00
3011100,OTROS INGRESOS,0
3011600,DEPRECIACIONES Y AMORTIZACIONES,0
3019999,GANANCIA (PERDIDA) DE ACTIVIDADES OPERATIVAS,582484780.00
3021400,INGRESOS FINANCIEROS,9798185155.00
3021500,COSTOS FINANCIEROS,-4314273227.00
3021800,RECPAM,0
3021900,OTROS RESULTADOS,-3607226783.00
3029999,GANANCIA (PERDIDA) ANTES DE IMPUESTOS,2459169925.00
3031100,INGRESO (GASTO) POR IMPUESTOS A LAS GANANCIAS,0
3049999,GANANCIA (PERDIDA)  DEL PERIODO / EJERCICIO,2459169925.00
3061999,OTRO RESULTADO INTEGRAL DEL EJERCICIO / PERIODO,-5688175706.00
3099999,RESULTADO INTEGRAL TOTAL  DEL EJERCICIO / PERIODO,-3229005781.00
3241100,TOTAL CAMBIOS EN ACTIVOS Y PASIVOS OPERATIVOS,-2549860256.00
3241200,TOTAL DE ACTIVIDADES DE INVERSION,-432025.00
3241300,TOTAL DE ACTIVIDADES DE FINANCIACION,2549813683.00
3240000,INCREMENTO (DISMINUCION) NETA DE EFECTIVO Y EQUIVALENTES,-478598.00
8000000,GANANCIA (PERDIDA) BASICA POR ACCION,0
8000001,GANANCIAS (PERDIDA) DILUIDA POR ACCION,0
8000002,TOTAL PATRIMONIO NETO DEL EJERCICIO ANTERIOR,7672727419.00
8000003,EBIT,0
8000004,EBITDA,0
8000005,CAPITAL DE TRABAJO,-7562920513.00
8000006,LIQUIDEZ,0.01
8000007,SOLVENCIA,0.08
8000008,INMOVILIZACION DEL CAPITAL,1.00
8000009,RENTABILIDAD PATRIMONIO NETO,0.41
8000010,RENTABILIDAD DEL ACTIVO,0.04
8000011,ENDEUDAMIENTO,12.55
8000012,ENDEUDAMIENTO A CORTO PLAZO,1.71
8000013,APALANCAMIENTO,13.55
8000014,MARGEN NETO / VENTAS,-3.12
8000015,DEUDA FINANCIERA / EBITDA,0
8000016,EBITDA / COSTOS FINANCIEROS,0
8000017,ANALISIS DU-PONT,0.55
