Nro,Rubro,Monto
1122500,EFECTIVO Y EQUIVALENTES A EFECTIVO,276110146.00
1122300,ACTIVOS FINANCIEROS CORRIENTES,17222860555.00
1121999,CUENTAS POR COBRAR CORRIENTES,0
1122400,OTROS ACTIVOS NO FINANCIEROS CORRIENTES,738208613.00
1120100,INVENTARIOS CORRIENTES,0
1139999,ACTIVO CORRIENTE,18237179314.00
1112400,ACTIVOS FINANCIEROS NO CORRIENTES,10046948053.00
1111999,CUENTAS POR COBRAR NO CORRIENTES,0
1110100,PROPIEDADES PLANTAS Y EQUIPOS,39078385.99
1112500,OTROS ACTIVOS NO FINANCIEROS NO CORRIENTES,1797358433.00
1110200,ACTIVOS INTANGIBLES,46248552.00
1119999,ACTIVO NO CORRIENTE,11929633424.00
1999999,TOTAL DEL ACTIVO,30166812738.00
2210999,CAPITAL,1003782818.00
2210300,AJUSTE DE CAPITAL,4265901563.00
2210500,APORTES NO CAPITALIZADOS O CONTRIBUCIONES DE CAPITAL,0
2210900,OTROS CONCEPTOS DEL CAPITAL,0
2211100,RESERVA LEGAL,278419982.00
2211200,OTRAS RESERVAS,5086062347.00
2211999,GANANCIAS RESERVADAS,5364482329.00
2211300,INTERESES NO CONTROLANTES,0
2212999,RESULTADOS NO ASIGNADOS,-1907534036.63
2213999,RESULTADOS INTEGRALES,1170791.35
2299999,TOTAL PATRIMONIO NETO,8727803464.77
2322200,PASIVOS FINANCIEROS CORRIENTES,17769661793.00
2321999,CUENTAS POR PAGAR CORRIENTES,508949157.00
2322100,PASIVOS POR IMPUESTOS CORRIENTES,898481949.00
2322300,OTROS PASIVOS NO FINANCIEROS CORRIENTES,46886524.00
2339999,PASIVO CORRIENTE,19223979423.00
2312300,PASIVOS FINANCIEROS NO CORRIENTES,2215029850.00
2311999,CUENTAS POR PAGAR NO CORRIENTES,0
2312200,PASIVOS POR IMPUESTOS NO CORRIENTES,0
2312400,OTROS PASIVOS NO FINANCIEROS NO CORRIENTES,0
2319999,PASIVO NO CORRIENTE,2215029850.00
2399999,TOTAL DEL PASIVO,21439009273.00
2999999,TOTAL DEL PASIVO Y PATRIMONIO NETO,30166812738.00
3000100,INGRESOS DE ACTIVIDADES ORDINARIAS,5422281616.00
3000200,COSTO DE VENTAS Y/O SERVICIOS,-3906670107.00
3009999,GANANCIA (PERDIDA) BRUTA,1515611509.00
3011301,HONORARIOS A DIRECTORES Y SINDICOS,-47171236.00
3011300,OTROS GASTOS DE ADMINISTRACION,-634182720.91
3011200,GASTOS DE COMERCIALIZACION Y/O DISTRIBUCION,-152715878.09
3011400,OTROS GASTOS OPERATIVOS,-514951216.41
3011100,OTROS INGRESOS,661848469.41
3011600,DEPRECIACIONES Y AMORTIZACIONES,-7900269.00
3019999,GANANCIA (PERDIDA) DE ACTIVIDADES OPERATIVAS,820538658.00
3021400,INGRESOS FINANCIEROS,2994893696.00
3021500,COSTOS FINANCIEROS,0
3021800,RECPAM,-4449515856.00
3021900,OTROS RESULTADOS,0
3029999,GANANCIA (PERDIDA) ANTES DE IMPUESTOS,-634083502.00
3031100,INGRESO (GASTO) POR IMPUESTOS A LAS GANANCIAS,-1273450535.00
3049999,GANANCIA (PERDIDA)  DEL PERIODO / EJERCICIO,-1907534037.00
3061999,OTRO RESULTADO INTEGRAL DEL EJERCICIO / PERIODO,102065985.00
3099999,RESULTADO INTEGRAL TOTAL  DEL EJERCICIO / PERIODO,-1805468052.00
3241100,TOTAL CAMBIOS EN ACTIVOS Y PASIVOS OPERATIVOS,-1499269889.00
3241200,TOTAL DE ACTIVIDADES DE INVERSION,262423832.00
3241300,TOTAL DE ACTIVIDADES DE FINANCIACION,-356675286.00
3240000,INCREMENTO (DISMINUCION) NETA DE EFECTIVO Y EQUIVALENTES,-1593521343.00
8000000,GANANCIA (PERDIDA) BASICA POR ACCION,0
8000001,GANANCIAS (PERDIDA) DILUIDA POR ACCION,0
8000002,TOTAL PATRIMONIO NETO DEL EJERCICIO ANTERIOR,10533271517.00
8000003,EBIT,0
8000004,EBITDA,0
8000005,CAPITAL DE TRABAJO,-986800109.00
8000006,LIQUIDEZ,0.95
8000007,SOLVENCIA,0.41
8000008,INMOVILIZACION DEL CAPITAL,0.40
8000009,RENTABILIDAD PATRIMONIO NETO,-0.21
8000010,RENTABILIDAD DEL ACTIVO,0.18
8000011,ENDEUDAMIENTO,2.46
8000012,ENDEUDAMIENTO A CORTO PLAZO,2.20
8000013,APALANCAMIENTO,3.46
8000014,MARGEN NETO / VENTAS,-0.35
8000015,DEUDA FINANCIERA / EBITDA,0
8000016,EBITDA / COSTOS FINANCIEROS,0
8000017,ANALISIS DU-PONT,-0.22
