Nro,Rubro,Monto
1122500,EFECTIVO Y EQUIVALENTES A EFECTIVO,63854.00
1122300,ACTIVOS FINANCIEROS CORRIENTES,48473.00
1121999,CUENTAS POR COBRAR CORRIENTES,87348.00
1122400,OTROS ACTIVOS NO FINANCIEROS CORRIENTES,57649.00
1120100,INVENTARIOS CORRIENTES,47686.00
1139999,ACTIVO CORRIENTE,305010.00
1112400,ACTIVOS FINANCIEROS NO CORRIENTES,0
1111999,CUENTAS POR COBRAR NO CORRIENTES,0
1110100,PROPIEDADES PLANTAS Y EQUIPOS,436832.00
1112500,OTROS ACTIVOS NO FINANCIEROS NO CORRIENTES,33051.00
1110200,ACTIVOS INTANGIBLES,0
1119999,ACTIVO NO CORRIENTE,469883.00
1999999,TOTAL DEL ACTIVO,774893.00
2210999,CAPITAL,643.00
2210300,AJUSTE DE CAPITAL,0
2210500,APORTES NO CAPITALIZADOS O CONTRIBUCIONES DE CAPITAL,0
2210900,OTROS CONCEPTOS DEL CAPITAL,0
2211100,RESERVA LEGAL,46534.00
2211200,OTRAS RESERVAS,63767.00
2211999,GANANCIAS RESERVADAS,110301.00
2211300,INTERESES NO CONTROLANTES,0
2212999,RESULTADOS NO ASIGNADOS,118908.00
2213999,RESULTADOS INTEGRALES,312939.00
2299999,TOTAL PATRIMONIO NETO,542791.00
2322200,PASIVOS FINANCIEROS CORRIENTES,0
2321999,CUENTAS POR PAGAR CORRIENTES,145412.00
2322100,PASIVOS POR IMPUESTOS CORRIENTES,49235.00
2322300,OTROS PASIVOS NO FINANCIEROS CORRIENTES,3662.00
2339999,PASIVO CORRIENTE,198309.00
2312300,PASIVOS FINANCIEROS NO CORRIENTES,0
2311999,CUENTAS POR PAGAR NO CORRIENTES,0
2312200,PASIVOS POR IMPUESTOS NO CORRIENTES,10202.00
2312400,OTROS PASIVOS NO FINANCIEROS NO CORRIENTES,23591.00
2319999,PASIVO NO CORRIENTE,33793.00
2399999,TOTAL DEL PASIVO,232102.00
2999999,TOTAL DEL PASIVO Y PATRIMONIO NETO,774893.00
3000100,INGRESOS DE ACTIVIDADES ORDINARIAS,384032.00
3000200,COSTO DE VENTAS Y/O SERVICIOS,-201875.00
3009999,GANANCIA (PERDIDA) BRUTA,182157.00
3011301,HONORARIOS A DIRECTORES Y SINDICOS,-18.00
3011300,OTROS GASTOS DE ADMINISTRACION,-11227.00
3011200,GASTOS DE COMERCIALIZACION Y/O DISTRIBUCION,-7817.00
3011400,OTROS GASTOS OPERATIVOS,-4563.00
3011100,OTROS INGRESOS,0
3011600,DEPRECIACIONES Y AMORTIZACIONES,-16337.00
3019999,GANANCIA (PERDIDA) DE ACTIVIDADES OPERATIVAS,142195.00
3021400,INGRESOS FINANCIEROS,9254.00
3021500,COSTOS FINANCIEROS,-28662.00
3021800,RECPAM,0
3021900,OTROS RESULTADOS,11355.00
3029999,GANANCIA (PERDIDA) ANTES DE IMPUESTOS,134142.00
3031100,INGRESO (GASTO) POR IMPUESTOS A LAS GANANCIAS,-57766.00
3032000,GANANCIA (PERDIDA)  DEL PERIODO / EJERCICIO OPERACIONES CONTINUADAS,76376.00
3041000,GANANCIA (PERDIDA)  DEL PERIODO / EJERCICIO OPERACIONES DISCONTINUADAS,0
3049999,GANANCIA (PERDIDA)  DEL PERIODO / EJERCICIO,76376.00
3061999,OTRO RESULTADO INTEGRAL DEL EJERCICIO / PERIODO,92991.00
3099999,RESULTADO INTEGRAL TOTAL  DEL EJERCICIO / PERIODO,169367.00
3241100,TOTAL CAMBIOS EN ACTIVOS Y PASIVOS OPERATIVOS,180473.00
3241200,TOTAL DE ACTIVIDADES DE INVERSION,-57294.00
3241300,TOTAL DE ACTIVIDADES DE FINANCIACION,-83637.00
3240000,INCREMENTO (DISMINUCION) NETA DE EFECTIVO Y EQUIVALENTES,39542.00
8000000,GANANCIA (PERDIDA) BASICA POR ACCION,0
8000001,GANANCIAS (PERDIDA) DILUIDA POR ACCION,0
8000002,TOTAL PATRIMONIO NETO DEL EJERCICIO ANTERIOR,493424.00
8000003,EBIT,0
8000004,EBITDA,0
8000005,CAPITAL DE TRABAJO,106701.00
8000006,LIQUIDEZ,1.54
8000007,SOLVENCIA,2.34
8000008,INMOVILIZACION DEL CAPITAL,0.61
8000009,RENTABILIDAD PATRIMONIO NETO,0.15
8000010,RENTABILIDAD DEL ACTIVO,0.10
8000011,ENDEUDAMIENTO,0.43
8000012,ENDEUDAMIENTO A CORTO PLAZO,0.37
8000013,APALANCAMIENTO,1.43
8000014,MARGEN NETO / VENTAS,0.44
8000015,DEUDA FINANCIERA / EBITDA,0
8000016,EBITDA / COSTOS FINANCIEROS,0
8000017,ANALISIS DU-PONT,0.14
8000027,PRUEBA ACIDA,1.30
8000028,COBERTURA DE GASTOS FINANCIEROS,-4.96
8000029,ROTACION DE ACTIVOS,0.50
