Nro,Rubro,Monto
1122500,CAJA Y BANCOS,1075609673.00
1122300,INVERSIONES,30321721895.00
1121999,CREDITOS POR VENTAS,28342443846.00
1120100,BIENES DE CAMBIO,0
1122400,OTROS ACTIVOS CORRIENTES,14550274.00
1139999,ACTIVO CORRIENTE,59754325688.00
1112400,INVERSIONES DE LARGO PLAZO,0
1111999,CREDITOS DE LARGO PLAZO,0
1110100,BIENES DE USO,621935462.00
1110200,BIENES INTANGIBLES,16440928.00
1112500,OTROS ACTIVOS NO CORRIENTES,28500000.00
1119999,ACTIVO NO CORRIENTE,666876390.00
1999999,TOTAL DEL ACTIVO,60421202078.00
2322200,DEUDAS FINANCIERAS,31233786775.00
2321999,DEUDAS COMERCIALES,9866812228.00
2322100,DEUDAS IMPOSITIVAS/PREVISIONALES,473972594.00
2322300,OTRAS DEUDAS,2411906107.00
2339999,PASIVO CORRIENTE,43986477704.00
2312300,DEUDAS FINANCIERAS DE LARGO PLAZO,0
2311999,DEUDAS COMERCIALES DE LARGO PLAZO,0
2312200,DEUDAS IMPOSITIVAS/PREVISIONALES DE LARGO PLAZO,0
2312400,OTRAS DEUDAS DE LARGO PLAZO,0
2319999,PASIVO NO CORRIENTE,0
2399999,TOTAL DEL PASIVO,43986477704.00
2400000,PARTICIPACION DE TERCEROS EN SOCIEDADES CONTROLADAS,0
2210999,CAPITAL,5436176240.00
2210300,AJUSTE DE CAPITAL,1854409076.00
2210500,APORTES IRREVOCABLES,0
2210900,OTROS CONCEPTOS DEL CAPITAL,8857275430.00
2211100,RESERVA LEGAL,1730954423.00
2211200,OTRAS RESERVAS,9171845.00
2211999,GANANCIAS RESERVADAS,1740126268.00
2212999,RESULTADOS NO ASIGNADOS,-1453262640.00
2213100,REVALUACIONES TECNICAS CONTABLES,0
2299999,TOTAL PATRIMONIO NETO,16434724374.00
2999999,TOTAL DEL PASIVO Y PATRIMONIO NETO,60421202078.00
3000100,VENTAS NETAS,9594745883.00
3000200,COSTO DE VENTAS,-6236868236.00
3009999,GANANCIA (PERDIDA) BRUTA,3357877647.00
3011301,HONORARIOS A DIRECTORES Y SINDICOS,-11623253.00
3011600,DEPRECIACIONES Y AMORTIZACIONES,-5480310.00
3011300,OTROS GASTOS DE ADMINISTRACION,-724919369.00
3011200,GASTOS DE COMERCIALIZACION Y/O DISTRIBUCION,-809969937.00
3011400,OTROS GASTOS OPERATIVOS,-1352735709.00
3049999,GANANCIA (PERDIDA) ORDINARIA,453149069.00
3021501,RDOS FINANCIEROS GENERADOS POR ACTIVOS,2262787916.00
3021502,RDOS FINANCIEROS GENERADOS POR PASIVOS,-400346140.00
3021800,RECPAM,-3768853485.00
3061202,PARTICIPACION DE TERCEROS EN SOCIEDADES CONTROLADAS,0
3061900,RESULTADOS EXTRAORDINARIOS,0
3029999,GANANCIA (PERDIDA) ANTES DE IMPUESTOS,-1453262640.00
3031100,INGRESO (GASTO) POR IMPUESTOS A LAS GANANCIAS,0
3099999,GANANCIA (PERDIDA) DEL EJERCICIO,-1453262640.00
3241100,TOTAL CAMBIOS EN ACTIVOS Y PASIVOS OPERATIVOS,10855545169.00
3241200,TOTAL DE ACTIVIDADES DE INVERSION,-91071692.00
3241300,TOTAL DE ACTIVIDADES DE FINANCIACION,-9236659222.00
3240000,INCREMENTO (DISMINUCION) NETA DE EFECTIVO Y EQUIVALENTES,1527814255.00
8000000,GANANCIA (PERDIDA) BASICA POR ACCION,0
8000001,GANANCIAS (PERDIDA) DILUIDA POR ACCION,0
8000002,TOTAL PATRIMONIO NETO DEL EJERCICIO ANTERIOR (MISMO PERIODO),25657511827.00
8000003,EBIT,-384648765.00
8000004,EBITDA,-379168455.00
8000005,CAPITAL DE TRABAJO,15767847984.00
8000006,LIQUIDEZ,1.36
8000007,SOLVENCIA,0.37
8000008,INMOVILIZACION DEL CAPITAL,0.01
8000009,RENTABILIDAD PATRIMONIO NETO,-0.07
8000010,RENTABILIDAD DEL ACTIVO,-0.02
8000011,ENDEUDAMIENTO,2.68
8000012,ENDEUDAMIENTO A CORTO PLAZO,2.68
8000013,APALANCAMIENTO,3.68
8000014,MARGEN NETO / VENTAS,-0.15
8000015,DEUDA FINANCIERA / EBITDA,-82.37
8000016,EBITDA / INTERESES PAGADOS NETOS,0.95
8000017,ANALISIS DUPONT,-0.09
8000027,PRUEBA ACIDA,1.36
8000028,COBERTURA DE GASTOS FINANCIEROS,-1.13
8000029,ROTACION DE ACTIVOS,0.16
