Nro,Rubro,Monto
1122500,CAJA Y BANCOS,21757691.00
1122300,INVERSIONES,0
1121999,CREDITOS POR VENTAS,220356673.00
1120100,BIENES DE CAMBIO,0
1122400,OTROS ACTIVOS CORRIENTES,62580116.00
1139999,ACTIVO CORRIENTE,304694480.00
1112400,INVERSIONES DE LARGO PLAZO,1680793544.00
1111999,CREDITOS DE LARGO PLAZO,7701219.00
1110100,BIENES DE USO,706470624.00
1110200,BIENES INTANGIBLES,19468696.00
1112500,OTROS ACTIVOS NO CORRIENTES,72000.00
1119999,ACTIVO NO CORRIENTE,2414506083.00
1999999,TOTAL DEL ACTIVO,2719200563.00
2322200,DEUDAS FINANCIERAS,-64090000.00
2321999,DEUDAS COMERCIALES,-104271830.00
2322100,DEUDAS IMPOSITIVAS/PREVISIONALES,-54522593.00
2322300,OTRAS DEUDAS,-114806741.00
2339999,PASIVO CORRIENTE,-337691164.00
2312300,DEUDAS FINANCIERAS DE LARGO PLAZO,-750813184.00
2311999,DEUDAS COMERCIALES DE LARGO PLAZO,0
2312200,DEUDAS IMPOSITIVAS/PREVISIONALES DE LARGO PLAZO,0
2312400,OTRAS DEUDAS DE LARGO PLAZO,-394076910.00
2319999,PASIVO NO CORRIENTE,-1144890094.00
2399999,TOTAL DEL PASIVO,-1482581258.00
2400000,PARTICIPACION DE TERCEROS EN SOCIEDADES CONTROLADAS,0
2210999,CAPITAL,-353534403.00
2210300,AJUSTE DE CAPITAL,-937946211.00
2210500,APORTES IRREVOCABLES,0
2210900,OTROS CONCEPTOS DEL CAPITAL,0
2211100,RESERVA LEGAL,0
2211200,OTRAS RESERVAS,0
2211999,GANANCIAS RESERVADAS,0
2212999,RESULTADOS NO ASIGNADOS,54861309.00
2213100,REVALUACIONES TECNICAS CONTABLES,0
2299999,TOTAL PATRIMONIO NETO,-1236619305.00
2999999,TOTAL DEL PASIVO Y PATRIMONIO NETO,-2719200563.00
3000100,VENTAS NETAS,1035315234.00
3000200,COSTO DE VENTAS,-472313613.00
3009999,GANANCIA (PERDIDA) BRUTA,563001621.00
3011301,HONORARIOS A DIRECTORES Y SINDICOS,-180837.37
3011600,DEPRECIACIONES Y AMORTIZACIONES,-372314.00
3011300,OTROS GASTOS DE ADMINISTRACION,-79350397.63
3011200,GASTOS DE COMERCIALIZACION Y/O DISTRIBUCION,-64116573.00
3011400,OTROS GASTOS OPERATIVOS,-1553131.00
3049999,GANANCIA (PERDIDA) ORDINARIA,417428368.00
3021501,RDOS FINANCIEROS GENERADOS POR ACTIVOS,440210.00
3021502,RDOS FINANCIEROS GENERADOS POR PASIVOS,-383688537.00
3021800,RECPAM,190264082.00
3061202,PARTICIPACION DE TERCEROS EN SOCIEDADES CONTROLADAS,397694195.00
3061900,RESULTADOS EXTRAORDINARIOS,-44842.00
3029999,GANANCIA (PERDIDA) ANTES DE IMPUESTOS,622093476.00
3031100,INGRESO (GASTO) POR IMPUESTOS A LAS GANANCIAS,-62705431.00
3099999,GANANCIA (PERDIDA) DEL EJERCICIO,559388045.00
3241100,TOTAL CAMBIOS EN ACTIVOS Y PASIVOS OPERATIVOS,353248555.00
3241200,TOTAL DE ACTIVIDADES DE INVERSION,-780087109.00
3241300,TOTAL DE ACTIVIDADES DE FINANCIACION,430910122.00
3240000,INCREMENTO (DISMINUCION) NETA DE EFECTIVO Y EQUIVALENTES,4071568.00
8000000,GANANCIA (PERDIDA) BASICA POR ACCION,1.58
8000001,GANANCIAS (PERDIDA) DILUIDA POR ACCION,1.58
8000002,TOTAL PATRIMONIO NETO DEL EJERCICIO ANTERIOR (MISMO PERIODO),677231260.00
8000003,EBIT,687187236.00
8000004,EBITDA,779875233.00
8000005,CAPITAL DE TRABAJO,-32996684.00
8000006,LIQUIDEZ,-0.90
8000007,SOLVENCIA,0.83
8000008,INMOVILIZACION DEL CAPITAL,0.89
8000009,RENTABILIDAD PATRIMONIO NETO,-0.58
8000010,RENTABILIDAD DEL ACTIVO,0.23
8000011,ENDEUDAMIENTO,1.20
8000012,ENDEUDAMIENTO A CORTO PLAZO,0.27
8000013,APALANCAMIENTO,-2.20
8000014,MARGEN NETO / VENTAS,0.54
8000015,DEUDA FINANCIERA / EBITDA,-1.04
8000016,EBITDA / INTERESES PAGADOS NETOS,-2.03
8000017,ANALISIS DUPONT,-0.50
