Nro,Rubro,Monto
1122500,EFECTIVO Y EQUIVALENTES A EFECTIVO,2644.00
1122300,ACTIVOS FINANCIEROS CORRIENTES,1227.00
1121999,CUENTAS POR COBRAR CORRIENTES,2949.00
1122400,OTROS ACTIVOS NO FINANCIEROS CORRIENTES,224.00
1120100,INVENTARIOS CORRIENTES,1252.00
1139999,ACTIVO CORRIENTE,8296.00
1112400,ACTIVOS FINANCIEROS NO CORRIENTES,0
1111999,CUENTAS POR COBRAR NO CORRIENTES,0
1110100,PROPIEDADES PLANTAS Y EQUIPOS,93704.00
1112500,OTROS ACTIVOS NO FINANCIEROS NO CORRIENTES,0
1110200,ACTIVOS INTANGIBLES,0
1119999,ACTIVO NO CORRIENTE,93704.00
1999999,TOTAL DEL ACTIVO,102000.00
2210999,CAPITAL,8558.00
2210300,AJUSTE DE CAPITAL,0
2210500,APORTES NO CAPITALIZADOS O CONTRIBUCIONES DE CAPITAL,0
2210900,OTROS CONCEPTOS DEL CAPITAL,0
2211100,RESERVA LEGAL,1371.00
2211200,OTRAS RESERVAS,24741.00
2211999,GANANCIAS RESERVADAS,26112.00
2211300,INTERESES NO CONTROLANTES,0
2212999,RESULTADOS NO ASIGNADOS,14057.00
2213999,RESULTADOS INTEGRALES,16492.00
2299999,TOTAL PATRIMONIO NETO,65219.00
2322200,PASIVOS FINANCIEROS CORRIENTES,6495.00
2321999,CUENTAS POR PAGAR CORRIENTES,827.00
2322100,PASIVOS POR IMPUESTOS CORRIENTES,1609.00
2322300,OTROS PASIVOS NO FINANCIEROS CORRIENTES,274.00
2339999,PASIVO CORRIENTE,9205.00
2312300,PASIVOS FINANCIEROS NO CORRIENTES,25262.00
2311999,CUENTAS POR PAGAR NO CORRIENTES,0
2312200,PASIVOS POR IMPUESTOS NO CORRIENTES,2231.00
2312400,OTROS PASIVOS NO FINANCIEROS NO CORRIENTES,83.00
2319999,PASIVO NO CORRIENTE,27576.00
2399999,TOTAL DEL PASIVO,36781.00
2999999,TOTAL DEL PASIVO Y PATRIMONIO NETO,102000.00
3000100,INGRESOS DE ACTIVIDADES ORDINARIAS,7439.00
3000200,COSTO DE VENTAS Y/O SERVICIOS,-1023.00
3009999,GANANCIA (PERDIDA) BRUTA,6416.00
3011301,HONORARIOS A DIRECTORES Y SINDICOS,0
3011300,OTROS GASTOS DE ADMINISTRACION,-145.00
3011200,GASTOS DE COMERCIALIZACION Y/O DISTRIBUCION,0
3011400,OTROS GASTOS OPERATIVOS,-136.00
3011100,OTROS INGRESOS,316.00
3011600,DEPRECIACIONES Y AMORTIZACIONES,-1071.00
3019999,GANANCIA (PERDIDA) DE ACTIVIDADES OPERATIVAS,5380.00
3021400,INGRESOS FINANCIEROS,3.00
3021500,COSTOS FINANCIEROS,-99.00
3021800,RECPAM,0
3021900,OTROS RESULTADOS,1782.00
3029999,GANANCIA (PERDIDA) ANTES DE IMPUESTOS,7066.00
3031100,INGRESO (GASTO) POR IMPUESTOS A LAS GANANCIAS,248.00
3049999,GANANCIA (PERDIDA)  DEL PERIODO / EJERCICIO,7314.00
3061999,OTRO RESULTADO INTEGRAL DEL EJERCICIO / PERIODO,11246.00
3099999,RESULTADO INTEGRAL TOTAL  DEL EJERCICIO / PERIODO,18560.00
3241100,TOTAL CAMBIOS EN ACTIVOS Y PASIVOS OPERATIVOS,1713.00
3241200,TOTAL DE ACTIVIDADES DE INVERSION,1634.00
3241300,TOTAL DE ACTIVIDADES DE FINANCIACION,-3608.00
3240000,INCREMENTO (DISMINUCION) NETA DE EFECTIVO Y EQUIVALENTES,-261.00
8000000,GANANCIA (PERDIDA) BASICA POR ACCION,0.85
8000001,GANANCIAS (PERDIDA) DILUIDA POR ACCION,0.85
8000002,TOTAL PATRIMONIO NETO DEL EJERCICIO ANTERIOR,46659.00
8000003,EBIT,5380.00
8000004,EBITDA,6451.00
8000005,CAPITAL DE TRABAJO,-909.00
8000006,LIQUIDEZ,0.90
8000007,SOLVENCIA,1.77
8000008,INMOVILIZACION DEL CAPITAL,0.92
8000009,RENTABILIDAD PATRIMONIO NETO,0.13
8000010,RENTABILIDAD DEL ACTIVO,0.07
8000011,ENDEUDAMIENTO,0.56
8000012,ENDEUDAMIENTO A CORTO PLAZO,0.14
8000013,APALANCAMIENTO,1.56
8000014,MARGEN NETO / VENTAS,2.49
8000015,DEUDA FINANCIERA / EBITDA,4.92
8000016,EBITDA / COSTOS FINANCIEROS,-65.16
8000017,ANALISIS DU-PONT,0.11
