Nro,Rubro,Monto
1122500,EFECTIVO Y EQUIVALENTES A EFECTIVO,17789953424.00
1122300,ACTIVOS FINANCIEROS CORRIENTES,16003672419.00
1121999,CUENTAS POR COBRAR CORRIENTES,305895401.00
1122400,OTROS ACTIVOS NO FINANCIEROS CORRIENTES,134065801.00
1120100,INVENTARIOS CORRIENTES,0
1139999,ACTIVO CORRIENTE,34233587045.00
1112400,ACTIVOS FINANCIEROS NO CORRIENTES,1714838696.00
1111999,CUENTAS POR COBRAR NO CORRIENTES,0
1110100,PROPIEDADES PLANTAS Y EQUIPOS,702804677.00
1112500,OTROS ACTIVOS NO FINANCIEROS NO CORRIENTES,418473307.00
1110200,ACTIVOS INTANGIBLES,349758477.00
1119999,ACTIVO NO CORRIENTE,3185875157.00
1999999,TOTAL DEL ACTIVO,37419462202.00
2210999,CAPITAL,233000000.00
2210300,AJUSTE DE CAPITAL,3629949163.00
2210500,APORTES NO CAPITALIZADOS O CONTRIBUCIONES DE CAPITAL,0
2210900,OTROS CONCEPTOS DEL CAPITAL,0
2211100,RESERVA LEGAL,245618827.00
2211200,OTRAS RESERVAS,5241700559.00
2211999,GANANCIAS RESERVADAS,5487319386.00
2211300,INTERESES NO CONTROLANTES,4625946.00
2212999,RESULTADOS NO ASIGNADOS,1604773852.00
2213999,RESULTADOS INTEGRALES,0
2299999,TOTAL PATRIMONIO NETO,10959668347.00
2322200,PASIVOS FINANCIEROS CORRIENTES,0
2321999,CUENTAS POR PAGAR CORRIENTES,26142825377.00
2322100,PASIVOS POR IMPUESTOS CORRIENTES,214075947.00
2322300,OTROS PASIVOS NO FINANCIEROS CORRIENTES,97124714.00
2339999,PASIVO CORRIENTE,26454026038.00
2312300,PASIVOS FINANCIEROS NO CORRIENTES,0
2311999,CUENTAS POR PAGAR NO CORRIENTES,0
2312200,PASIVOS POR IMPUESTOS NO CORRIENTES,0
2312400,OTROS PASIVOS NO FINANCIEROS NO CORRIENTES,5767817.00
2319999,PASIVO NO CORRIENTE,5767817.00
2399999,TOTAL DEL PASIVO,26459793855.00
2999999,TOTAL DEL PASIVO Y PATRIMONIO NETO,37419462202.00
3000100,INGRESOS DE ACTIVIDADES ORDINARIAS,2421789408.00
3000200,COSTO DE VENTAS Y/O SERVICIOS,-1216991247.00
3009999,GANANCIA (PERDIDA) BRUTA,1204798161.00
3011301,HONORARIOS A DIRECTORES Y SINDICOS,-21373847.00
3011300,OTROS GASTOS DE ADMINISTRACION,-196813751.00
3011200,GASTOS DE COMERCIALIZACION Y/O DISTRIBUCION,-125914736.00
3011400,OTROS GASTOS OPERATIVOS,0
3011100,OTROS INGRESOS,78991809.00
3011600,DEPRECIACIONES Y AMORTIZACIONES,-78673381.00
3019999,GANANCIA (PERDIDA) DE ACTIVIDADES OPERATIVAS,861014255.00
3021400,INGRESOS FINANCIEROS,5044831601.00
3021500,COSTOS FINANCIEROS,-66767613.00
3021800,RECPAM,-4028522506.00
3021900,OTROS RESULTADOS,0
3029999,GANANCIA (PERDIDA) ANTES DE IMPUESTOS,1810555737.00
3031100,INGRESO (GASTO) POR IMPUESTOS A LAS GANANCIAS,-400240614.00
3049999,GANANCIA (PERDIDA)  DEL PERIODO / EJERCICIO,1410315123.00
3061999,OTRO RESULTADO INTEGRAL DEL EJERCICIO / PERIODO,0
3099999,RESULTADO INTEGRAL TOTAL  DEL EJERCICIO / PERIODO,1410315123.00
3241100,TOTAL CAMBIOS EN ACTIVOS Y PASIVOS OPERATIVOS,-12632666361.00
3241200,TOTAL DE ACTIVIDADES DE INVERSION,-284907321.00
3241300,TOTAL DE ACTIVIDADES DE FINANCIACION,228096559.00
3240000,INCREMENTO (DISMINUCION) NETA DE EFECTIVO Y EQUIVALENTES,-12689477123.00
8000000,GANANCIA (PERDIDA) BASICA POR ACCION,0
8000001,GANANCIAS (PERDIDA) DILUIDA POR ACCION,0
8000002,TOTAL PATRIMONIO NETO DEL EJERCICIO ANTERIOR,9747101962.00
8000003,EBIT,782022446.00
8000004,EBITDA,860695827.00
8000005,CAPITAL DE TRABAJO,7779561007.00
8000006,LIQUIDEZ,1.29
8000007,SOLVENCIA,0.41
8000008,INMOVILIZACION DEL CAPITAL,0.09
8000009,RENTABILIDAD PATRIMONIO NETO,0.17
8000010,RENTABILIDAD DEL ACTIVO,0.05
8000011,ENDEUDAMIENTO,2.41
8000012,ENDEUDAMIENTO A CORTO PLAZO,2.41
8000013,APALANCAMIENTO,3.41
8000014,MARGEN NETO / VENTAS,0.58
8000015,DEUDA FINANCIERA / EBITDA,0
8000016,EBITDA / COSTOS FINANCIEROS,-12.89
8000017,ANALISIS DU-PONT,0.17
