Nro,Rubro,Monto
1122500,EFECTIVO Y EQUIVALENTES A EFECTIVO,35206710.00
1122300,ACTIVOS FINANCIEROS CORRIENTES,30980122.00
1121999,CUENTAS POR COBRAR CORRIENTES,250524099.00
1122400,OTROS ACTIVOS NO FINANCIEROS CORRIENTES,12115949.00
1120100,INVENTARIOS CORRIENTES,0
1139999,ACTIVO CORRIENTE,328826880.00
1112400,ACTIVOS FINANCIEROS NO CORRIENTES,0
1111999,CUENTAS POR COBRAR NO CORRIENTES,0
1110100,PROPIEDADES PLANTAS Y EQUIPOS,375147062.00
1112500,OTROS ACTIVOS NO FINANCIEROS NO CORRIENTES,3790051.00
1110200,ACTIVOS INTANGIBLES,23336330.00
1119999,ACTIVO NO CORRIENTE,402273443.00
1999999,TOTAL DEL ACTIVO,731100323.00
2210999,CAPITAL,333281.00
2210300,AJUSTE DE CAPITAL,125060583.00
2210500,APORTES NO CAPITALIZADOS O CONTRIBUCIONES DE CAPITAL,0
2210900,OTROS CONCEPTOS DEL CAPITAL,0
2211100,RESERVA LEGAL,23242273.00
2211200,OTRAS RESERVAS,59156978.00
2211999,GANANCIAS RESERVADAS,82399251.00
2211300,INTERESES NO CONTROLANTES,0
2212999,RESULTADOS NO ASIGNADOS,28192726.00
2213999,RESULTADOS INTEGRALES,0
2299999,TOTAL PATRIMONIO NETO,235985841.00
2322200,PASIVOS FINANCIEROS CORRIENTES,32172042.00
2321999,CUENTAS POR PAGAR CORRIENTES,237050593.00
2322100,PASIVOS POR IMPUESTOS CORRIENTES,20263537.00
2322300,OTROS PASIVOS NO FINANCIEROS CORRIENTES,19938110.00
2339999,PASIVO CORRIENTE,309424282.00
2312300,PASIVOS FINANCIEROS NO CORRIENTES,95374467.00
2311999,CUENTAS POR PAGAR NO CORRIENTES,0
2312200,PASIVOS POR IMPUESTOS NO CORRIENTES,90025360.00
2312400,OTROS PASIVOS NO FINANCIEROS NO CORRIENTES,290373.00
2319999,PASIVO NO CORRIENTE,185690200.00
2399999,TOTAL DEL PASIVO,495114482.00
2999999,TOTAL DEL PASIVO Y PATRIMONIO NETO,731100323.00
3000100,INGRESOS DE ACTIVIDADES ORDINARIAS,576783102.00
3000200,COSTO DE VENTAS Y/O SERVICIOS,-418958992.00
3009999,GANANCIA (PERDIDA) BRUTA,157824110.00
3011301,HONORARIOS A DIRECTORES Y SINDICOS,-613890.00
3011300,OTROS GASTOS DE ADMINISTRACION,-35072097.00
3011200,GASTOS DE COMERCIALIZACION Y/O DISTRIBUCION,-37068953.00
3011400,OTROS GASTOS OPERATIVOS,-81439.00
3011100,OTROS INGRESOS,304979.00
3011600,DEPRECIACIONES Y AMORTIZACIONES,-22304373.00
3019999,GANANCIA (PERDIDA) DE ACTIVIDADES OPERATIVAS,62988337.00
3021400,INGRESOS FINANCIEROS,9543410.00
3021500,COSTOS FINANCIEROS,-41775438.00
3021800,RECPAM,10931962.00
3021900,OTROS RESULTADOS,-6593981.00
3029999,GANANCIA (PERDIDA) ANTES DE IMPUESTOS,35094290.00
3031100,INGRESO (GASTO) POR IMPUESTOS A LAS GANANCIAS,-6901564.00
3049999,GANANCIA (PERDIDA)  DEL PERIODO / EJERCICIO,28192726.00
3061999,OTRO RESULTADO INTEGRAL DEL EJERCICIO / PERIODO,0
3099999,RESULTADO INTEGRAL TOTAL  DEL EJERCICIO / PERIODO,28192726.00
3241100,TOTAL CAMBIOS EN ACTIVOS Y PASIVOS OPERATIVOS,64211368.00
3241200,TOTAL DE ACTIVIDADES DE INVERSION,-27425077.00
3241300,TOTAL DE ACTIVIDADES DE FINANCIACION,-4863587.00
3240000,INCREMENTO (DISMINUCION) NETA DE EFECTIVO Y EQUIVALENTES,31922704.00
8000000,GANANCIA (PERDIDA) BASICA POR ACCION,84.59
8000001,GANANCIAS (PERDIDA) DILUIDA POR ACCION,84.59
8000002,TOTAL PATRIMONIO NETO DEL EJERCICIO ANTERIOR,272405905.00
8000003,EBIT,63184508.00
8000004,EBITDA,85436037.00
8000005,CAPITAL DE TRABAJO,19402598.00
8000006,LIQUIDEZ,1.06
8000007,SOLVENCIA,0.48
8000008,INMOVILIZACION DEL CAPITAL,0.55
8000009,RENTABILIDAD PATRIMONIO NETO,0.14
8000010,RENTABILIDAD DEL ACTIVO,0.05
8000011,ENDEUDAMIENTO,2.10
8000012,ENDEUDAMIENTO A CORTO PLAZO,1.31
8000013,APALANCAMIENTO,3.10
8000014,MARGEN NETO / VENTAS,0.05
8000015,DEUDA FINANCIERA / EBITDA,1.49
8000016,EBITDA / COSTOS FINANCIEROS,-2.05
8000017,ANALISIS DU-PONT,0.15
