Nro,Rubro,Monto
1122500,EFECTIVO Y EQUIVALENTES A EFECTIVO,10519977.00
1122300,ACTIVOS FINANCIEROS CORRIENTES,0
1121999,CUENTAS POR COBRAR CORRIENTES,2931675.00
1122400,OTROS ACTIVOS NO FINANCIEROS CORRIENTES,195081.00
1120100,INVENTARIOS CORRIENTES,466028.00
1139999,ACTIVO CORRIENTE,14112761.00
1112400,ACTIVOS FINANCIEROS NO CORRIENTES,0
1111999,CUENTAS POR COBRAR NO CORRIENTES,437458.00
1110100,PROPIEDADES PLANTAS Y EQUIPOS,24917417.00
1112500,OTROS ACTIVOS NO FINANCIEROS NO CORRIENTES,2245929.00
1110200,ACTIVOS INTANGIBLES,0
1119999,ACTIVO NO CORRIENTE,27600804.00
1999999,TOTAL DEL ACTIVO,41713565.00
2210999,CAPITAL,179802.00
2210300,AJUSTE DE CAPITAL,4849847.00
2210500,APORTES NO CAPITALIZADOS O CONTRIBUCIONES DE CAPITAL,0
2210900,OTROS CONCEPTOS DEL CAPITAL,79686.00
2211100,RESERVA LEGAL,295541.00
2211200,OTRAS RESERVAS,9798826.00
2211999,GANANCIAS RESERVADAS,10094367.00
2211300,INTERESES NO CONTROLANTES,0
2212999,RESULTADOS NO ASIGNADOS,1118687.00
2213999,RESULTADOS INTEGRALES,0
2299999,TOTAL PATRIMONIO NETO,16322389.00
2322200,PASIVOS FINANCIEROS CORRIENTES,797199.00
2321999,CUENTAS POR PAGAR CORRIENTES,2321428.00
2322100,PASIVOS POR IMPUESTOS CORRIENTES,300789.00
2322300,OTROS PASIVOS NO FINANCIEROS CORRIENTES,350675.00
2339999,PASIVO CORRIENTE,3770091.00
2312300,PASIVOS FINANCIEROS NO CORRIENTES,17827408.00
2311999,CUENTAS POR PAGAR NO CORRIENTES,823066.00
2312200,PASIVOS POR IMPUESTOS NO CORRIENTES,2968131.00
2312400,OTROS PASIVOS NO FINANCIEROS NO CORRIENTES,2480.00
2319999,PASIVO NO CORRIENTE,21621085.00
2399999,TOTAL DEL PASIVO,25391176.00
2999999,TOTAL DEL PASIVO Y PATRIMONIO NETO,41713565.00
3000100,INGRESOS DE ACTIVIDADES ORDINARIAS,7732683.00
3000200,COSTO DE VENTAS Y/O SERVICIOS,-3923861.00
3009999,GANANCIA (PERDIDA) BRUTA,3808822.00
3011301,HONORARIOS A DIRECTORES Y SINDICOS,0
3011300,OTROS GASTOS DE ADMINISTRACION,-343860.00
3011200,GASTOS DE COMERCIALIZACION Y/O DISTRIBUCION,-1205349.00
3011400,OTROS GASTOS OPERATIVOS,0
3011100,OTROS INGRESOS,20571.00
3011600,DEPRECIACIONES Y AMORTIZACIONES,0
3019999,GANANCIA (PERDIDA) DE ACTIVIDADES OPERATIVAS,2280184.00
3021400,INGRESOS FINANCIEROS,3479472.00
3021500,COSTOS FINANCIEROS,-6162259.00
3021800,RECPAM,949055.00
3021900,OTROS RESULTADOS,-160695.00
3029999,GANANCIA (PERDIDA) ANTES DE IMPUESTOS,385757.00
3031100,INGRESO (GASTO) POR IMPUESTOS A LAS GANANCIAS,589386.00
3049999,GANANCIA (PERDIDA)  DEL PERIODO / EJERCICIO,975143.00
3061999,OTRO RESULTADO INTEGRAL DEL EJERCICIO / PERIODO,-1675618.00
3099999,RESULTADO INTEGRAL TOTAL  DEL EJERCICIO / PERIODO,-700475.00
3241100,TOTAL CAMBIOS EN ACTIVOS Y PASIVOS OPERATIVOS,1908954.00
3241200,TOTAL DE ACTIVIDADES DE INVERSION,-2659045.00
3241300,TOTAL DE ACTIVIDADES DE FINANCIACION,-599645.00
3240000,INCREMENTO (DISMINUCION) NETA DE EFECTIVO Y EQUIVALENTES,-1349736.00
8000000,GANANCIA (PERDIDA) BASICA POR ACCION,-3.90
8000001,GANANCIAS (PERDIDA) DILUIDA POR ACCION,-3.90
8000002,TOTAL PATRIMONIO NETO DEL EJERCICIO ANTERIOR,17022864.00
8000003,EBIT,2280184.00
8000004,EBITDA,3723544.00
8000005,CAPITAL DE TRABAJO,10342670.00
8000006,LIQUIDEZ,3.74
8000007,SOLVENCIA,0.64
8000008,INMOVILIZACION DEL CAPITAL,0.66
8000009,RENTABILIDAD PATRIMONIO NETO,0.02
8000010,RENTABILIDAD DEL ACTIVO,0.01
8000011,ENDEUDAMIENTO,1.56
8000012,ENDEUDAMIENTO A CORTO PLAZO,0.23
8000013,APALANCAMIENTO,2.56
8000014,MARGEN NETO / VENTAS,-0.09
8000015,DEUDA FINANCIERA / EBITDA,5.00
8000016,EBITDA / COSTOS FINANCIEROS,-0.60
8000017,ANALISIS DU-PONT,0.02
