Nro,Rubro,Monto
1122500,EFECTIVO Y EQUIVALENTES A EFECTIVO,3127425256.00
1122300,ACTIVOS FINANCIEROS CORRIENTES,0
1121999,CUENTAS POR COBRAR CORRIENTES,665001746.00
1122400,OTROS ACTIVOS NO FINANCIEROS CORRIENTES,576549504.00
1120100,INVENTARIOS CORRIENTES,2800388469.00
1139999,ACTIVO CORRIENTE,7169364975.00
1112400,ACTIVOS FINANCIEROS NO CORRIENTES,0
1111999,CUENTAS POR COBRAR NO CORRIENTES,0
1110100,PROPIEDADES PLANTAS Y EQUIPOS,23630101742.00
1112500,OTROS ACTIVOS NO FINANCIEROS NO CORRIENTES,1466452.00
1110200,ACTIVOS INTANGIBLES,259722938.00
1119999,ACTIVO NO CORRIENTE,23891291132.00
1999999,TOTAL DEL ACTIVO,31060656107.00
2210999,CAPITAL,1091624374.00
2210300,AJUSTE DE CAPITAL,21194446454.00
2210500,APORTES NO CAPITALIZADOS O CONTRIBUCIONES DE CAPITAL,0
2210900,OTROS CONCEPTOS DEL CAPITAL,0
2211100,RESERVA LEGAL,522749913.00
2211200,OTRAS RESERVAS,0
2211999,GANANCIAS RESERVADAS,522749913.00
2211300,INTERESES NO CONTROLANTES,0
2212999,RESULTADOS NO ASIGNADOS,300799934.00
2213999,RESULTADOS INTEGRALES,-248408017.00
2299999,TOTAL PATRIMONIO NETO,22861212658.00
2322200,PASIVOS FINANCIEROS CORRIENTES,0
2321999,CUENTAS POR PAGAR CORRIENTES,733777475.00
2322100,PASIVOS POR IMPUESTOS CORRIENTES,288745150.00
2322300,OTROS PASIVOS NO FINANCIEROS CORRIENTES,1323883192.00
2339999,PASIVO CORRIENTE,2346405817.00
2312300,PASIVOS FINANCIEROS NO CORRIENTES,0
2311999,CUENTAS POR PAGAR NO CORRIENTES,0
2312200,PASIVOS POR IMPUESTOS NO CORRIENTES,4254307461.00
2312400,OTROS PASIVOS NO FINANCIEROS NO CORRIENTES,1598730171.00
2319999,PASIVO NO CORRIENTE,5853037632.00
2399999,TOTAL DEL PASIVO,8199443449.00
2999999,TOTAL DEL PASIVO Y PATRIMONIO NETO,31060656107.00
3000100,INGRESOS DE ACTIVIDADES ORDINARIAS,3270273684.00
3000200,COSTO DE VENTAS Y/O SERVICIOS,-1864530247.00
3009999,GANANCIA (PERDIDA) BRUTA,1405743437.00
3011301,HONORARIOS A DIRECTORES Y SINDICOS,0
3011300,OTROS GASTOS DE ADMINISTRACION,-535390753.00
3011200,GASTOS DE COMERCIALIZACION Y/O DISTRIBUCION,-640742751.00
3011400,OTROS GASTOS OPERATIVOS,0
3011100,OTROS INGRESOS,80024696.00
3011600,DEPRECIACIONES Y AMORTIZACIONES,0
3019999,GANANCIA (PERDIDA) DE ACTIVIDADES OPERATIVAS,309634629.00
3021400,INGRESOS FINANCIEROS,85118194.00
3021500,COSTOS FINANCIEROS,0
3021800,RECPAM,0
3021900,OTROS RESULTADOS,0
3029999,GANANCIA (PERDIDA) ANTES DE IMPUESTOS,394752823.00
3031100,INGRESO (GASTO) POR IMPUESTOS A LAS GANANCIAS,-93952889.00
3032000,GANANCIA (PERDIDA)  DEL PERIODO / EJERCICIO OPERACIONES CONTINUADAS,300799934.00
3041000,GANANCIA (PERDIDA)  DEL PERIODO / EJERCICIO OPERACIONES DISCONTINUADAS,0
3049999,GANANCIA (PERDIDA)  DEL PERIODO / EJERCICIO,300799934.00
3061999,OTRO RESULTADO INTEGRAL DEL EJERCICIO / PERIODO,0
3099999,RESULTADO INTEGRAL TOTAL  DEL EJERCICIO / PERIODO,300799934.00
3241100,TOTAL CAMBIOS EN ACTIVOS Y PASIVOS OPERATIVOS,313831995.00
3241200,TOTAL DE ACTIVIDADES DE INVERSION,-150135002.00
3241300,TOTAL DE ACTIVIDADES DE FINANCIACION,0
3240000,INCREMENTO (DISMINUCION) NETA DE EFECTIVO Y EQUIVALENTES,163696993.00
8000000,GANANCIA (PERDIDA) BASICA POR ACCION,0.28
8000001,GANANCIAS (PERDIDA) DILUIDA POR ACCION,0.28
8000002,TOTAL PATRIMONIO NETO DEL EJERCICIO ANTERIOR,22560412724.00
8000003,EBIT,0
8000004,EBITDA,642763357.00
8000005,CAPITAL DE TRABAJO,4822959158.00
8000006,LIQUIDEZ,3.06
8000007,SOLVENCIA,2.79
8000008,INMOVILIZACION DEL CAPITAL,0.77
8000009,RENTABILIDAD PATRIMONIO NETO,0.01
8000010,RENTABILIDAD DEL ACTIVO,0.01
8000011,ENDEUDAMIENTO,0.36
8000012,ENDEUDAMIENTO A CORTO PLAZO,0.10
8000013,APALANCAMIENTO,1.36
8000014,MARGEN NETO / VENTAS,0.09
8000015,DEUDA FINANCIERA / EBITDA,0
8000016,EBITDA / COSTOS FINANCIEROS,0
8000017,ANALISIS DU-PONT,0.01
8000027,PRUEBA ACIDA,1.86
8000028,COBERTURA DE GASTOS FINANCIEROS,0
8000029,ROTACION DE ACTIVOS,0.11
