Nro,Rubro,Monto
1122500,EFECTIVO Y EQUIVALENTES A EFECTIVO,40392857.00
1122300,ACTIVOS FINANCIEROS CORRIENTES,0
1121999,CUENTAS POR COBRAR CORRIENTES,7415050.00
1122400,OTROS ACTIVOS NO FINANCIEROS CORRIENTES,179486808.00
1120100,INVENTARIOS CORRIENTES,117717982.00
1139999,ACTIVO CORRIENTE,345012697.00
1112400,ACTIVOS FINANCIEROS NO CORRIENTES,0
1111999,CUENTAS POR COBRAR NO CORRIENTES,0
1110100,PROPIEDADES PLANTAS Y EQUIPOS,2684929511.00
1112500,OTROS ACTIVOS NO FINANCIEROS NO CORRIENTES,513713284.00
1110200,ACTIVOS INTANGIBLES,0
1119999,ACTIVO NO CORRIENTE,3198642795.00
1999999,TOTAL DEL ACTIVO,3543655492.00
2210999,CAPITAL,123200000.00
2210300,AJUSTE DE CAPITAL,1383196428.00
2210500,APORTES NO CAPITALIZADOS O CONTRIBUCIONES DE CAPITAL,0
2210900,OTROS CONCEPTOS DEL CAPITAL,-11214024.00
2211100,RESERVA LEGAL,226474831.00
2211200,OTRAS RESERVAS,883979747.00
2211999,GANANCIAS RESERVADAS,1110454578.00
2211300,INTERESES NO CONTROLANTES,0
2212999,RESULTADOS NO ASIGNADOS,10766872.00
2213999,RESULTADOS INTEGRALES,516883045.00
2299999,TOTAL PATRIMONIO NETO,3133286899.00
2322200,PASIVOS FINANCIEROS CORRIENTES,80602180.00
2321999,CUENTAS POR PAGAR CORRIENTES,84441458.00
2322100,PASIVOS POR IMPUESTOS CORRIENTES,25932507.00
2322300,OTROS PASIVOS NO FINANCIEROS CORRIENTES,61344003.00
2339999,PASIVO CORRIENTE,252320148.00
2312300,PASIVOS FINANCIEROS NO CORRIENTES,0
2311999,CUENTAS POR PAGAR NO CORRIENTES,0
2312200,PASIVOS POR IMPUESTOS NO CORRIENTES,145821555.00
2312400,OTROS PASIVOS NO FINANCIEROS NO CORRIENTES,12226890.00
2319999,PASIVO NO CORRIENTE,158048445.00
2399999,TOTAL DEL PASIVO,410368593.00
2999999,TOTAL DEL PASIVO Y PATRIMONIO NETO,3543655492.00
3000100,INGRESOS DE ACTIVIDADES ORDINARIAS,15499009.00
3000200,COSTO DE VENTAS Y/O SERVICIOS,33040685.00
3009999,GANANCIA (PERDIDA) BRUTA,48539694.00
3011301,HONORARIOS A DIRECTORES Y SINDICOS,-4279500.00
3011300,OTROS GASTOS DE ADMINISTRACION,-22985019.00
3011200,GASTOS DE COMERCIALIZACION Y/O DISTRIBUCION,-578379.00
3011400,OTROS GASTOS OPERATIVOS,-9175896.00
3011100,OTROS INGRESOS,2720671.00
3011600,DEPRECIACIONES Y AMORTIZACIONES,-6599710.00
3019999,GANANCIA (PERDIDA) DE ACTIVIDADES OPERATIVAS,7641861.00
3021400,INGRESOS FINANCIEROS,37617892.00
3021500,COSTOS FINANCIEROS,-47025628.00
3021800,RECPAM,47282057.00
3021900,OTROS RESULTADOS,-593544.00
3029999,GANANCIA (PERDIDA) ANTES DE IMPUESTOS,44922638.00
3031100,INGRESO (GASTO) POR IMPUESTOS A LAS GANANCIAS,-8897960.00
3049999,GANANCIA (PERDIDA)  DEL PERIODO / EJERCICIO,36024678.00
3061999,OTRO RESULTADO INTEGRAL DEL EJERCICIO / PERIODO,-27584064.00
3099999,RESULTADO INTEGRAL TOTAL  DEL EJERCICIO / PERIODO,8440614.00
3241100,TOTAL CAMBIOS EN ACTIVOS Y PASIVOS OPERATIVOS,38599778.00
3241200,TOTAL DE ACTIVIDADES DE INVERSION,-42253374.00
3241300,TOTAL DE ACTIVIDADES DE FINANCIACION,-2212889.00
3240000,INCREMENTO (DISMINUCION) NETA DE EFECTIVO Y EQUIVALENTES,-5866485.00
8000000,GANANCIA (PERDIDA) BASICA POR ACCION,0.29
8000001,GANANCIAS (PERDIDA) DILUIDA POR ACCION,0.29
8000002,TOTAL PATRIMONIO NETO DEL EJERCICIO ANTERIOR,3124846285.00
8000003,EBIT,7891761.00
8000004,EBITDA,14491471.00
8000005,CAPITAL DE TRABAJO,92692549.00
8000006,LIQUIDEZ,1.37
8000007,SOLVENCIA,7.64
8000008,INMOVILIZACION DEL CAPITAL,0.90
8000009,RENTABILIDAD PATRIMONIO NETO,0.01
8000010,RENTABILIDAD DEL ACTIVO,0.01
8000011,ENDEUDAMIENTO,0.13
8000012,ENDEUDAMIENTO A CORTO PLAZO,0.08
8000013,APALANCAMIENTO,1.13
8000014,MARGEN NETO / VENTAS,0.54
8000015,DEUDA FINANCIERA / EBITDA,5.56
8000016,EBITDA / COSTOS FINANCIEROS,-0.31
8000017,ANALISIS DU-PONT,0.01
