Nro,Rubro,Monto
1122500,EFECTIVO Y EQUIVALENTES A EFECTIVO,303322964.00
1122300,ACTIVOS FINANCIEROS CORRIENTES,606337356.00
1121999,CUENTAS POR COBRAR CORRIENTES,10996529326.00
1122400,OTROS ACTIVOS NO FINANCIEROS CORRIENTES,1684936869.00
1120100,INVENTARIOS CORRIENTES,9071313502.00
1139999,ACTIVO CORRIENTE,22662440017.00
1112400,ACTIVOS FINANCIEROS NO CORRIENTES,0
1111999,CUENTAS POR COBRAR NO CORRIENTES,684725836.00
1110100,PROPIEDADES PLANTAS Y EQUIPOS,30403894247.00
1112500,OTROS ACTIVOS NO FINANCIEROS NO CORRIENTES,1171660901.00
1110200,ACTIVOS INTANGIBLES,428641571.00
1119999,ACTIVO NO CORRIENTE,32688922555.00
1999999,TOTAL DEL ACTIVO,55351362572.00
2210999,CAPITAL,500000.00
2210300,AJUSTE DE CAPITAL,9421588869.00
2210500,APORTES NO CAPITALIZADOS O CONTRIBUCIONES DE CAPITAL,31998489.00
2210900,OTROS CONCEPTOS DEL CAPITAL,0
2211100,RESERVA LEGAL,128894165.00
2211200,OTRAS RESERVAS,44730813835.00
2211999,GANANCIAS RESERVADAS,44859708000.00
2211300,INTERESES NO CONTROLANTES,0
2212999,RESULTADOS NO ASIGNADOS,-35519589572.00
2213999,RESULTADOS INTEGRALES,18327213114.00
2299999,TOTAL PATRIMONIO NETO,37121418900.00
2322200,PASIVOS FINANCIEROS CORRIENTES,3.862.306.088
2321999,CUENTAS POR PAGAR CORRIENTES,5882164749.00
2322100,PASIVOS POR IMPUESTOS CORRIENTES,2374311490.00
2322300,OTROS PASIVOS NO FINANCIEROS CORRIENTES,1979013408.00
2339999,PASIVO CORRIENTE,14097795735.00
2312300,PASIVOS FINANCIEROS NO CORRIENTES,604100585.00
2311999,CUENTAS POR PAGAR NO CORRIENTES,493947313.00
2312200,PASIVOS POR IMPUESTOS NO CORRIENTES,596593530.00
2312400,OTROS PASIVOS NO FINANCIEROS NO CORRIENTES,2437506509.00
2319999,PASIVO NO CORRIENTE,4132147937.00
2399999,TOTAL DEL PASIVO,18229943672.00
2999999,TOTAL DEL PASIVO Y PATRIMONIO NETO,55351362572.00
3000100,INGRESOS DE ACTIVIDADES ORDINARIAS,19931919179.00
3000200,COSTO DE VENTAS Y/O SERVICIOS,-12750698094.00
3009999,GANANCIA (PERDIDA) BRUTA,7181221085.00
3011301,HONORARIOS A DIRECTORES Y SINDICOS,0
3011300,OTROS GASTOS DE ADMINISTRACION,-3987113370.00
3011200,GASTOS DE COMERCIALIZACION Y/O DISTRIBUCION,-6592160088.00
3011400,OTROS GASTOS OPERATIVOS,-111507528.00
3011100,OTROS INGRESOS,397027457.00
3011600,DEPRECIACIONES Y AMORTIZACIONES,-780912545.00
3019999,GANANCIA (PERDIDA) DE ACTIVIDADES OPERATIVAS,-3893444989.00
3021400,INGRESOS FINANCIEROS,1707617589.00
3021500,COSTOS FINANCIEROS,-1025051517.00
3021800,RECPAM,693917699.00
3021900,OTROS RESULTADOS,-1546840659.00
3029999,GANANCIA (PERDIDA) ANTES DE IMPUESTOS,-4063801877.00
3031100,INGRESO (GASTO) POR IMPUESTOS A LAS GANANCIAS,1693444221.00
3032000,GANANCIA (PERDIDA)  DEL PERIODO / EJERCICIO OPERACIONES CONTINUADAS,-2370357656.00
3041000,GANANCIA (PERDIDA)  DEL PERIODO / EJERCICIO OPERACIONES DISCONTINUADAS,0
3049999,GANANCIA (PERDIDA)  DEL PERIODO / EJERCICIO,-2370357656.00
3061999,OTRO RESULTADO INTEGRAL DEL EJERCICIO / PERIODO,5062998527.00
3099999,RESULTADO INTEGRAL TOTAL  DEL EJERCICIO / PERIODO,2692640871.00
3241100,TOTAL CAMBIOS EN ACTIVOS Y PASIVOS OPERATIVOS,1443150282.00
3241200,TOTAL DE ACTIVIDADES DE INVERSION,-296576897.00
3241300,TOTAL DE ACTIVIDADES DE FINANCIACION,-1115946871.00
3240000,INCREMENTO (DISMINUCION) NETA DE EFECTIVO Y EQUIVALENTES,30626514.00
8000000,GANANCIA (PERDIDA) BASICA POR ACCION,5385.00
8000001,GANANCIAS (PERDIDA) DILUIDA POR ACCION,5385.00
8000002,TOTAL PATRIMONIO NETO DEL EJERCICIO ANTERIOR,34428778029.00
8000003,EBIT,-3941119315.00
8000004,EBITDA,-2888079872.00
8000005,CAPITAL DE TRABAJO,8564644282.00
8000006,LIQUIDEZ,1.61
8000007,SOLVENCIA,2.04
8000008,INMOVILIZACION DEL CAPITAL,0.59
8000009,RENTABILIDAD PATRIMONIO NETO,-0.07
8000010,RENTABILIDAD DEL ACTIVO,-0.04
8000011,ENDEUDAMIENTO,0.49
8000012,ENDEUDAMIENTO A CORTO PLAZO,0.38
8000013,APALANCAMIENTO,1.49
8000014,MARGEN NETO / VENTAS,0.14
8000015,DEUDA FINANCIERA / EBITDA,-1.55
8000016,EBITDA / COSTOS FINANCIEROS,2.82
8000017,ANALISIS DU-PONT,-0.06
8000027,PRUEBA ACIDA,0.96
8000028,COBERTURA DE GASTOS FINANCIEROS,3.80
8000029,ROTACION DE ACTIVOS,0.36
