Nro,Rubro,Monto
1122500,EFECTIVO Y EQUIVALENTES A EFECTIVO,9143183.00
1122300,ACTIVOS FINANCIEROS CORRIENTES,7229828.00
1121999,CUENTAS POR COBRAR CORRIENTES,39386034.00
1122400,OTROS ACTIVOS NO FINANCIEROS CORRIENTES,12194498.00
1120100,INVENTARIOS CORRIENTES,24063332.00
1139999,ACTIVO CORRIENTE,92016875.00
1112400,ACTIVOS FINANCIEROS NO CORRIENTES,448370.00
1111999,CUENTAS POR COBRAR NO CORRIENTES,4042277.00
1110100,PROPIEDADES PLANTAS Y EQUIPOS,141749527.00
1112500,OTROS ACTIVOS NO FINANCIEROS NO CORRIENTES,24485923.00
1110200,ACTIVOS INTANGIBLES,561328.00
1119999,ACTIVO NO CORRIENTE,171287425.00
1999999,TOTAL DEL ACTIVO,263304300.00
2210999,CAPITAL,100974.00
2210300,AJUSTE DE CAPITAL,55487374.00
2210500,APORTES NO CAPITALIZADOS O CONTRIBUCIONES DE CAPITAL,0
2210900,OTROS CONCEPTOS DEL CAPITAL,0
2211100,RESERVA LEGAL,0
2211200,OTRAS RESERVAS,90494573.00
2211999,GANANCIAS RESERVADAS,90494573.00
2211300,INTERESES NO CONTROLANTES,1602474.00
2212999,RESULTADOS NO ASIGNADOS,-78292608.00
2213999,RESULTADOS INTEGRALES,0
2299999,TOTAL PATRIMONIO NETO,69392787.00
2322200,PASIVOS FINANCIEROS CORRIENTES,41570006.00
2321999,CUENTAS POR PAGAR CORRIENTES,50693131.00
2322100,PASIVOS POR IMPUESTOS CORRIENTES,8277907.00
2322300,OTROS PASIVOS NO FINANCIEROS CORRIENTES,9190850.00
2339999,PASIVO CORRIENTE,109731894.00
2312300,PASIVOS FINANCIEROS NO CORRIENTES,43806171.00
2311999,CUENTAS POR PAGAR NO CORRIENTES,4217700.00
2312200,PASIVOS POR IMPUESTOS NO CORRIENTES,35690076.00
2312400,OTROS PASIVOS NO FINANCIEROS NO CORRIENTES,465672.00
2319999,PASIVO NO CORRIENTE,84179619.00
2399999,TOTAL DEL PASIVO,193911513.00
2999999,TOTAL DEL PASIVO Y PATRIMONIO NETO,263304300.00
3000100,INGRESOS DE ACTIVIDADES ORDINARIAS,209327619.00
3000200,COSTO DE VENTAS Y/O SERVICIOS,-147225578.00
3009999,GANANCIA (PERDIDA) BRUTA,62102041.00
3011301,HONORARIOS A DIRECTORES Y SINDICOS,-5460267.00
3011300,OTROS GASTOS DE ADMINISTRACION,-10050896.00
3011200,GASTOS DE COMERCIALIZACION Y/O DISTRIBUCION,-5057446.00
3011400,OTROS GASTOS OPERATIVOS,-1535807.00
3011100,OTROS INGRESOS,230197.00
3011600,DEPRECIACIONES Y AMORTIZACIONES,-102418.00
3019999,GANANCIA (PERDIDA) DE ACTIVIDADES OPERATIVAS,40125404.00
3021400,INGRESOS FINANCIEROS,9996105.00
3021500,COSTOS FINANCIEROS,-13763934.00
3021800,RECPAM,171535.00
3021900,OTROS RESULTADOS,-9537633.00
3029999,GANANCIA (PERDIDA) ANTES DE IMPUESTOS,26991477.00
3031100,INGRESO (GASTO) POR IMPUESTOS A LAS GANANCIAS,-20699737.00
3049999,GANANCIA (PERDIDA)  DEL PERIODO / EJERCICIO,6291740.00
3061999,OTRO RESULTADO INTEGRAL DEL EJERCICIO / PERIODO,269738.00
3099999,RESULTADO INTEGRAL TOTAL  DEL EJERCICIO / PERIODO,6561478.00
3241100,TOTAL CAMBIOS EN ACTIVOS Y PASIVOS OPERATIVOS,10840151.03
3241200,TOTAL DE ACTIVIDADES DE INVERSION,-1721973.73
3241300,TOTAL DE ACTIVIDADES DE FINANCIACION,-9242464.05
3240000,INCREMENTO (DISMINUCION) NETA DE EFECTIVO Y EQUIVALENTES,-124286.76
8000000,GANANCIA (PERDIDA) BASICA POR ACCION,60.26
8000001,GANANCIAS (PERDIDA) DILUIDA POR ACCION,0
8000002,TOTAL PATRIMONIO NETO DEL EJERCICIO ANTERIOR,62831309.00
8000003,EBIT,41176274.00
8000004,EBITDA,54631221.00
8000005,CAPITAL DE TRABAJO,-17715019.00
8000006,LIQUIDEZ,0.84
8000007,SOLVENCIA,0.36
8000008,INMOVILIZACION DEL CAPITAL,0.65
8000009,RENTABILIDAD PATRIMONIO NETO,0.41
8000010,RENTABILIDAD DEL ACTIVO,0.10
8000011,ENDEUDAMIENTO,2.79
8000012,ENDEUDAMIENTO A CORTO PLAZO,1.58
8000013,APALANCAMIENTO,3.79
8000014,MARGEN NETO / VENTAS,0.03
8000015,DEUDA FINANCIERA / EBITDA,1.56
8000016,EBITDA / COSTOS FINANCIEROS,-3.97
8000017,ANALISIS DU-PONT,0.39
