Nro,Rubro,Monto
1122500,EFECTIVO Y EQUIVALENTES A EFECTIVO,59236490.00
1122300,ACTIVOS FINANCIEROS CORRIENTES,219688948.00
1121999,CUENTAS POR COBRAR CORRIENTES,223850531.00
1122400,OTROS ACTIVOS NO FINANCIEROS CORRIENTES,19667640.00
1120100,INVENTARIOS CORRIENTES,33865987.00
1139999,ACTIVO CORRIENTE,556309596.00
1112400,ACTIVOS FINANCIEROS NO CORRIENTES,1306227038.00
1111999,CUENTAS POR COBRAR NO CORRIENTES,129958864.00
1110100,PROPIEDADES PLANTAS Y EQUIPOS,1064702023.00
1112500,OTROS ACTIVOS NO FINANCIEROS NO CORRIENTES,605581.00
1110200,ACTIVOS INTANGIBLES,15192965.00
1119999,ACTIVO NO CORRIENTE,2516686471.00
1999999,TOTAL DEL ACTIVO,3072996067.00
2210999,CAPITAL,1514022.00
2210300,AJUSTE DE CAPITAL,522726736.00
2210500,APORTES NO CAPITALIZADOS O CONTRIBUCIONES DE CAPITAL,0
2210900,OTROS CONCEPTOS DEL CAPITAL,0
2211100,RESERVA LEGAL,131971169.00
2211200,OTRAS RESERVAS,1404058930.00
2211999,GANANCIAS RESERVADAS,1536030099.00
2211300,INTERESES NO CONTROLANTES,0
2212999,RESULTADOS NO ASIGNADOS,310745951.00
2213999,RESULTADOS INTEGRALES,0
2299999,TOTAL PATRIMONIO NETO,2371016808.00
2322200,PASIVOS FINANCIEROS CORRIENTES,184801586.00
2321999,CUENTAS POR PAGAR CORRIENTES,249823871.00
2322100,PASIVOS POR IMPUESTOS CORRIENTES,27448955.00
2322300,OTROS PASIVOS NO FINANCIEROS CORRIENTES,64507084.00
2339999,PASIVO CORRIENTE,526581496.00
2312300,PASIVOS FINANCIEROS NO CORRIENTES,146411182.00
2311999,CUENTAS POR PAGAR NO CORRIENTES,0
2312200,PASIVOS POR IMPUESTOS NO CORRIENTES,261006.00
2312400,OTROS PASIVOS NO FINANCIEROS NO CORRIENTES,28725575.00
2319999,PASIVO NO CORRIENTE,175397763.00
2399999,TOTAL DEL PASIVO,701979259.00
2999999,TOTAL DEL PASIVO Y PATRIMONIO NETO,3072996067.00
3000100,INGRESOS DE ACTIVIDADES ORDINARIAS,546326520.00
3000200,COSTO DE VENTAS Y/O SERVICIOS,-347516878.00
3009999,GANANCIA (PERDIDA) BRUTA,198809642.00
3011301,HONORARIOS A DIRECTORES Y SINDICOS,-187468.00
3011300,OTROS GASTOS DE ADMINISTRACION,-50503554.00
3011200,GASTOS DE COMERCIALIZACION Y/O DISTRIBUCION,0
3011400,OTROS GASTOS OPERATIVOS,-5377172.00
3011100,OTROS INGRESOS,56224544.00
3011600,DEPRECIACIONES Y AMORTIZACIONES,0
3019999,GANANCIA (PERDIDA) DE ACTIVIDADES OPERATIVAS,198965992.00
3021400,INGRESOS FINANCIEROS,16284969.00
3021500,COSTOS FINANCIEROS,-75367793.00
3021800,RECPAM,-8809033.00
3021900,OTROS RESULTADOS,193510320.00
3029999,GANANCIA (PERDIDA) ANTES DE IMPUESTOS,324584455.00
3031100,INGRESO (GASTO) POR IMPUESTOS A LAS GANANCIAS,-1079659.00
3032000,GANANCIA (PERDIDA)  DEL PERIODO / EJERCICIO OPERACIONES CONTINUADAS,323504796.00
3041000,GANANCIA (PERDIDA)  DEL PERIODO / EJERCICIO OPERACIONES DISCONTINUADAS,0
3049999,GANANCIA (PERDIDA)  DEL PERIODO / EJERCICIO,323504796.00
3061999,OTRO RESULTADO INTEGRAL DEL EJERCICIO / PERIODO,0
3099999,RESULTADO INTEGRAL TOTAL  DEL EJERCICIO / PERIODO,323504796.00
3241100,TOTAL CAMBIOS EN ACTIVOS Y PASIVOS OPERATIVOS,195949770.00
3241200,TOTAL DE ACTIVIDADES DE INVERSION,-277132664.00
3241300,TOTAL DE ACTIVIDADES DE FINANCIACION,140453392.00
3240000,INCREMENTO (DISMINUCION) NETA DE EFECTIVO Y EQUIVALENTES,59270498.00
8000000,GANANCIA (PERDIDA) BASICA POR ACCION,215.33
8000001,GANANCIAS (PERDIDA) DILUIDA POR ACCION,215.33
8000002,TOTAL PATRIMONIO NETO DEL EJERCICIO ANTERIOR,2195454254.00
8000003,EBIT,198965992.00
8000004,EBITDA,253576652.00
8000005,CAPITAL DE TRABAJO,29728100.00
8000006,LIQUIDEZ,1.06
8000007,SOLVENCIA,3.38
8000008,INMOVILIZACION DEL CAPITAL,0.82
8000009,RENTABILIDAD PATRIMONIO NETO,0.14
8000010,RENTABILIDAD DEL ACTIVO,0.11
8000011,ENDEUDAMIENTO,0.30
8000012,ENDEUDAMIENTO A CORTO PLAZO,0.22
8000013,APALANCAMIENTO,1.30
8000014,MARGEN NETO / VENTAS,0.59
8000015,DEUDA FINANCIERA / EBITDA,1.31
8000016,EBITDA / COSTOS FINANCIEROS,-3.36
8000017,ANALISIS DU-PONT,0.14
8000027,PRUEBA ACIDA,0.99
8000028,COBERTURA DE GASTOS FINANCIEROS,-2.64
8000029,ROTACION DE ACTIVOS,0.18
