Nro,Rubro,Monto
1122500,EFECTIVO Y EQUIVALENTES A EFECTIVO,99987.00
1122300,ACTIVOS FINANCIEROS CORRIENTES,20357285.00
1121999,CUENTAS POR COBRAR CORRIENTES,6800412.00
1122400,OTROS ACTIVOS NO FINANCIEROS CORRIENTES,0
1120100,INVENTARIOS CORRIENTES,1044424.00
1139999,ACTIVO CORRIENTE,28302108.00
1112400,ACTIVOS FINANCIEROS NO CORRIENTES,3821332.00
1111999,CUENTAS POR COBRAR NO CORRIENTES,0
1110100,PROPIEDADES PLANTAS Y EQUIPOS,170565957.00
1112500,OTROS ACTIVOS NO FINANCIEROS NO CORRIENTES,0
1110200,ACTIVOS INTANGIBLES,0
1119999,ACTIVO NO CORRIENTE,174387289.00
1999999,TOTAL DEL ACTIVO,202689397.00
2210999,CAPITAL,73070.00
2210300,AJUSTE DE CAPITAL,634761.00
2210500,APORTES NO CAPITALIZADOS O CONTRIBUCIONES DE CAPITAL,0
2210900,OTROS CONCEPTOS DEL CAPITAL,0
2211100,RESERVA LEGAL,1022632.00
2211200,OTRAS RESERVAS,77606628.00
2211999,GANANCIAS RESERVADAS,78629260.00
2211300,INTERESES NO CONTROLANTES,0
2212999,RESULTADOS NO ASIGNADOS,-16004924.00
2213999,RESULTADOS INTEGRALES,-63608.00
2299999,TOTAL PATRIMONIO NETO,63268559.00
2322200,PASIVOS FINANCIEROS CORRIENTES,15821402.00
2321999,CUENTAS POR PAGAR CORRIENTES,2172779.00
2322100,PASIVOS POR IMPUESTOS CORRIENTES,286904.00
2322300,OTROS PASIVOS NO FINANCIEROS CORRIENTES,13412852.00
2339999,PASIVO CORRIENTE,31693937.00
2312300,PASIVOS FINANCIEROS NO CORRIENTES,58898095.00
2311999,CUENTAS POR PAGAR NO CORRIENTES,3790269.00
2312200,PASIVOS POR IMPUESTOS NO CORRIENTES,44824451.00
2312400,OTROS PASIVOS NO FINANCIEROS NO CORRIENTES,214086.00
2319999,PASIVO NO CORRIENTE,107726901.00
2399999,TOTAL DEL PASIVO,139420838.00
2999999,TOTAL DEL PASIVO Y PATRIMONIO NETO,202689397.00
3000100,INGRESOS DE ACTIVIDADES ORDINARIAS,29483623.00
3000200,COSTO DE VENTAS Y/O SERVICIOS,-15577424.00
3009999,GANANCIA (PERDIDA) BRUTA,13906199.00
3011301,HONORARIOS A DIRECTORES Y SINDICOS,-132648.00
3011300,OTROS GASTOS DE ADMINISTRACION,-5261775.00
3011200,GASTOS DE COMERCIALIZACION Y/O DISTRIBUCION,-341872.00
3011400,OTROS GASTOS OPERATIVOS,-1820446.00
3011100,OTROS INGRESOS,72960.00
3011600,DEPRECIACIONES Y AMORTIZACIONES,0
3019999,GANANCIA (PERDIDA) DE ACTIVIDADES OPERATIVAS,6422418.00
3021400,INGRESOS FINANCIEROS,6346626.00
3021500,COSTOS FINANCIEROS,-17545982.00
3021800,RECPAM,0
3021900,OTROS RESULTADOS,-4193800.00
3029999,GANANCIA (PERDIDA) ANTES DE IMPUESTOS,-8970738.00
3031100,INGRESO (GASTO) POR IMPUESTOS A LAS GANANCIAS,-1599720.00
3049999,GANANCIA (PERDIDA)  DEL PERIODO / EJERCICIO,-10570458.00
3061999,OTRO RESULTADO INTEGRAL DEL EJERCICIO / PERIODO,38873120.00
3099999,RESULTADO INTEGRAL TOTAL  DEL EJERCICIO / PERIODO,28302662.00
3241100,TOTAL CAMBIOS EN ACTIVOS Y PASIVOS OPERATIVOS,12730449.00
3241200,TOTAL DE ACTIVIDADES DE INVERSION,3729994.00
3241300,TOTAL DE ACTIVIDADES DE FINANCIACION,-17823223.00
3240000,INCREMENTO (DISMINUCION) NETA DE EFECTIVO Y EQUIVALENTES,-1362780.00
8000000,GANANCIA (PERDIDA) BASICA POR ACCION,-144.66
8000001,GANANCIAS (PERDIDA) DILUIDA POR ACCION,-144.66
8000002,TOTAL PATRIMONIO NETO DEL EJERCICIO ANTERIOR,34965897.00
8000003,EBIT,6422418.00
8000004,EBITDA,16831671.00
8000005,CAPITAL DE TRABAJO,-3391829.00
8000006,LIQUIDEZ,0.89
8000007,SOLVENCIA,0.45
8000008,INMOVILIZACION DEL CAPITAL,0.86
8000009,RENTABILIDAD PATRIMONIO NETO,-0.18
8000010,RENTABILIDAD DEL ACTIVO,-0.04
8000011,ENDEUDAMIENTO,2.20
8000012,ENDEUDAMIENTO A CORTO PLAZO,0.50
8000013,APALANCAMIENTO,3.20
8000014,MARGEN NETO / VENTAS,0.96
8000015,DEUDA FINANCIERA / EBITDA,4.44
8000016,EBITDA / COSTOS FINANCIEROS,-0.96
8000017,ANALISIS DU-PONT,-0.14
