Nro,Rubro,Monto
1122500,EFECTIVO Y EQUIVALENTES A EFECTIVO,10513265.00
1122300,ACTIVOS FINANCIEROS CORRIENTES,2425412.00
1121999,CUENTAS POR COBRAR CORRIENTES,138075000.00
1122400,OTROS ACTIVOS NO FINANCIEROS CORRIENTES,9398100.00
1120100,INVENTARIOS CORRIENTES,0
1139999,ACTIVO CORRIENTE,160411777.00
1112400,ACTIVOS FINANCIEROS NO CORRIENTES,0
1111999,CUENTAS POR COBRAR NO CORRIENTES,0
1110100,PROPIEDADES PLANTAS Y EQUIPOS,1513493878.00
1112500,OTROS ACTIVOS NO FINANCIEROS NO CORRIENTES,0
1110200,ACTIVOS INTANGIBLES,0
1119999,ACTIVO NO CORRIENTE,1513493878.00
1999999,TOTAL DEL ACTIVO,1673905655.00
2210999,CAPITAL,270000.00
2210300,AJUSTE DE CAPITAL,226080477.00
2210500,APORTES NO CAPITALIZADOS O CONTRIBUCIONES DE CAPITAL,0
2210900,OTROS CONCEPTOS DEL CAPITAL,0
2211100,RESERVA LEGAL,10780841.00
2211200,OTRAS RESERVAS,1222097486.00
2211999,GANANCIAS RESERVADAS,1232878327.00
2211300,INTERESES NO CONTROLANTES,0
2212999,RESULTADOS NO ASIGNADOS,-375821016.00
2213999,RESULTADOS INTEGRALES,0
2299999,TOTAL PATRIMONIO NETO,1083407788.00
2322200,PASIVOS FINANCIEROS CORRIENTES,0
2321999,CUENTAS POR PAGAR CORRIENTES,1538544.00
2322100,PASIVOS POR IMPUESTOS CORRIENTES,11265125.00
2322300,OTROS PASIVOS NO FINANCIEROS CORRIENTES,0
2339999,PASIVO CORRIENTE,12803669.00
2312300,PASIVOS FINANCIEROS NO CORRIENTES,331690976.00
2311999,CUENTAS POR PAGAR NO CORRIENTES,0
2312200,PASIVOS POR IMPUESTOS NO CORRIENTES,246003222.00
2312400,OTROS PASIVOS NO FINANCIEROS NO CORRIENTES,0
2319999,PASIVO NO CORRIENTE,577694198.00
2399999,TOTAL DEL PASIVO,590497867.00
2999999,TOTAL DEL PASIVO Y PATRIMONIO NETO,1673905655.00
3000100,INGRESOS DE ACTIVIDADES ORDINARIAS,22088480.00
3000200,COSTO DE VENTAS Y/O SERVICIOS,0
3009999,GANANCIA (PERDIDA) BRUTA,22088480.00
3011301,HONORARIOS A DIRECTORES Y SINDICOS,0
3011300,OTROS GASTOS DE ADMINISTRACION,-216824332.00
3011200,GASTOS DE COMERCIALIZACION Y/O DISTRIBUCION,0
3011400,OTROS GASTOS OPERATIVOS,0
3011100,OTROS INGRESOS,48159930.00
3011600,DEPRECIACIONES Y AMORTIZACIONES,-594137.00
3019999,GANANCIA (PERDIDA) DE ACTIVIDADES OPERATIVAS,-147170059.00
3021400,INGRESOS FINANCIEROS,0
3021500,COSTOS FINANCIEROS,-298275639.00
3021800,RECPAM,-14303066.00
3021900,OTROS RESULTADOS,0
3029999,GANANCIA (PERDIDA) ANTES DE IMPUESTOS,-459748764.00
3031100,INGRESO (GASTO) POR IMPUESTOS A LAS GANANCIAS,83927748.00
3032000,GANANCIA (PERDIDA)  DEL PERIODO / EJERCICIO OPERACIONES CONTINUADAS,-375821016.00
3041000,GANANCIA (PERDIDA)  DEL PERIODO / EJERCICIO OPERACIONES DISCONTINUADAS,0
3049999,GANANCIA (PERDIDA)  DEL PERIODO / EJERCICIO,-375821016.00
3061999,OTRO RESULTADO INTEGRAL DEL EJERCICIO / PERIODO,0
3099999,RESULTADO INTEGRAL TOTAL  DEL EJERCICIO / PERIODO,-375821016.00
3241100,TOTAL CAMBIOS EN ACTIVOS Y PASIVOS OPERATIVOS,-1718068.00
3241200,TOTAL DE ACTIVIDADES DE INVERSION,0
3241300,TOTAL DE ACTIVIDADES DE FINANCIACION,0
3240000,INCREMENTO (DISMINUCION) NETA DE EFECTIVO Y EQUIVALENTES,-1718068.00
8000000,GANANCIA (PERDIDA) BASICA POR ACCION,-1391.93
8000001,GANANCIAS (PERDIDA) DILUIDA POR ACCION,-1391.93
8000002,TOTAL PATRIMONIO NETO DEL EJERCICIO ANTERIOR,1459228804.00
8000003,EBIT,-147170059.00
8000004,EBITDA,-147764196.00
8000005,CAPITAL DE TRABAJO,147608108.00
8000006,LIQUIDEZ,12.53
8000007,SOLVENCIA,1.83
8000008,INMOVILIZACION DEL CAPITAL,0.90
8000009,RENTABILIDAD PATRIMONIO NETO,-0.30
8000010,RENTABILIDAD DEL ACTIVO,-0.22
8000011,ENDEUDAMIENTO,0.55
8000012,ENDEUDAMIENTO A CORTO PLAZO,0.01
8000013,APALANCAMIENTO,1.55
8000014,MARGEN NETO / VENTAS,-17.01
8000015,DEUDA FINANCIERA / EBITDA,-2.24
8000016,EBITDA / COSTOS FINANCIEROS,0.50
8000017,ANALISIS DU-PONT,-0.35
8000027,PRUEBA ACIDA,12.53
8000028,COBERTURA DE GASTOS FINANCIEROS,0.49
8000029,ROTACION DE ACTIVOS,0.01
