Nro,Rubro,Monto
1122500,EFECTIVO Y EQUIVALENTES A EFECTIVO,30175145.00
1122300,ACTIVOS FINANCIEROS CORRIENTES,4858754.00
1121999,CUENTAS POR COBRAR CORRIENTES,15988121.00
1122400,OTROS ACTIVOS NO FINANCIEROS CORRIENTES,0
1120100,INVENTARIOS CORRIENTES,10229117.00
1139999,ACTIVO CORRIENTE,61251137.00
1112400,ACTIVOS FINANCIEROS NO CORRIENTES,5388660.00
1111999,CUENTAS POR COBRAR NO CORRIENTES,0
1110100,PROPIEDADES PLANTAS Y EQUIPOS,113076723.00
1112500,OTROS ACTIVOS NO FINANCIEROS NO CORRIENTES,41488515.00
1110200,ACTIVOS INTANGIBLES,0
1119999,ACTIVO NO CORRIENTE,159953898.00
1999999,TOTAL DEL ACTIVO,221205035.00
2210999,CAPITAL,399138.00
2210300,AJUSTE DE CAPITAL,8181829.00
2210500,APORTES NO CAPITALIZADOS O CONTRIBUCIONES DE CAPITAL,0
2210900,OTROS CONCEPTOS DEL CAPITAL,0
2211100,RESERVA LEGAL,1716193.00
2211200,OTRAS RESERVAS,40337350.00
2211999,GANANCIAS RESERVADAS,42053543.00
2211300,INTERESES NO CONTROLANTES,0
2212999,RESULTADOS NO ASIGNADOS,10269504.00
2213999,RESULTADOS INTEGRALES,-1947317.00
2299999,TOTAL PATRIMONIO NETO,58956697.00
2322200,PASIVOS FINANCIEROS CORRIENTES,27408293.00
2321999,CUENTAS POR PAGAR CORRIENTES,17976675.00
2322100,PASIVOS POR IMPUESTOS CORRIENTES,3200073.00
2322300,OTROS PASIVOS NO FINANCIEROS CORRIENTES,7977606.00
2339999,PASIVO CORRIENTE,56562647.00
2312300,PASIVOS FINANCIEROS NO CORRIENTES,77769376.00
2311999,CUENTAS POR PAGAR NO CORRIENTES,0
2312200,PASIVOS POR IMPUESTOS NO CORRIENTES,3369046.00
2312400,OTROS PASIVOS NO FINANCIEROS NO CORRIENTES,24547269.00
2319999,PASIVO NO CORRIENTE,105685691.00
2399999,TOTAL DEL PASIVO,162248338.00
2999999,TOTAL DEL PASIVO Y PATRIMONIO NETO,221205035.00
3000100,INGRESOS DE ACTIVIDADES ORDINARIAS,92555930.00
3000200,COSTO DE VENTAS Y/O SERVICIOS,-72331897.00
3009999,GANANCIA (PERDIDA) BRUTA,20224033.00
3011301,HONORARIOS A DIRECTORES Y SINDICOS,0
3011300,OTROS GASTOS DE ADMINISTRACION,-5519673.00
3011200,GASTOS DE COMERCIALIZACION Y/O DISTRIBUCION,-4204131.00
3011400,OTROS GASTOS OPERATIVOS,-59974.00
3011100,OTROS INGRESOS,1450960.00
3011600,DEPRECIACIONES Y AMORTIZACIONES,0
3019999,GANANCIA (PERDIDA) DE ACTIVIDADES OPERATIVAS,11891215.00
3021400,INGRESOS FINANCIEROS,2035983.00
3021500,COSTOS FINANCIEROS,-5490814.00
3021800,RECPAM,450686.00
3021900,OTROS RESULTADOS,-151074.00
3029999,GANANCIA (PERDIDA) ANTES DE IMPUESTOS,8735996.00
3031100,INGRESO (GASTO) POR IMPUESTOS A LAS GANANCIAS,610723.00
3049999,GANANCIA (PERDIDA)  DEL PERIODO / EJERCICIO,9346719.00
3061999,OTRO RESULTADO INTEGRAL DEL EJERCICIO / PERIODO,-2513576.00
3099999,RESULTADO INTEGRAL TOTAL  DEL EJERCICIO / PERIODO,6833143.00
3241100,TOTAL CAMBIOS EN ACTIVOS Y PASIVOS OPERATIVOS,9249108.00
3241200,TOTAL DE ACTIVIDADES DE INVERSION,-27829828.00
3241300,TOTAL DE ACTIVIDADES DE FINANCIACION,24711451.00
3240000,INCREMENTO (DISMINUCION) NETA DE EFECTIVO Y EQUIVALENTES,6130731.00
8000000,GANANCIA (PERDIDA) BASICA POR ACCION,23.42
8000001,GANANCIAS (PERDIDA) DILUIDA POR ACCION,23.42
8000002,TOTAL PATRIMONIO NETO DEL EJERCICIO ANTERIOR,52123554.00
8000003,EBIT,0
8000004,EBITDA,29549893.00
8000005,CAPITAL DE TRABAJO,4688490.00
8000006,LIQUIDEZ,1.08
8000007,SOLVENCIA,0.36
8000008,INMOVILIZACION DEL CAPITAL,0.72
8000009,RENTABILIDAD PATRIMONIO NETO,0.16
8000010,RENTABILIDAD DEL ACTIVO,0.04
8000011,ENDEUDAMIENTO,2.75
8000012,ENDEUDAMIENTO A CORTO PLAZO,0.96
8000013,APALANCAMIENTO,3.75
8000014,MARGEN NETO / VENTAS,0.07
8000015,DEUDA FINANCIERA / EBITDA,3.56
8000016,EBITDA / COSTOS FINANCIEROS,-5.38
8000017,ANALISIS DU-PONT,0.15
