Nro,Rubro,Monto
1122500,EFECTIVO Y EQUIVALENTES A EFECTIVO,4960566767.00
1122300,ACTIVOS FINANCIEROS CORRIENTES,987288956.00
1121999,CUENTAS POR COBRAR CORRIENTES,32629270456.00
1122400,OTROS ACTIVOS NO FINANCIEROS CORRIENTES,2656699330.00
1120100,INVENTARIOS CORRIENTES,10498438715.00
1139999,ACTIVO CORRIENTE,51732264224.00
1112400,ACTIVOS FINANCIEROS NO CORRIENTES,0
1111999,CUENTAS POR COBRAR NO CORRIENTES,0
1110100,PROPIEDADES PLANTAS Y EQUIPOS,9920663956.00
1112500,OTROS ACTIVOS NO FINANCIEROS NO CORRIENTES,10353375935.00
1110200,ACTIVOS INTANGIBLES,548831454.00
1119999,ACTIVO NO CORRIENTE,20822871345.00
1999999,TOTAL DEL ACTIVO,72555135569.00
2210999,CAPITAL,121085807.00
2210300,AJUSTE DE CAPITAL,42641615466.00
2210500,APORTES NO CAPITALIZADOS O CONTRIBUCIONES DE CAPITAL,0
2210900,OTROS CONCEPTOS DEL CAPITAL,0
2211100,RESERVA LEGAL,2058936126.00
2211200,OTRAS RESERVAS,2975691386.00
2211999,GANANCIAS RESERVADAS,5034627512.00
2211300,INTERESES NO CONTROLANTES,0
2212999,RESULTADOS NO ASIGNADOS,1830593080.00
2213999,RESULTADOS INTEGRALES,0
2299999,TOTAL PATRIMONIO NETO,49627921865.00
2322200,PASIVOS FINANCIEROS CORRIENTES,5999044069.00
2321999,CUENTAS POR PAGAR CORRIENTES,7500480594.00
2322100,PASIVOS POR IMPUESTOS CORRIENTES,3157350206.00
2322300,OTROS PASIVOS NO FINANCIEROS CORRIENTES,2161183654.00
2339999,PASIVO CORRIENTE,18818058523.00
2312300,PASIVOS FINANCIEROS NO CORRIENTES,3384130463.00
2311999,CUENTAS POR PAGAR NO CORRIENTES,0
2312200,PASIVOS POR IMPUESTOS NO CORRIENTES,705495004.00
2312400,OTROS PASIVOS NO FINANCIEROS NO CORRIENTES,19529714.00
2319999,PASIVO NO CORRIENTE,4109155181.00
2399999,TOTAL DEL PASIVO,22927213704.00
2999999,TOTAL DEL PASIVO Y PATRIMONIO NETO,72555135569.00
3000100,INGRESOS DE ACTIVIDADES ORDINARIAS,60190624757.00
3000200,COSTO DE VENTAS Y/O SERVICIOS,-28161272894.00
3009999,GANANCIA (PERDIDA) BRUTA,32029351863.00
3011301,HONORARIOS A DIRECTORES Y SINDICOS,-105000000.00
3011300,OTROS GASTOS DE ADMINISTRACION,-2747210612.00
3011200,GASTOS DE COMERCIALIZACION Y/O DISTRIBUCION,-14472253451.00
3011400,OTROS GASTOS OPERATIVOS,1641730502.00
3011100,OTROS INGRESOS,0
3011600,DEPRECIACIONES Y AMORTIZACIONES,-1316195358.00
3019999,GANANCIA (PERDIDA) DE ACTIVIDADES OPERATIVAS,15030422944.00
3021400,INGRESOS FINANCIEROS,1081359229.00
3021500,COSTOS FINANCIEROS,-1305059737.00
3021800,RECPAM,-4915524317.00
3021900,OTROS RESULTADOS,-3588715615.00
3029999,GANANCIA (PERDIDA) ANTES DE IMPUESTOS,6302482504.00
3031100,INGRESO (GASTO) POR IMPUESTOS A LAS GANANCIAS,-4471889424.00
3032000,GANANCIA (PERDIDA)  DEL PERIODO / EJERCICIO OPERACIONES CONTINUADAS,1830593080.00
3041000,GANANCIA (PERDIDA)  DEL PERIODO / EJERCICIO OPERACIONES DISCONTINUADAS,0
3049999,GANANCIA (PERDIDA)  DEL PERIODO / EJERCICIO,1830593080.00
3061999,OTRO RESULTADO INTEGRAL DEL EJERCICIO / PERIODO,0
3099999,RESULTADO INTEGRAL TOTAL  DEL EJERCICIO / PERIODO,1830593080.00
3241100,TOTAL CAMBIOS EN ACTIVOS Y PASIVOS OPERATIVOS,-2201702405.00
3241200,TOTAL DE ACTIVIDADES DE INVERSION,-1538171170.00
3241300,TOTAL DE ACTIVIDADES DE FINANCIACION,6979858073.00
3240000,INCREMENTO (DISMINUCION) NETA DE EFECTIVO Y EQUIVALENTES,3239984498.00
8000000,GANANCIA (PERDIDA) BASICA POR ACCION,15.12
8000001,GANANCIAS (PERDIDA) DILUIDA POR ACCION,0
8000002,TOTAL PATRIMONIO NETO DEL EJERCICIO ANTERIOR,47797328785.00
8000003,EBIT,6245506636.00
8000004,EBITDA,7561701994.00
8000005,CAPITAL DE TRABAJO,32914205701.00
8000006,LIQUIDEZ,2.75
8000007,SOLVENCIA,2.16
8000008,INMOVILIZACION DEL CAPITAL,0.29
8000009,RENTABILIDAD PATRIMONIO NETO,0.04
8000010,RENTABILIDAD DEL ACTIVO,0.03
8000011,ENDEUDAMIENTO,0.46
8000012,ENDEUDAMIENTO A CORTO PLAZO,0.38
8000013,APALANCAMIENTO,1.46
8000014,MARGEN NETO / VENTAS,0.03
8000015,DEUDA FINANCIERA / EBITDA,1.24
8000016,EBITDA / COSTOS FINANCIEROS,-5.79
8000017,ANALISIS DU-PONT,0.04
8000027,PRUEBA ACIDA,2.19
8000028,COBERTURA DE GASTOS FINANCIEROS,-11.52
8000029,ROTACION DE ACTIVOS,0.83
