Nro,Rubro,Monto
1122500,EFECTIVO Y EQUIVALENTES A EFECTIVO,962420.00
1122300,ACTIVOS FINANCIEROS CORRIENTES,7605731.00
1121999,CUENTAS POR COBRAR CORRIENTES,3492224.00
1122400,OTROS ACTIVOS NO FINANCIEROS CORRIENTES,1000268.00
1120100,INVENTARIOS CORRIENTES,0
1139999,ACTIVO CORRIENTE,13060643.00
1112400,ACTIVOS FINANCIEROS NO CORRIENTES,0
1111999,CUENTAS POR COBRAR NO CORRIENTES,0
1110100,PROPIEDADES PLANTAS Y EQUIPOS,24988928.00
1112500,OTROS ACTIVOS NO FINANCIEROS NO CORRIENTES,13764734.00
1110200,ACTIVOS INTANGIBLES,0
1119999,ACTIVO NO CORRIENTE,38753662.00
1999999,TOTAL DEL ACTIVO,51814305.00
2210999,CAPITAL,444674.00
2210300,AJUSTE DE CAPITAL,15748568.00
2210500,APORTES NO CAPITALIZADOS O CONTRIBUCIONES DE CAPITAL,0
2210900,OTROS CONCEPTOS DEL CAPITAL,0
2211100,RESERVA LEGAL,1519256.00
2211200,OTRAS RESERVAS,17217322.00
2211999,GANANCIAS RESERVADAS,18736578.00
2211300,INTERESES NO CONTROLANTES,0
2212999,RESULTADOS NO ASIGNADOS,-1364908.00
2213999,RESULTADOS INTEGRALES,-710096.00
2299999,TOTAL PATRIMONIO NETO,32854816.00
2322200,PASIVOS FINANCIEROS CORRIENTES,11105163.00
2321999,CUENTAS POR PAGAR CORRIENTES,1231382.00
2322100,PASIVOS POR IMPUESTOS CORRIENTES,523391.00
2322300,OTROS PASIVOS NO FINANCIEROS CORRIENTES,23252.00
2339999,PASIVO CORRIENTE,12883188.00
2312300,PASIVOS FINANCIEROS NO CORRIENTES,605626.00
2311999,CUENTAS POR PAGAR NO CORRIENTES,3950.00
2312200,PASIVOS POR IMPUESTOS NO CORRIENTES,5466725.00
2312400,OTROS PASIVOS NO FINANCIEROS NO CORRIENTES,0
2319999,PASIVO NO CORRIENTE,6076301.00
2399999,TOTAL DEL PASIVO,18959489.00
2999999,TOTAL DEL PASIVO Y PATRIMONIO NETO,51814305.00
3000100,INGRESOS DE ACTIVIDADES ORDINARIAS,5382628.00
3000200,COSTO DE VENTAS Y/O SERVICIOS,-3137074.00
3009999,GANANCIA (PERDIDA) BRUTA,2245554.00
3011301,HONORARIOS A DIRECTORES Y SINDICOS,-13694.00
3011300,OTROS GASTOS DE ADMINISTRACION,-334979.00
3011200,GASTOS DE COMERCIALIZACION Y/O DISTRIBUCION,0
3011400,OTROS GASTOS OPERATIVOS,0
3011100,OTROS INGRESOS,-17428.00
3011600,DEPRECIACIONES Y AMORTIZACIONES,-867058.00
3019999,GANANCIA (PERDIDA) DE ACTIVIDADES OPERATIVAS,1012395.00
3021400,INGRESOS FINANCIEROS,1006241.00
3021500,COSTOS FINANCIEROS,-921780.00
3021800,RECPAM,612313.00
3021900,OTROS RESULTADOS,-1226210.00
3029999,GANANCIA (PERDIDA) ANTES DE IMPUESTOS,482959.00
3031100,INGRESO (GASTO) POR IMPUESTOS A LAS GANANCIAS,-1847867.00
3049999,GANANCIA (PERDIDA)  DEL PERIODO / EJERCICIO,-1364908.00
3061999,OTRO RESULTADO INTEGRAL DEL EJERCICIO / PERIODO,0
3099999,RESULTADO INTEGRAL TOTAL  DEL EJERCICIO / PERIODO,-1364908.00
3241100,TOTAL CAMBIOS EN ACTIVOS Y PASIVOS OPERATIVOS,126609.00
3241200,TOTAL DE ACTIVIDADES DE INVERSION,365703.00
3241300,TOTAL DE ACTIVIDADES DE FINANCIACION,-494571.00
3240000,INCREMENTO (DISMINUCION) NETA DE EFECTIVO Y EQUIVALENTES,-2259.00
8000000,GANANCIA (PERDIDA) BASICA POR ACCION,-3.07
8000001,GANANCIAS (PERDIDA) DILUIDA POR ACCION,-3.07
8000002,TOTAL PATRIMONIO NETO DEL EJERCICIO ANTERIOR,34219724.00
8000003,EBIT,1012395.00
8000004,EBITDA,1879453.00
8000005,CAPITAL DE TRABAJO,177455.00
8000006,LIQUIDEZ,1.01
8000007,SOLVENCIA,1.73
8000008,INMOVILIZACION DEL CAPITAL,0.75
8000009,RENTABILIDAD PATRIMONIO NETO,0.01
8000010,RENTABILIDAD DEL ACTIVO,0.01
8000011,ENDEUDAMIENTO,0.58
8000012,ENDEUDAMIENTO A CORTO PLAZO,0.39
8000013,APALANCAMIENTO,1.58
8000014,MARGEN NETO / VENTAS,-0.25
8000015,DEUDA FINANCIERA / EBITDA,6.23
8000016,EBITDA / COSTOS FINANCIEROS,-2.04
8000017,ANALISIS DU-PONT,0.01
