Nro,Rubro,Monto
1122500,EFECTIVO Y DEPOSITOS EN BANCOS,1492259.00
1122600,TITULOS DE DEUDA A VALOR RAZONABLE CON CAMBIOS EN RESULTADOS,0
1122700,PRESTAMOS Y OTRAS FINANCIACIONES,12728816.00
1122800,"OPERACIONES DE PASE, INSTRUMENTOS DERIVADOS Y OTROS TITULOS DE DEUDA",5904934.00
1122900,ACTIVO POR IMPUESTO A LAS GANACIAS DIFERIDO,1037852.00
1123100,INVERSIONES EN INSTRUMENTOS DE PATRIMONIO,33327.00
1123200,ACTIVOS FINANCIEROS ENTREGADOS EN GARANTIA,284461.00
1110100,PROPIEDAD PLANTA Y EQUIPO,859832.00
1123300,"INVERSIONES EN SUBSIDIARIAS, ASOCIADAS Y NEGOCIOS CONJUNTOS",0
1110200,ACTIVOS INTANGIBLES,808920.00
1122300,OTROS ACTIVOS FINANCIEROS,510080.00
1122400,OTROS ACTIVOS NO FINANCIEROS,219955.00
1999999,TOTAL DEL ACTIVO,23880436.00
2210999,CAPITAL,907563.00
2210300,AJUSTE DE CAPITAL,2745707.00
2210500,APORTES NO CAPITALIZADOS,0
2210900,OTROS CONCEPTOS DEL CAPITAL,0
2211100,RESERVA LEGAL,0
2211200,OTRAS RESERVAS,0
2211999,GANANCIAS RESERVADAS,0
2211300,INTERESES NO CONTROLANTES,0
2212999,RESULTADOS NO ASIGNADOS,-719610.00
2213999,RESULTADOS INTEGRALES,0
2299999,TOTAL PATRIMONIO NETO,2933660.00
2311000,DEPOSITOS,17580697.00
2311100,PASIVOS A VALOR DE REALIZACION CON CAMBIOS EN RESULTADOS,0
2311200,"INSTRUMENTOS DERIVADOS, OPERACIONES DE PASE Y OTROS PASIVOS FINANCIEROS",1113270.00
2311300,PROVISIONES,63097.00
2311400,FINANCIACIONES RECIBIDAS DEL BCRA Y OTRAS INSTITUCIONES FINANCIERAS,7.00
2311500,OBLIGACIONES NEGOCIABLES SUBORDINADAS,944872.00
2311600,OBLIGACIONES NEGOCIABLES EMITIDAS,217466.00
2322100,PASIVOS POR IMPUESTO A LAS GANANCIAS CORRIENTE,0
2312200,PASIVOS POR IMPUESTO A LAS GANANCIAS DIFERIDO,0
2322300,OTROS PASIVOS NO FINANCIEROS,1027367.00
2399999,TOTAL DEL PASIVO,20946776.00
2999999,TOTAL DEL PASIVO Y PATRIMONIO NETO,23880436.00
3000100,INGRESOS POR INTERESES,6195921.00
3000200,EGRESOS POR INTERESES,-2616606.00
3000102,INGRESOS POR COMISIONES,526916.00
3000201,EGRESOS POR COMISIONES,-142898.00
3000101,CARGO POR INCOBRABILIDAD,-961524.00
3009999,INGRESO OPERATIVO NETO,3001809.00
3011301,HONORARIOS A DIRECTORES Y SINDICOS,68.00
3011300,OTROS GASTOS DE ADMINISTRACION,-3292495.00
3011600,DEPRECIACIONES Y AMORTIZACIONES,-467453.00
3021800,RECPAM,-410636.00
3029999,GANANCIA (PERDIDA) ANTES DE IMPUESTOS,-1168707.00
3031100,INGRESO (GASTO) POR IMPUESTOS A LAS GANANCIAS,449097.00
3049999,GANANCIA (PERDIDA) DEL PERIODO / EJERCICIO,-719610.00
3061999,OTRO RESULTADO INTEGRAL DEL EJERCICIO / PERIODO,0
3099999,RESULTADO INTEGRAL TOTAL DEL EJERCICIO / PERIODO,-719610.00
3241100,FLUJOS DE EFECTIVO PROCEDENTES DE (UTILIZADOS EN) ACTIVIDADES DE OPERACION,-1352835.00
3241200,FLUJOS DE EFECTIVO PROCEDENTES DE (UTILIZADOS EN) ACTIVIDADES DE INVERSION,-216986.00
3241300,FLUJOS DE EFECTIVO PROCEDENTES DE (UTILIZADOS EN) ACTIVIDADES DE FINANCIACION,1072176.00
3240000,INCREMENTO (DISMINUCION) NETA DE EFECTIVO Y EQUIVALENTES,-497645.00
8000000,GANANCIA (PERDIDA) BASICA POR ACCION,0
8000001,GANANCIAS (PERDIDA) DILUIDA POR ACCION,0
8000002,TOTAL PATRIMONIO NETO DEL EJERCICIO ANTERIOR (MISMO PERIODO),4248684.00
8000003,EBIT,0
8000004,EBITDA,0
8000005,CAPITAL DE TRABAJO,0
8000006,LIQUIDEZ,0
8000007,SOLVENCIA,0.14
8000008,INMOVILIZACION DEL CAPITAL,0.07
8000009,RENTABILIDAD PATRIMONIO NETO,1.78
8000010,RENTABILIDAD DEL ACTIVO,-0.05
8000011,ENDEUDAMIENTO,7.14
8000013,APALANCAMIENTO,8.14
8000014,MARGEN NETO / INGRESOS,4.14
8000015,DEUDA FINANCIERA / EBITDA,0
8000017,ANALISIS DUPONT,-0.40
