Nro,Rubro,Monto
1122500,EFECTIVO Y EQUIVALENTES A EFECTIVO,61936.00
1122300,ACTIVOS FINANCIEROS CORRIENTES,130077.00
1121999,CUENTAS POR COBRAR CORRIENTES,2409.00
1122400,OTROS ACTIVOS NO FINANCIEROS CORRIENTES,17691.00
1120100,INVENTARIOS CORRIENTES,330780.00
1139999,ACTIVO CORRIENTE,542893.00
1112400,ACTIVOS FINANCIEROS NO CORRIENTES,0
1111999,CUENTAS POR COBRAR NO CORRIENTES,951.00
1110100,PROPIEDADES PLANTAS Y EQUIPOS,28578.00
1112500,OTROS ACTIVOS NO FINANCIEROS NO CORRIENTES,877390.00
1110200,ACTIVOS INTANGIBLES,0
1119999,ACTIVO NO CORRIENTE,906919.00
1999999,TOTAL DEL ACTIVO,1449812.00
2210999,CAPITAL,410.00
2210300,AJUSTE DE CAPITAL,143982.00
2210500,APORTES NO CAPITALIZADOS O CONTRIBUCIONES DE CAPITAL,0
2210900,OTROS CONCEPTOS DEL CAPITAL,91180.00
2211100,RESERVA LEGAL,28279.00
2211200,OTRAS RESERVAS,467874.00
2211999,GANANCIAS RESERVADAS,496153.00
2211300,INTERESES NO CONTROLANTES,49079.00
2212999,RESULTADOS NO ASIGNADOS,1387.00
2213999,RESULTADOS INTEGRALES,30169.00
2299999,TOTAL PATRIMONIO NETO,812360.00
2322200,PASIVOS FINANCIEROS CORRIENTES,41941.00
2321999,CUENTAS POR PAGAR CORRIENTES,11609.00
2322100,PASIVOS POR IMPUESTOS CORRIENTES,24.00
2322300,OTROS PASIVOS NO FINANCIEROS CORRIENTES,240065.00
2339999,PASIVO CORRIENTE,293639.00
2312300,PASIVOS FINANCIEROS NO CORRIENTES,0
2311999,CUENTAS POR PAGAR NO CORRIENTES,0
2312200,PASIVOS POR IMPUESTOS NO CORRIENTES,268915.00
2312400,OTROS PASIVOS NO FINANCIEROS NO CORRIENTES,74898.00
2319999,PASIVO NO CORRIENTE,343813.00
2399999,TOTAL DEL PASIVO,637452.00
2999999,TOTAL DEL PASIVO Y PATRIMONIO NETO,1449812.00
3000100,INGRESOS DE ACTIVIDADES ORDINARIAS,52177.00
3000200,COSTO DE VENTAS Y/O SERVICIOS,-31428.00
3009999,GANANCIA (PERDIDA) BRUTA,20749.00
3011301,HONORARIOS A DIRECTORES Y SINDICOS,-237.00
3011300,OTROS GASTOS DE ADMINISTRACION,-10651.00
3011200,GASTOS DE COMERCIALIZACION Y/O DISTRIBUCION,-10894.00
3011400,OTROS GASTOS OPERATIVOS,-4692.00
3011100,OTROS INGRESOS,729.00
3011600,DEPRECIACIONES Y AMORTIZACIONES,-280.00
3019999,GANANCIA (PERDIDA) DE ACTIVIDADES OPERATIVAS,-5276.00
3021400,INGRESOS FINANCIEROS,12093.00
3021500,COSTOS FINANCIEROS,-15277.00
3021800,RECPAM,-1950.00
3021900,OTROS RESULTADOS,4913.00
3029999,GANANCIA (PERDIDA) ANTES DE IMPUESTOS,-5497.00
3031100,INGRESO (GASTO) POR IMPUESTOS A LAS GANANCIAS,4903.00
3049999,GANANCIA (PERDIDA)  DEL PERIODO / EJERCICIO,-594.00
3061999,OTRO RESULTADO INTEGRAL DEL EJERCICIO / PERIODO,3279.00
3099999,RESULTADO INTEGRAL TOTAL  DEL EJERCICIO / PERIODO,2685.00
3241100,TOTAL CAMBIOS EN ACTIVOS Y PASIVOS OPERATIVOS,-54158.00
3241200,TOTAL DE ACTIVIDADES DE INVERSION,134293.00
3241300,TOTAL DE ACTIVIDADES DE FINANCIACION,-22812.00
3240000,INCREMENTO (DISMINUCION) NETA DE EFECTIVO Y EQUIVALENTES,57323.00
8000000,GANANCIA (PERDIDA) BASICA POR ACCION,3.38
8000001,GANANCIAS (PERDIDA) DILUIDA POR ACCION,3.38
8000002,TOTAL PATRIMONIO NETO DEL EJERCICIO ANTERIOR,812360.00
8000003,EBIT,-5661.00
8000004,EBITDA,-5381.00
8000005,CAPITAL DE TRABAJO,249254.00
8000006,LIQUIDEZ,1.85
8000007,SOLVENCIA,1.27
8000008,INMOVILIZACION DEL CAPITAL,0.63
8000009,RENTABILIDAD PATRIMONIO NETO,0
8000010,RENTABILIDAD DEL ACTIVO,-0.00
8000011,ENDEUDAMIENTO,0.78
8000012,ENDEUDAMIENTO A CORTO PLAZO,0.36
8000013,APALANCAMIENTO,1.78
8000014,MARGEN NETO / VENTAS,0.05
8000015,DEUDA FINANCIERA / EBITDA,-7.79
8000016,EBITDA / COSTOS FINANCIEROS,0.35
8000017,ANALISIS DU-PONT,-0.01
