Nro,Rubro,Monto
1122500,EFECTIVO Y EQUIVALENTES A EFECTIVO,83176676.00
1122300,ACTIVOS FINANCIEROS CORRIENTES,167401228.00
1121999,CUENTAS POR COBRAR CORRIENTES,194360141.00
1122400,OTROS ACTIVOS NO FINANCIEROS CORRIENTES,22018981.00
1120100,INVENTARIOS CORRIENTES,0
1139999,ACTIVO CORRIENTE,466957026.00
1112400,ACTIVOS FINANCIEROS NO CORRIENTES,0
1111999,CUENTAS POR COBRAR NO CORRIENTES,516157851.00
1110100,PROPIEDADES PLANTAS Y EQUIPOS,190743953.00
1112500,OTROS ACTIVOS NO FINANCIEROS NO CORRIENTES,19316401983.00
1110200,ACTIVOS INTANGIBLES,2961212.00
1119999,ACTIVO NO CORRIENTE,20026264999.00
1999999,TOTAL DEL ACTIVO,20493222025.00
2210999,CAPITAL,6300000.00
2210300,AJUSTE DE CAPITAL,3094711522.00
2210500,APORTES NO CAPITALIZADOS O CONTRIBUCIONES DE CAPITAL,0
2210900,OTROS CONCEPTOS DEL CAPITAL,72405731.00
2211100,RESERVA LEGAL,99479074.00
2211200,OTRAS RESERVAS,9775822799.00
2211999,GANANCIAS RESERVADAS,9875301873.00
2211300,INTERESES NO CONTROLANTES,0
2212999,RESULTADOS NO ASIGNADOS,-447518351.00
2213999,RESULTADOS INTEGRALES,0
2299999,TOTAL PATRIMONIO NETO,12601200775.00
2322200,PASIVOS FINANCIEROS CORRIENTES,385607363.00
2321999,CUENTAS POR PAGAR CORRIENTES,108387140.00
2322100,PASIVOS POR IMPUESTOS CORRIENTES,593690144.00
2322300,OTROS PASIVOS NO FINANCIEROS CORRIENTES,298542306.00
2339999,PASIVO CORRIENTE,1386226953.00
2312300,PASIVOS FINANCIEROS NO CORRIENTES,0
2311999,CUENTAS POR PAGAR NO CORRIENTES,0
2312200,PASIVOS POR IMPUESTOS NO CORRIENTES,6460536860.00
2312400,OTROS PASIVOS NO FINANCIEROS NO CORRIENTES,45257437.00
2319999,PASIVO NO CORRIENTE,6505794297.00
2399999,TOTAL DEL PASIVO,7892021250.00
2999999,TOTAL DEL PASIVO Y PATRIMONIO NETO,20493222025.00
3000100,INGRESOS DE ACTIVIDADES ORDINARIAS,2927226879.00
3000200,COSTO DE VENTAS Y/O SERVICIOS,-417377371.00
3009999,GANANCIA (PERDIDA) BRUTA,2509849508.00
3011301,HONORARIOS A DIRECTORES Y SINDICOS,-132893679.00
3011300,OTROS GASTOS DE ADMINISTRACION,-1476520775.00
3011200,GASTOS DE COMERCIALIZACION Y/O DISTRIBUCION,-209517989.00
3011400,OTROS GASTOS OPERATIVOS,0
3011100,OTROS INGRESOS,83632245.00
3011600,DEPRECIACIONES Y AMORTIZACIONES,0
3019999,GANANCIA (PERDIDA) DE ACTIVIDADES OPERATIVAS,774549310.00
3021400,INGRESOS FINANCIEROS,158843537.00
3021500,COSTOS FINANCIEROS,-363080683.00
3021800,RECPAM,-387933023.00
3021900,OTROS RESULTADOS,0
3029999,GANANCIA (PERDIDA) ANTES DE IMPUESTOS,182379141.00
3031100,INGRESO (GASTO) POR IMPUESTOS A LAS GANANCIAS,-629897492.00
3049999,GANANCIA (PERDIDA)  DEL PERIODO / EJERCICIO,-447518351.00
3061999,OTRO RESULTADO INTEGRAL DEL EJERCICIO / PERIODO,0
3099999,RESULTADO INTEGRAL TOTAL  DEL EJERCICIO / PERIODO,-447518351.00
3241100,TOTAL CAMBIOS EN ACTIVOS Y PASIVOS OPERATIVOS,731656492.00
3241200,TOTAL DE ACTIVIDADES DE INVERSION,-761618233.00
3241300,TOTAL DE ACTIVIDADES DE FINANCIACION,25987368.00
3240000,INCREMENTO (DISMINUCION) NETA DE EFECTIVO Y EQUIVALENTES,-3974373.00
8000000,GANANCIA (PERDIDA) BASICA POR ACCION,-71.03
8000001,GANANCIAS (PERDIDA) DILUIDA POR ACCION,-71.03
8000002,TOTAL PATRIMONIO NETO DEL EJERCICIO ANTERIOR,13048719126.00
8000003,EBIT,774549310.00
8000004,EBITDA,774549310.00
8000005,CAPITAL DE TRABAJO,-919269927.00
8000006,LIQUIDEZ,0.34
8000007,SOLVENCIA,1.60
8000008,INMOVILIZACION DEL CAPITAL,0.98
8000009,RENTABILIDAD PATRIMONIO NETO,0.01
8000010,RENTABILIDAD DEL ACTIVO,0.01
8000011,ENDEUDAMIENTO,0.63
8000012,ENDEUDAMIENTO A CORTO PLAZO,0.11
8000013,APALANCAMIENTO,1.63
8000014,MARGEN NETO / VENTAS,-0.15
8000015,DEUDA FINANCIERA / EBITDA,0.50
8000016,EBITDA / COSTOS FINANCIEROS,-2.13
8000017,ANALISIS DU-PONT,0.01
