Nro,Rubro,Monto
1122500,EFECTIVO Y DEPOSITOS EN BANCOS,404460588.00
1122600,TITULOS DE DEUDA A VALOR RAZONABLE CON CAMBIOS EN RESULTADOS,0
1122700,PRESTAMOS Y OTRAS FINANCIACIONES,97757046698.00
1122800,"OPERACIONES DE PASE, INSTRUMENTOS DERIVADOS Y OTROS TITULOS DE DEUDA",0
1122900,ACTIVO POR IMPUESTO A LAS GANACIAS DIFERIDO,901530899.00
1123100,INVERSIONES EN INSTRUMENTOS DE PATRIMONIO,12767975457.00
1123200,ACTIVOS FINANCIEROS ENTREGADOS EN GARANTIA,8656414687.00
1110100,PROPIEDAD PLANTA Y EQUIPO,242503455.00
1123300,"INVERSIONES EN SUBSIDIARIAS, ASOCIADAS Y NEGOCIOS CONJUNTOS",0
1110200,ACTIVOS INTANGIBLES,0
1122300,OTROS ACTIVOS FINANCIEROS,1360169152.00
1122400,OTROS ACTIVOS NO FINANCIEROS,1100737541.00
1999999,TOTAL DEL ACTIVO,123190838477.00
2210999,CAPITAL,77924128.00
2210300,AJUSTE DE CAPITAL,5460203567.00
2210500,APORTES NO CAPITALIZADOS,0
2210900,OTROS CONCEPTOS DEL CAPITAL,0
2211100,RESERVA LEGAL,1192495456.00
2211200,OTRAS RESERVAS,7258440088.00
2211999,GANANCIAS RESERVADAS,8450935544.00
2211300,INTERESES NO CONTROLANTES,0
2212999,RESULTADOS NO ASIGNADOS,11767716573.00
2213999,RESULTADOS INTEGRALES,0
2299999,TOTAL PATRIMONIO NETO,25756779812.00
2311000,DEPOSITOS,0
2311100,PASIVOS A VALOR DE REALIZACION CON CAMBIOS EN RESULTADOS,0
2311200,"INSTRUMENTOS DERIVADOS, OPERACIONES DE PASE Y OTROS PASIVOS FINANCIEROS",0
2311300,PROVISIONES,0
2311400,FINANCIACIONES RECIBIDAS DEL BCRA Y OTRAS INSTITUCIONES FINANCIERAS,60386023910.00
2311500,OBLIGACIONES NEGOCIABLES SUBORDINADAS,0
2311600,OBLIGACIONES NEGOCIABLES EMITIDAS,28697941850.00
2322100,PASIVOS POR IMPUESTO A LAS GANANCIAS CORRIENTE,0
2312200,PASIVOS POR IMPUESTO A LAS GANANCIAS DIFERIDO,0
2322300,OTROS PASIVOS NO FINANCIEROS,8350092905.00
2399999,TOTAL DEL PASIVO,97434058665.00
2999999,TOTAL DEL PASIVO Y PATRIMONIO NETO,123190838477.00
3000100,INGRESOS POR INTERESES,47426030181.00
3000200,EGRESOS POR INTERESES,-12575771326.00
3000102,INGRESOS POR COMISIONES,0
3000201,EGRESOS POR COMISIONES,0
3000101,CARGO POR INCOBRABILIDAD,-4913206802.00
3009999,INGRESO OPERATIVO NETO,29937052053.00
3011301,HONORARIOS A DIRECTORES Y SINDICOS,0
3011300,OTROS GASTOS DE ADMINISTRACION,-10154270413.00
3011600,DEPRECIACIONES Y AMORTIZACIONES,-52054795.00
3021800,RECPAM,-5711917236.00
3029999,GANANCIA (PERDIDA) ANTES DE IMPUESTOS,14018809609.00
3031100,INGRESO (GASTO) POR IMPUESTOS A LAS GANANCIAS,-2251093036.00
3049999,GANANCIA (PERDIDA) DEL PERIODO / EJERCICIO,11767716573.00
3061999,OTRO RESULTADO INTEGRAL DEL EJERCICIO / PERIODO,0
3099999,RESULTADO INTEGRAL TOTAL DEL EJERCICIO / PERIODO,11767716573.00
3241100,FLUJOS DE EFECTIVO PROCEDENTES DE (UTILIZADOS EN) ACTIVIDADES DE OPERACION,-44565673456.00
3241200,FLUJOS DE EFECTIVO PROCEDENTES DE (UTILIZADOS EN) ACTIVIDADES DE INVERSION,-10786938009.00
3241300,FLUJOS DE EFECTIVO PROCEDENTES DE (UTILIZADOS EN) ACTIVIDADES DE FINANCIACION,55692264527.00
3240000,INCREMENTO (DISMINUCION) NETA DE EFECTIVO Y EQUIVALENTES,339653062.00
8000000,GANANCIA (PERDIDA) BASICA POR ACCION,151.02
8000001,GANANCIAS (PERDIDA) DILUIDA POR ACCION,151.02
8000002,TOTAL PATRIMONIO NETO DEL EJERCICIO ANTERIOR (MISMO PERIODO),18875953196.00
8000003,EBIT,14018809609.00
8000004,EBITDA,14070864404.00
8000005,CAPITAL DE TRABAJO,-8954975807.00
8000006,LIQUIDEZ,404460588.00
8000007,SOLVENCIA,0.26
8000008,INMOVILIZACION DEL CAPITAL,0.00
8000009,RENTABILIDAD PATRIMONIO NETO,4.07
8000010,RENTABILIDAD DEL ACTIVO,0.11
8000011,ENDEUDAMIENTO,3.78
8000013,APALANCAMIENTO,4.78
8000014,MARGEN NETO / INGRESOS,2.90
8000015,DEUDA FINANCIERA / EBITDA,6.33
8000017,ANALISIS DUPONT,0
